WELL,CELL,DRUG,PRIMARY,SECONDARY,SEEDING_DENSITY
I16,HCT116 mCherryPOLR2A Clone 2,Roscovitine 10 µM,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
I17,HCT116 mCherryPOLR2A Clone 2,Vehicle,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
I18,HCT116 mCherryPOLR2A Clone 2,Palbociclib 1 µM,Total Pol II (F12),Goat anti-mouse Alexa488+,750
I19,HCT116 mCherryPOLR2A Clone 2,Roscovitine 10 µM,Total Pol II (F12),Goat anti-mouse Alexa488+,750
I20,HCT116 mCherryPOLR2A Clone 2,Vehicle,Total Pol II (F12),Goat anti-mouse Alexa488+,750
I21,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
I22,HCT116,No treatment,No primary,No primary,750
J03,HCT116,No treatment,No primary,No primary,500
J04,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
J05,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
J06,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
J07,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
J08,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
J09,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
J10,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
J11,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
J12,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
J13,HCT116,No treatment,No primary,Goat anti-mouse Alexa488+,750
J14,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
J15,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
J16,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
J17,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
