,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,TIME_IN_AUXIN,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
124,241102_mACmChPOLR2A_TotalPolII,I07,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,864,0.5,677.8142864102512,435.16238840807125,0.7500593340334832,512.2888134693935,359.02679156251224,0.716224580414798
127,241102_mACmChPOLR2A_TotalPolII,I10,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1183,0.0,812.8661180390346,570.2142200368547,0.982838842533875,628.8863463971699,475.6243244902886,0.9488256593904231
130,241102_mACmChPOLR2A_TotalPolII,I13,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1167,0.5,631.5913466328427,388.9394486306628,0.6703880472907484,477.18583871672723,323.92381680984596,0.6461974572184442
133,241102_mACmChPOLR2A_TotalPolII,I16,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1110,0.0,831.8428142102647,589.1909162080848,1.0155476622101771,599.2031644212071,445.94114251432586,0.8896105115080447
136,241102_mACmChPOLR2A_TotalPolII,I19,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,929,0.5,644.6171331863641,401.96523518418417,0.692839695337212,490.2165728979094,336.9545509910281,0.6721925426570443
161,241102_mACmChPOLR2A_TotalPolII,K04,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,757,0.0,819.762085763245,577.110187761065,0.9947249455072028,592.0026232028629,438.7406012959816,0.8752461110397022
164,241102_mACmChPOLR2A_TotalPolII,K07,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,904,4.0,376.87396259633323,134.22206459415335,0.23134929640951146,307.2311309381601,153.96910903127883,0.3071538478586412
167,241102_mACmChPOLR2A_TotalPolII,K10,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,769,0.0,840.3370306262143,597.6851326240344,1.030188555995577,593.7359653396925,440.4739434328112,0.8787039650880397
170,241102_mACmChPOLR2A_TotalPolII,K13,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,881,0.5,663.6958853127298,421.04398731054994,0.7257244218101087,480.78868334576185,327.5266614388806,0.6533847923794214
181,241102_mACmChPOLR2A_TotalPolII,L04,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,859,0.0,846.3894100845291,603.7375120823492,1.0406206241769027,606.2302471398996,452.9682252330183,0.9036288786327702
184,241102_mACmChPOLR2A_TotalPolII,L07,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,871,8.0,381.8056002034276,139.15370220124774,0.2398496193183998,318.2100481435608,164.94802623667954,0.32905575198848325
187,241102_mACmChPOLR2A_TotalPolII,L10,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,896,0.0,826.6200566980845,583.9681586959045,1.0065455560407195,605.2141062502318,451.9520843433505,0.9016017734154207
190,241102_mACmChPOLR2A_TotalPolII,L13,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1072,1.0,546.7757376492742,304.1238396470943,0.5241972438470385,395.8808032395703,242.61878133268903,0.48400158134298676
201,241102_mACmChPOLR2A_TotalPolII,M04,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,761,0.0,826.7062234640672,584.0543254618873,1.0066940757401017,584.0605107931607,430.7984888862794,0.8594023460006364
204,241102_mACmChPOLR2A_TotalPolII,M07,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,121,24.0,352.9730380304363,110.32114002825645,0.19015292457171812,339.31022725315927,186.048205346278,0.3711486188290848
207,241102_mACmChPOLR2A_TotalPolII,M10,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,692,0.0,894.3273174258161,651.6754194236362,1.123247881984962,661.2296992136528,507.9676773067715,1.0133475971527193
210,241102_mACmChPOLR2A_TotalPolII,M13,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,810,2.0,432.55569304187713,189.90379503969726,0.32732404691265476,325.17823549155366,171.9162135846724,0.3429566284045512
