,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,TIME_IN_AUXIN,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_561_Intensity,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
75,241021_mACmChPOLR2A_TotalPolII,F18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1273,2.0,204.8663461958501,10.73332642067271,0.05882821030269209,138.0902480240217,14.946673996354619,0.6901885254402363,250.89261205245876,116.64315658971202,0.7871859865554798
78,241021_mACmChPOLR2A_TotalPolII,F21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1447,0.0,266.4725614865567,72.3395417113793,0.3964852652576524,135.83296043790122,12.68938641023415,0.5859543666608978,290.8264745132788,156.57701905053207,1.0566863827833035
83,241021_mACmChPOLR2A_TotalPolII,G06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1102,4.0,202.8541422220917,8.721122446914308,0.047799536255084686,139.59320639978074,16.44963237211367,0.7595902281478881,251.54680787815195,117.29735241540521,0.7916009372607336
86,241021_mACmChPOLR2A_TotalPolII,G09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1512,0.0,262.9701732050803,68.83715342990291,0.3772890509333084,137.60004574547344,14.456471717806366,0.667552587312384,280.67595125190496,146.42649578915822,0.9881838670663747
89,241021_mACmChPOLR2A_TotalPolII,G12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1140,4.0,204.65302288721,10.520003112032612,0.057659008140073124,138.56428249596016,15.420708468293086,0.7120778871319978,267.7856108291085,133.53615536636178,0.9011912338127409
92,241021_mACmChPOLR2A_TotalPolII,G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1245,0.0,270.6606185449156,76.52759876973823,0.41943955656796655,136.5744274616692,13.430853434002117,0.6201928890185666,304.2288414895048,169.97938602675808,1.1471345134650615
95,241021_mACmChPOLR2A_TotalPolII,G18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1261,4.0,203.4938408862237,9.360821111046306,0.05130565598618942,137.11575391844096,13.972179890773887,0.6451895745067373,253.71193757602848,119.46248211328174,0.8062126796644351
98,241021_mACmChPOLR2A_TotalPolII,G21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1019,0.0,270.3858318566509,76.25281208147351,0.4179334802173505,137.47382453268085,14.33025050501378,0.6617241044835058,280.6404536721437,146.39099820939694,0.9879443056710757
103,241021_mACmChPOLR2A_TotalPolII,H06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,911,8.0,203.91515720962965,9.782137434452267,0.05361484554270432,142.1309470948614,18.987373067194326,0.8767747943406465,269.7014329010414,135.45197743829468,0.9141204817159332
106,241021_mACmChPOLR2A_TotalPolII,H09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1054,0.0,260.6610283906787,66.52800861550134,0.36463287600329325,136.70965998500768,13.566085957340604,0.6264374846990047,273.0848622391986,138.8354067764519,0.9369541244204633
109,241021_mACmChPOLR2A_TotalPolII,H12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1315,8.0,204.27699762424112,10.143977849063731,0.05559805402556368,140.2653302396697,17.121756212002637,0.7906267090451992,268.73683492175576,134.48737945900902,0.9076107298011743
112,241021_mACmChPOLR2A_TotalPolII,H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1355,0.0,258.23087237914496,64.09785260396757,0.3513134516876858,135.6024923358347,12.45891830816764,0.5753121034011861,277.70218777021273,143.452732307466,0.9681149233875561
115,241021_mACmChPOLR2A_TotalPolII,H18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1109,8.0,206.53504725148355,12.40202747630616,0.06797418171785904,139.68523370831863,16.541659680651563,0.7638397483017024,277.6127831259411,143.36332766319438,0.9675115610887189
118,241021_mACmChPOLR2A_TotalPolII,H21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1326,0.0,269.468184850623,75.33516507544562,0.412903955451359,135.9638602158036,12.820286188136535,0.5919988903263592,284.91077772886865,150.6613222661219,1.0167633067491135
123,241021_mACmChPOLR2A_TotalPolII,I06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1087,24.0,200.57702221131223,6.444002436134838,0.035318885837093646,141.7996507715072,18.65607674384013,0.8614766135577264,255.36319769192147,121.11374222917473,0.8173564866514246
126,241021_mACmChPOLR2A_TotalPolII,I09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1172,0.0,255.97966587231028,61.84664609713289,0.338974830404,137.39722729440274,14.253653266735668,0.6581870945137388,269.1528665414522,134.9034110787055,0.9104183892521354
129,241021_mACmChPOLR2A_TotalPolII,I12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1126,24.0,204.21099157565476,10.077971800477371,0.05523628195646781,140.5707612547019,17.42718722703482,0.8047305144764404,259.65051720369115,125.40106174094441,0.8462901844200997
132,241021_mACmChPOLR2A_TotalPolII,I15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1470,0.0,257.17485393803037,63.04183416285298,0.34552552793482594,135.53841986882477,12.394845841157704,0.5723534464091562,268.4633317759432,134.21387631319644,0.9057649477599714
135,241021_mACmChPOLR2A_TotalPolII,I18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1338,24.0,201.85988234931398,7.7268625741365895,0.04235010458787656,140.12008739792648,16.97651337025941,0.7839198695973089,249.38916322235016,115.13970775960343,0.7770397089240572
138,241021_mACmChPOLR2A_TotalPolII,I21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1333,0.0,271.59435860768156,77.46133883250417,0.42455728565096973,136.17102980830586,13.027455780638789,0.6015653046068914,275.9024234766489,141.65296801390215,0.9559689109474114
146,241021_mACmChPOLR2A_TotalPolII,J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1271,0.0,261.04387456252533,66.91085478734794,0.3667312147873998,137.04700771202113,13.903433684354056,0.6420150995131645,263.4237226260535,129.17426716330678,0.8717542966725349
