,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,TIME_IN_AUXIN,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_561_Intensity,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
67,241026_mACmChPOLR2A_TotalPolII,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1839,0.0,535.533440855373,293.9047317811275,0.45105940480928924,209.91090176690622,54.83051835358444,0.611791287177737,675.5439955805417,536.3537766270591,1.0168379081651793
70,241026_mACmChPOLR2A_TotalPolII,F13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2170,2.0,287.4417423589329,45.813033284687435,0.07030985653299439,212.9298250424355,57.84944162911373,0.645476012620537,537.4488054021103,398.25858644862774,0.755032304424
73,241026_mACmChPOLR2A_TotalPolII,F16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1914,0.0,521.5118736061455,279.88316453190004,0.4295403236444446,206.32041340402645,51.24002999070467,0.5717291180959578,676.3518168625968,537.1615979091142,1.0183694034923527
76,241026_mACmChPOLR2A_TotalPolII,F19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2094,2.0,280.20614949323016,38.57744041898468,0.059205298291731684,211.47156367622011,56.39118026289833,0.6292049353980806,504.91676623748,365.72654728399743,0.6933569474226237
81,241026_mACmChPOLR2A_TotalPolII,G04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2032,0.0,533.0399007129038,291.4111916386583,0.4472325364029383,211.0665614116701,55.986177998348325,0.6246859765375951,708.3174265904279,569.1272076369453,1.0789709041162088
84,241026_mACmChPOLR2A_TotalPolII,G07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2193,4.0,275.8638436842275,34.235134609982026,0.052541105232168206,222.47072990784127,67.39034649451949,0.7519321002833548,570.7080349325225,431.51781597903994,0.8180862938926065
87,241026_mACmChPOLR2A_TotalPolII,G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2054,0.0,528.272524534286,286.64381546004057,0.439915982332517,212.83279264292187,57.75240922960009,0.6443933386211125,678.9185732734961,539.7283543200135,1.0232355484387752
90,241026_mACmChPOLR2A_TotalPolII,G13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2084,4.0,276.1471106250588,34.51840155081334,0.05297583868119845,219.4079864816619,64.32760306834012,0.7177584357027256,537.1396024228228,397.9493834693402,0.7544461067978093
96,241026_mACmChPOLR2A_TotalPolII,G19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2201,4.0,280.6509451308395,39.02223605659401,0.05988793192728418,226.29072036637976,71.21033695305798,0.7945550217842082,532.6517977025851,393.4615787491025,0.7459379724975761
101,241026_mACmChPOLR2A_TotalPolII,H04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2080,0.0,529.5052223195461,287.8765132453006,0.4418078196158418,208.38860059495445,53.30821718163267,0.5948056627221247,647.9973136693617,508.8070947158791,0.964613962642498
104,241026_mACmChPOLR2A_TotalPolII,H07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1949,8.0,279.3526810916912,37.7239720174457,0.057895469263499526,228.10591730337876,73.02553389005698,0.8148087363926733,584.6314040045702,445.4411850510876,0.8444826951091061
107,241026_mACmChPOLR2A_TotalPolII,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1922,0.0,532.3728747926446,290.7441657183991,0.4462088430695198,211.70532781393268,56.6249444006109,0.6318132430887887,667.1756196732154,527.9854007197328,1.0009728537493092
110,241026_mACmChPOLR2A_TotalPolII,H13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2309,8.0,282.6063993979368,40.97769032369132,0.06288899295989643,229.52435498415971,74.44397157083793,0.8306354664795621,579.3146405881004,440.12442163461776,0.8344029924460419
113,241026_mACmChPOLR2A_TotalPolII,H16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1933,0.0,542.3619350453266,300.73322597108114,0.4615391834314242,212.80596606619534,57.725582652873555,0.6440940114143139,654.4946300774257,515.304411123943,0.9769317982073193
116,241026_mACmChPOLR2A_TotalPolII,H19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2014,8.0,282.21577372865323,40.587064654407754,0.06228949467750237,226.84473476845105,71.76435135512926,0.8007366373212431,560.3137105031528,421.12349154967023,0.7983803766973974
121,241026_mACmChPOLR2A_TotalPolII,I04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2251,0.0,507.7261174331762,266.09740835893075,0.4083831447976058,204.1439964766114,49.06361306328961,0.5474449611439448,640.7662082393447,501.5759892858621,0.9509049846514788
124,241026_mACmChPOLR2A_TotalPolII,I07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1784,24.0,270.57083704770355,28.94212797345807,0.04441785927878196,228.0302412996418,72.94985788632002,0.8139643540828775,601.2574282174279,462.0672092639453,0.8760028827509674
127,241026_mACmChPOLR2A_TotalPolII,I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2091,0.0,531.5860729411382,289.95736386689276,0.4450013280605149,210.1374100773098,55.05702666398801,0.6143186353578988,663.0158955833881,523.8256766299055,0.9930867059745258
130,241026_mACmChPOLR2A_TotalPolII,I13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2598,24.0,273.4923338822196,31.863624807974134,0.04890151837247218,225.4472575667597,70.36687415343792,0.7851437813407307,558.9711928393962,419.78097388591357,0.7958351856082735
133,241026_mACmChPOLR2A_TotalPolII,I16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2519,0.0,523.5272497299511,281.89854065570563,0.43263334752793753,208.89089544728242,53.810512033960634,0.6004101987264497,638.0419928217033,498.8517738682207,0.9457403235129185
136,241026_mACmChPOLR2A_TotalPolII,I19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2225,24.0,277.9650924664431,36.336383392197604,0.05576591899858359,231.1887043659183,76.10832095259653,0.8492060450761987,595.4810879346576,456.290868981175,0.8650518984828609
161,241026_mACmChPOLR2A_TotalPolII,K04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2016,0.0,521.5240136139579,279.8953045397124,0.4295589550719315,207.34180874049736,52.26142532717557,0.5831257050037674,631.8612082815937,492.6709893281111,0.934022579933097
164,241026_mACmChPOLR2A_TotalPolII,K07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2062,0.5,373.81304849467904,132.18433942043356,0.20286502058936365,212.3589346626167,57.27855124929491,0.6391060972742248,564.1804355715158,424.9902166180332,0.8057110468656768
167,241026_mACmChPOLR2A_TotalPolII,K10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1999,0.0,553.521327300778,311.89261822653253,0.47866564750116847,213.25229936910262,58.17191595578083,0.6490741362443408,681.481421745335,542.2912027918524,1.028094284580128
170,241026_mACmChPOLR2A_TotalPolII,K13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2014,4.0,286.0985884356914,44.46987936144592,0.06824850078171729,222.32558113896482,67.24519772564304,0.7503125505360673,564.8725880251044,425.6823690716218,0.807023253255766
181,241026_mACmChPOLR2A_TotalPolII,L04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2415,0.0,540.867604596479,299.2388955222336,0.4592458151050254,210.30011479664992,55.21973138332814,0.6161340719553258,623.9952754482442,484.80505649476163,0.9191100743508116
184,241026_mACmChPOLR2A_TotalPolII,L07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2339,1.0,310.1122186819841,68.4835096077386,0.1051025306592269,206.92071065381256,51.84032724049078,0.5784271512016742,511.5584286757543,372.3682097222718,0.7059484391483731
187,241026_mACmChPOLR2A_TotalPolII,L10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1428,0.0,540.1294818975971,298.5007728233516,0.45811300862308735,209.2572692559674,54.17688584264562,0.6044981466564358,683.1260204182262,543.9358014647436,1.0312121712198574
190,241026_mACmChPOLR2A_TotalPolII,L13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1740,8.0,285.4982467849856,43.86953771074013,0.06732714866190441,229.3065272305698,74.22614381724802,0.8282049747433282,598.3989620668874,459.2087431134048,0.8705837044627951
201,241026_mACmChPOLR2A_TotalPolII,M04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2045,0.0,540.7930350182828,299.16432594403733,0.45913137220594635,211.45025399840327,56.369870585081486,0.6289671649809411,663.944871284948,524.7546523314654,0.9948478900106499
204,241026_mACmChPOLR2A_TotalPolII,M07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1891,2.0,296.64337188938873,55.014662815143254,0.08443171674984135,217.071837857048,61.99145444372621,0.6916920147202653,540.7813846204165,401.5911656669339,0.7613503225471266
207,241026_mACmChPOLR2A_TotalPolII,M10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2322,0.0,529.2185216750064,287.5898126007609,0.44136781641718353,207.46645924641786,52.38607583309607,0.5845165379879219,607.4581185287495,468.26789957526694,0.8877583643754187
210,241026_mACmChPOLR2A_TotalPolII,M13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1860,24.0,281.9336208638893,40.304911789643825,0.06185647101546608,232.71562763162592,77.63524421830414,0.866243242210189,597.875390293018,458.6851713395354,0.8695910991143929
22,241102_mACmChPOLR2A_TotalPolII,D05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1677,0.0,479.5388162729078,236.88691827072793,0.4083056093367347,204.8276516548257,50.945384251163205,0.6328736643642844,712.1831256083977,558.9211037015165,1.1785446583074253
25,241102_mACmChPOLR2A_TotalPolII,D08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1073,24.0,250.73731385500284,8.085415852822962,0.013936272507690086,218.94155484772966,65.05928744406717,0.8082049090583895,660.7054639635588,507.44344205667755,1.0699985276426558
28,241102_mACmChPOLR2A_TotalPolII,D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1919,0.0,461.42905633804577,218.7771583358659,0.37709106773551726,200.7303900683666,46.84812266470411,0.5819750600609478,696.2639822689437,543.0019603620624,1.1449774495845944
31,241102_mACmChPOLR2A_TotalPolII,D14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1256,24.0,248.2729151445984,5.621017142418509,0.00968855876965083,218.05033039233535,64.16806298867286,0.7971335922914817,630.5215824637988,477.25956055691756,1.006352599670103
34,241102_mACmChPOLR2A_TotalPolII,D17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1377,0.0,465.9996266540828,223.34772865190294,0.3849690439088284,201.90049586118317,48.01822845752068,0.5965108055789884,719.1441299048739,565.8821079979926,1.1932226770398298
37,241102_mACmChPOLR2A_TotalPolII,D20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1364,24.0,252.7207651658947,10.068867163714827,0.01735501045234054,220.1110825434623,66.22881513979979,0.8227334731128833,638.9653689662839,485.70334705940263,1.0241572225631876
42,241102_mACmChPOLR2A_TotalPolII,E05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1461,0.0,466.8650612845014,224.21316328232152,0.38646073376951684,203.99190732563466,50.10963992197216,0.6224915545056325,698.9227682965094,545.6607463896281,1.1505837830180934
45,241102_mACmChPOLR2A_TotalPolII,E08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1759,8.0,256.89619611296234,14.244298110782466,0.02455191220416083,222.38182744812482,68.49956004446233,0.8509420079934008,641.7495190280688,488.4874971211875,1.0300278994109797
48,241102_mACmChPOLR2A_TotalPolII,E11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1653,0.0,458.5348702413857,215.88297223920583,0.3721025591831785,200.58555876254167,46.70329135887917,0.5801758800060834,675.4349016666591,522.1728797597779,1.101057115357267
51,241102_mACmChPOLR2A_TotalPolII,E14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1788,8.0,255.89596498558663,13.244066983406753,0.022827882937698902,215.8645500386828,61.98228263502031,0.7699805372651088,621.9834068631496,468.72138495626837,0.9883489473134555
54,241102_mACmChPOLR2A_TotalPolII,E17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1740,0.0,454.8654097171096,212.21351171492975,0.3657777636805863,199.27931919963123,45.397051795968736,0.5639490003609888,656.8348665077735,503.57284460089227,1.0618369607850728
57,241102_mACmChPOLR2A_TotalPolII,E20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1418,8.0,264.57021350514384,21.918315502963964,0.037779085617740384,224.1156366476689,70.23336924400641,0.8724804102952525,628.7681968578424,475.50617495096117,1.0026553994281229
62,241102_mACmChPOLR2A_TotalPolII,F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1965,0.0,467.9857242236868,225.33382622150694,0.3883923430267332,202.3171945461267,48.434927142464204,0.601687282850724,660.0640506644035,506.8020287575222,1.0686460394068733
65,241102_mACmChPOLR2A_TotalPolII,F08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1853,4.0,258.36504708481635,15.713149082636477,0.02708366910937874,208.07281270571588,54.19054530205338,0.6731869723492413,552.4947495533175,399.2327276464363,0.8418247145673737
68,241102_mACmChPOLR2A_TotalPolII,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1520,0.0,465.8473826805897,223.19548467840983,0.38470663149357676,201.37851527480188,47.49624787113939,0.5900264543215415,669.4073016143236,516.1452797074423,1.0883472788578974
71,241102_mACmChPOLR2A_TotalPolII,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1859,4.0,262.8026418290046,20.15074382682471,0.034732444479678125,211.0182585983078,57.1359911946453,0.7097770415504333,564.5099668344013,411.24794492752005,0.8671600795254064
74,241102_mACmChPOLR2A_TotalPolII,F17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2048,0.0,472.09756778955546,229.44566978737558,0.39547964360422055,203.26705842944193,49.384791025779435,0.613487053238505,653.6854914926585,500.4234695857772,1.0551961682358386
77,241102_mACmChPOLR2A_TotalPolII,F20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1485,4.0,263.5177849564656,20.86588695428574,0.035965087263638215,212.3789868010902,58.49671939742771,0.7266808112747547,561.9146199510105,408.65259804412926,0.8616875142820863
82,241102_mACmChPOLR2A_TotalPolII,G05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1606,0.0,472.15500907723117,229.5031110750513,0.39557865118191515,202.81274435452602,48.93047695086352,0.6078432953673936,626.2416490033604,472.97962709647913,0.9973279042626371
85,241102_mACmChPOLR2A_TotalPolII,G08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1478,2.0,270.1487032920085,27.496805289828643,0.047394342923766104,206.61756183935682,52.73529443569433,0.6551089862490398,501.21046351894796,347.9484416120667,0.7336863369669568
88,241102_mACmChPOLR2A_TotalPolII,G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2018,0.0,464.81101234435164,222.15911434217176,0.3829203115704453,205.11005921876398,51.22779181510148,0.6363818979846781,585.9751382679991,432.71311636111784,0.9124216789983611
91,241102_mACmChPOLR2A_TotalPolII,G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1816,2.0,266.79687377023805,24.144975768058174,0.04161702602813548,205.74393550458294,51.86166810092044,0.6442562837343686,489.12207796145526,335.860056054574,0.7081966889075201
94,241102_mACmChPOLR2A_TotalPolII,G17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1948,0.0,464.57519476173263,221.92329675955276,0.3825138491010677,199.68158772247818,45.79932031881569,0.5689462176330667,566.1669908832782,412.90496897639696,0.8706540911641828
97,241102_mACmChPOLR2A_TotalPolII,G20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1836,2.0,265.66236319399326,23.01046519181338,0.03966154855595529,204.1777979159632,50.2955305123007,0.6248007972525724,455.49434253996566,302.2323206330844,0.6372890282564798
102,241102_mACmChPOLR2A_TotalPolII,H05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1074,0.0,482.71422556722945,240.06232756504957,0.41377884287903516,206.01942622391735,52.137158820254854,0.6476785922242598,614.7758949924821,461.51387308560084,0.9731511411139621
105,241102_mACmChPOLR2A_TotalPolII,H08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1719,1.0,297.86974502634894,55.21784702416906,0.09517518670954793,205.2707570550559,51.3884896513934,0.638378181455779,519.514755289033,366.25273338215175,0.772282885114573
108,241102_mACmChPOLR2A_TotalPolII,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1920,0.0,473.05790414081645,230.40600613863657,0.3971349090022942,201.10607641026118,47.223809006598685,0.5866420577750932,593.3477018778432,440.0856799709619,0.9279675143638005
111,241102_mACmChPOLR2A_TotalPolII,H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1804,1.0,299.577422889979,56.92552488779913,0.0981185930223586,203.86356799421245,49.98130059054995,0.6208972475011195,512.1075453261171,358.84552341923586,0.7566639942247095
114,241102_mACmChPOLR2A_TotalPolII,H17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1959,0.0,461.1944988677361,218.54260086555624,0.37668677723463867,199.47902289688352,45.596755493221025,0.5664298376836412,564.0706848167694,410.8086629098881,0.8662338066186545
117,241102_mACmChPOLR2A_TotalPolII,H20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1693,1.0,292.61329471508054,49.961396712900665,0.08611500659087262,204.0288377116434,50.14657030798091,0.6229503255810359,492.03323218412373,338.77121027724246,0.7143351675513095
122,241102_mACmChPOLR2A_TotalPolII,I05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1810,0.0,465.64010435715164,222.98820635497177,0.38434936017284915,199.49496846119607,45.61270105753357,0.5666279229050046,584.4673813301571,431.2053594232758,0.909242412956425
125,241102_mACmChPOLR2A_TotalPolII,I08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2588,0.5,339.0792817800212,96.4273837778413,0.16620521714568579,197.03456544576758,43.15229804210509,0.5360633429126257,500.76731675750506,347.5052948506238,0.7327519148363807
128,241102_mACmChPOLR2A_TotalPolII,I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2563,0.0,470.742616704577,228.09071870239714,0.39314420806218137,199.5390235336435,45.656756129981005,0.5671752010449865,584.5583235749893,431.2963016681081,0.909434174362734
131,241102_mACmChPOLR2A_TotalPolII,I14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2145,0.5,341.27464596985646,98.62274796767659,0.16998921467408587,200.18572662961842,46.30345922595592,0.5752089290091843,504.4030275094945,351.14100560261323,0.7404181980694365
134,241102_mACmChPOLR2A_TotalPolII,I17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1608,0.0,469.3245835618232,226.67268555964333,0.3907000423368707,199.0636376692174,45.181370265554904,0.5612696769542647,595.777536837285,442.5155149304037,0.9330910800925837
137,241102_mACmChPOLR2A_TotalPolII,I20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1535,0.5,355.1788797737321,112.52698177155222,0.1939549815348952,202.62785800221877,48.74559059855628,0.6055465278585105,520.6975049497172,367.4354830428359,0.7747768387074555
162,241102_mACmChPOLR2A_TotalPolII,K05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1728,0.0,494.6782807944909,252.026382792311,0.434400458016611,205.83049907544762,51.94823167178512,0.6453316275579327,615.8792993311962,462.6172774243149,0.9754777866471734
165,241102_mACmChPOLR2A_TotalPolII,K08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1888,4.0,280.57674678730064,37.92484878512076,0.06536844079551574,213.07200980070218,59.18974239703968,0.7352899524501526,516.9109280862684,363.64890617938715,0.7667924382149107
168,241102_mACmChPOLR2A_TotalPolII,K11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1693,0.0,480.38523654497266,237.73333854279278,0.4097645254620457,199.0342223856361,45.1519549819736,0.5609042629215304,569.408482215195,416.14646030831375,0.8774891207754828
171,241102_mACmChPOLR2A_TotalPolII,K14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1425,0.5,353.98982301747367,111.33792501529379,0.1919054865820114,202.4779011607314,48.595633757068896,0.6036836753712129,503.66134261613695,350.3993207092557,0.7388542765008557
