,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN
69,F12,252.83740810721883,203.77576874595715,924.1656866682661,1768.5257890685143,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1299,241021_mACmChPOLR2A_TotalPolII,137.15456797620305,9.642748970779763,0.052850872331296,14.010993948535983,0.6469818807616077,118.5879526444721,0.800310770261398,2.0,2.0
72,F15,281.7241664042248,262.87259079237015,927.7779138425539,1787.7667161961367,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1346,241021_mACmChPOLR2A_TotalPolII,136.34104362953653,68.73957101719276,0.376754212200956,13.197469601869457,0.6094159868796347,147.47471094147804,0.9952579235556352,2.0,0.0
75,F18,250.89261205245876,204.8663461958501,899.3217808721885,1723.2615868028279,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1273,241021_mACmChPOLR2A_TotalPolII,138.0902480240217,10.73332642067271,0.05882821030269209,14.946673996354619,0.6901885254402363,116.64315658971202,0.7871859865554798,2.0,2.0
78,F21,290.8264745132788,266.4725614865567,936.1224509173522,1755.095369730477,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1447,241021_mACmChPOLR2A_TotalPolII,135.83296043790122,72.3395417113793,0.3964852652576524,12.68938641023415,0.5859543666608978,156.57701905053207,1.0566863827833035,2.0,0.0
83,G06,251.54680787815195,202.8541422220917,867.1687954385642,1797.057168784029,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1102,241021_mACmChPOLR2A_TotalPolII,139.59320639978074,8.721122446914308,0.047799536255084686,16.44963237211367,0.7595902281478881,117.29735241540521,0.7916009372607336,4.0,4.0
86,G09,280.67595125190496,262.9701732050803,893.2163743972021,1716.9781746031747,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1512,241021_mACmChPOLR2A_TotalPolII,137.60004574547344,68.83715342990291,0.3772890509333084,14.456471717806366,0.667552587312384,146.42649578915822,0.9881838670663747,4.0,0.0
89,G12,267.7856108291085,204.65302288721,954.884492191915,1737.0447368421053,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1140,241021_mACmChPOLR2A_TotalPolII,138.56428249596016,10.520003112032612,0.057659008140073124,15.420708468293086,0.7120778871319978,133.53615536636178,0.9011912338127409,4.0,4.0
92,G15,304.2288414895048,270.6606185449156,983.8271240153907,1755.8626506024095,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1245,241021_mACmChPOLR2A_TotalPolII,136.5744274616692,76.52759876973823,0.41943955656796655,13.430853434002117,0.6201928890185666,169.97938602675808,1.1471345134650615,4.0,0.0
95,G18,253.71193757602848,203.4938408862237,924.8517113558823,1722.1268834258526,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1261,241021_mACmChPOLR2A_TotalPolII,137.11575391844096,9.360821111046306,0.05130565598618942,13.972179890773887,0.6451895745067373,119.46248211328174,0.8062126796644351,4.0,4.0
98,G21,280.6404536721437,270.3858318566509,903.0353074637034,1722.8125613346417,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1019,241021_mACmChPOLR2A_TotalPolII,137.47382453268085,76.25281208147351,0.4179334802173505,14.33025050501378,0.6617241044835058,146.39099820939694,0.9879443056710757,4.0,0.0
