,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN
22,D05,228.98407459337818,298.9880361680107,888.5852249210548,1904.807917888563,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1364,241021_mACmChPOLR2A_TotalPolII,123.59712504967783,104.8550163928333,0.57469909270338,0.4535510220107568,0.020943502960582634,94.73461913063144,0.6904845459294711,0.5,0.5
25,D08,284.3256413051475,357.7856676021171,933.7614238267984,1891.8267498267498,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1443,241021_mACmChPOLR2A_TotalPolII,123.41908784100157,163.6526478269397,0.8969626009335714,0.27551381333449854,0.012722326894273054,150.07618584240075,1.0938481411249041,0.5,0.0
28,D11,237.17858558105775,307.48740389734667,980.5838912544399,1873.623974763407,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1585,241021_mACmChPOLR2A_TotalPolII,123.6505402312083,113.35438412216928,0.6212832151482421,0.506966203541225,0.023410041361408656,102.92913011831101,0.750211214494421,0.5,0.5
31,D14,278.93005146735203,362.43434029848225,999.6529238721001,1963.7407407407406,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1863,241021_mACmChPOLR2A_TotalPolII,123.59515709338564,168.30132052330487,0.9224414771264574,0.451583065718566,0.020852629174764513,144.6805960046053,1.0545217424613427,0.5,0.0
34,D17,245.06855265566642,311.7530483325829,988.1248023702269,1806.4820819112629,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1172,241021_mACmChPOLR2A_TotalPolII,123.49218001936543,117.62002855740553,0.6446627545452056,0.3486059916983635,0.016097484659704644,110.81909719291968,0.8077181785050899,0.5,0.5
37,D20,291.5364909865845,370.15431480380107,1004.3288110670677,1849.1499688861231,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1607,241021_mACmChPOLR2A_TotalPolII,123.83803779335997,176.02129502862368,0.9647538289483125,0.6944637656929018,0.03206806561327009,157.28703552383777,1.1464052771934738,0.5,0.0
42,E05,216.435855187084,276.7942975110568,947.9882202464256,1834.2446933962265,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1696,241021_mACmChPOLR2A_TotalPolII,123.54981761585341,82.66127773587942,0.4530575927672921,0.4062435881863422,0.01875900037481689,82.18639972433726,0.5990253554192841,1.0,1.0
45,E08,273.3025927872813,358.701486904838,924.4607439201995,1928.714196762142,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1606,241021_mACmChPOLR2A_TotalPolII,123.3283194750062,164.56846712966063,0.901982108253871,0.18474544733912523,0.008530940589985854,139.05313732453456,1.0135053401460765,1.0,0.0
48,E11,212.19762330544512,275.16373351063555,936.3724567130746,1869.64996568291,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1457,241021_mACmChPOLR2A_TotalPolII,122.90213977306063,81.03071373545816,0.44412064645919985,-0.24143425460644607,-0.011148644321688335,77.94816784269838,0.5681344979566927,1.0,1.0
51,E14,284.60708805611284,375.62601172889896,979.9833648177927,1884.540186915888,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1605,241021_mACmChPOLR2A_TotalPolII,123.47085123559559,181.49299195372157,0.9947436126189444,0.32727720792851756,0.015112591176168847,150.3576325933661,1.0958994992643787,1.0,0.0
54,E17,211.41172485323605,290.03345268892383,1047.1470784894932,1840.7834518422753,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1547,241021_mACmChPOLR2A_TotalPolII,123.52529782758045,95.90043291374644,0.5256199815840037,0.3817237999133738,0.017626756738784263,77.16226939048931,0.5624063835577529,1.0,1.0
57,E20,279.73422316167665,380.3439526412885,1008.9277377415156,1927.1045376220563,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1741,241021_mACmChPOLR2A_TotalPolII,123.66429325717712,186.21093286611114,1.0206021404705863,0.5207192295100498,0.02404511112449304,145.48476769892991,1.060383043560146,1.0,0.0
62,F05,182.0162052033613,244.8968900254895,923.574966954496,1904.8699334543255,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1653,241021_mACmChPOLR2A_TotalPolII,123.47182349936459,50.763870250312124,0.2782313252965214,0.32824947169751795,0.015157487137452876,47.76674974061456,0.348153640219898,2.0,2.0
65,F08,274.4464694580905,371.6102019571953,966.5044155392742,1886.92091152815,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1492,241021_mACmChPOLR2A_TotalPolII,123.46019139863401,177.47718218201788,0.9727333902026785,0.316617370966938,0.0146203547658651,140.19701399534378,1.0218426213943803,2.0,0.0
68,F11,186.62331654688313,251.2901499407871,944.5484907922206,1881.7575471698112,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1060,241021_mACmChPOLR2A_TotalPolII,123.62796831461252,57.157130165609715,0.31327209682216045,0.4843942869454452,0.02236774406935553,52.373861084136394,0.38173311954088046,2.0,2.0
