DRUG_CONCENTRATION,TIME_MINUTES,Mean,SD,N
0,240,1.0,0.09960129487842845,80
3,240,0.9648230592861162,0.09432890876928043,20
10,240,0.9444326116660651,0.08884468221240627,20
30,240,0.8636246380295864,0.08610978609889053,20
100,240,0.7621004869485222,0.08569986577356643,20
300,240,0.7059436870432072,0.09098042960273015,20
1000,240,0.6782179305590682,0.09645426361923959,20
