,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,IF_568_Intensity,IF_Intensity_BGS,IF_Intensity_FC
98,260508_mACPOLR2A_CRC_EU,G21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3572,448.32471708004374,322.14501967927265,0.9484808636693767
99,260508_mACPOLR2A_CRC_EU,G22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3365,456.8964333725987,330.7167359718277,0.9737182827683458
113,260508_mACPOLR2A_CRC_EU,H16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4323,434.82656502653316,308.64686762576207,0.9087387036620587
114,260508_mACPOLR2A_CRC_EU,H17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4065,388.50022240134376,262.32052500057273,0.7723415943492115
115,260508_mACPOLR2A_CRC_EU,H18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3923,331.3611659520179,205.18146855124687,0.6041089714631999
116,260508_mACPOLR2A_CRC_EU,H19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3386,289.02512184479207,162.845424444021,0.479460365319468
117,260508_mACPOLR2A_CRC_EU,H20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3831,258.36050995023777,132.1808125494667,0.38917556873068354
118,260508_mACPOLR2A_CRC_EU,H21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3630,247.67758237681574,121.49788497604467,0.35772218049750615
119,260508_mACPOLR2A_CRC_EU,H22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3394,461.614171297087,335.4344738963159,0.987608561580166
133,260508_mACPOLR2A_CRC_EU,I16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4756,447.7632900673587,321.5835926665876,0.9468278727946179
134,260508_mACPOLR2A_CRC_EU,I17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3870,418.9848363350503,292.8051389342793,0.8620964289304083
135,260508_mACPOLR2A_CRC_EU,I18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3821,382.12732137821087,255.9476239774398,0.7535780738933666
136,260508_mACPOLR2A_CRC_EU,I19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3832,325.53183991943575,199.3521425186647,0.586945880767281
137,260508_mACPOLR2A_CRC_EU,I20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3927,268.68786551395203,142.50816811318097,0.41958205812556737
138,260508_mACPOLR2A_CRC_EU,I21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3985,243.52012979927065,117.34043239849959,0.3454815311919842
139,260508_mACPOLR2A_CRC_EU,I22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3129,441.649869169294,315.47017176852296,0.9288283310381018
153,260508_mACPOLR2A_CRC_EU,J16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4126,435.864671224892,309.6849738241209,0.9117951652040691
154,260508_mACPOLR2A_CRC_EU,J17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4151,449.5814642305614,323.4017668297903,0.9521810624926388
155,260508_mACPOLR2A_CRC_EU,J18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3969,414.53311249047624,288.3534150897052,0.8489893665237848
156,260508_mACPOLR2A_CRC_EU,J19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3643,370.2075422171726,244.02784481640154,0.7184830646808519
157,260508_mACPOLR2A_CRC_EU,J20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3975,310.8742690295494,184.69457162877833,0.5437900824539134
158,260508_mACPOLR2A_CRC_EU,J21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3747,266.1746588098022,139.99496140903116,0.41218250724098465
159,260508_mACPOLR2A_CRC_EU,J22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3168,425.3407827283348,299.1610853275637,0.880810030433671
173,260508_mACPOLR2A_CRC_EU,K16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4262,428.1065396031756,301.9268422024045,0.8889531563834692
174,260508_mACPOLR2A_CRC_EU,K17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3508,442.57989175694445,316.4001943561734,0.9315665656010479
175,260508_mACPOLR2A_CRC_EU,K18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3771,433.7339293693601,307.5542319685891,0.9055216928486579
176,260508_mACPOLR2A_CRC_EU,K19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3859,419.73209147179784,293.5523940710268,0.8642965473683383
177,260508_mACPOLR2A_CRC_EU,K20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3666,359.2801243645798,233.10042696380876,0.6863098318529094
178,260508_mACPOLR2A_CRC_EU,K21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3638,301.39158311830397,175.2118857175329,0.5158705258146146
179,260508_mACPOLR2A_CRC_EU,K22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3293,414.4330302497968,288.2533328490257,0.8486946977122906
193,260508_mACPOLR2A_CRC_EU,L16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3491,419.8079929154457,293.6282955146746,0.8645200214636277
194,260508_mACPOLR2A_CRC_EU,L17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3858,440.30823544492347,314.1285380441524,0.9248782034996228
195,260508_mACPOLR2A_CRC_EU,L18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3748,437.4966682583289,311.31697085755786,0.9166001997730383
196,260508_mACPOLR2A_CRC_EU,L19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3942,441.53167630207844,315.35197890130735,0.9284803397114383
197,260508_mACPOLR2A_CRC_EU,L20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3818,387.6838595019373,261.50416210116623,0.7699380042249016
198,260508_mACPOLR2A_CRC_EU,L21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3775,349.50281290461595,223.3231155038449,0.6575228190127177
199,260508_mACPOLR2A_CRC_EU,L22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3155,414.78343551421494,288.6037381134439,0.8497263842743258
213,260508_mACPOLR2A_CRC_EU,M16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4097,425.0735918518397,298.8938944510686,0.8800233492254532
214,260508_mACPOLR2A_CRC_EU,M17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3431,426.14273900417703,299.96304160340594,0.8831712036155295
215,260508_mACPOLR2A_CRC_EU,M18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3624,428.20243362029663,302.02273621952554,0.8892354939476825
216,260508_mACPOLR2A_CRC_EU,M19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3593,413.1441456499793,286.9644482492082,0.8448998776662686
217,260508_mACPOLR2A_CRC_EU,M20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3657,391.9467094482301,265.76701204745905,0.7824889714966545
218,260508_mACPOLR2A_CRC_EU,M21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3428,375.01793323257266,248.8382358318016,0.7326461389056732
219,260508_mACPOLR2A_CRC_EU,M22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4492,360.27305538457074,234.09335798379968,0.6892332856202305
233,260508_mACPOLR2A_CRC_EU,N16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4251,417.1753281826294,290.9956307818584,0.8567687542796137
234,260508_mACPOLR2A_CRC_EU,N17,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4182,419.5138622603569,293.3341648595858,0.8636540223615835
235,260508_mACPOLR2A_CRC_EU,N18,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3284,436.8078450211837,310.6281476204126,0.9145721204330767
236,260508_mACPOLR2A_CRC_EU,N19,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3952,424.6077660348557,298.42806863408464,0.8786518337705431
238,260508_mACPOLR2A_CRC_EU,N21,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4318,408.8732128297094,282.6935154289383,0.8323251122575823
0,260515_mACPOLR2A_CRC_EU,C03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3270,1025.4952229646603,878.1595967577537,1.3535509658761706
1,260515_mACPOLR2A_CRC_EU,C04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4202,978.8291373690234,831.4935111621166,1.2816222123046728
2,260515_mACPOLR2A_CRC_EU,C05,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3923,1019.1715171449645,871.8358909380577,1.3438039242771622
3,260515_mACPOLR2A_CRC_EU,C06,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3391,995.2735048240671,847.9378786171603,1.3069687319284138
4,260515_mACPOLR2A_CRC_EU,C07,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,2966,1009.5776215744397,862.241995367533,1.3290163769293413
5,260515_mACPOLR2A_CRC_EU,C08,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3511,948.8707328765402,801.5351066696335,1.2354458367499048
6,260515_mACPOLR2A_CRC_EU,C09,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3168,954.0032456654878,806.6676194585812,1.2433568334166853
7,260515_mACPOLR2A_CRC_EU,C10,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3501,1047.4100613306045,900.0744351236979,1.3873293937915085
8,260515_mACPOLR2A_CRC_EU,C11,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3163,961.6058069171609,814.2701807102542,1.2550750383572542
9,260515_mACPOLR2A_CRC_EU,C12,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3898,993.1928875920452,845.8572613851384,1.3037617733363542
10,260515_mACPOLR2A_CRC_EU,C13,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3262,966.4591568485248,819.1235306416181,1.262555747457954
11,260515_mACPOLR2A_CRC_EU,C14,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3071,970.5008068924346,823.165180685528,1.2687853432408456
12,260515_mACPOLR2A_CRC_EU,C15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3847,964.1691373054254,816.8335110985186,1.2590260266920683
20,260515_mACPOLR2A_CRC_EU,D03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3432,913.1816273218366,765.8460011149298,1.180436447257175
21,260515_mACPOLR2A_CRC_EU,D04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3472,928.032354109779,780.6967279028722,1.203326609434982
22,260515_mACPOLR2A_CRC_EU,D05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3705,776.2644064784172,628.9287802715105,0.9693991401413317
23,260515_mACPOLR2A_CRC_EU,D06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3678,912.8982018280753,765.5625756211687,1.1799995894784172
24,260515_mACPOLR2A_CRC_EU,D07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3993,904.264022397406,756.9283961904994,1.1666913002436594
25,260515_mACPOLR2A_CRC_EU,D08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3951,911.8300790893026,764.4944528823958,1.1783532388946758
26,260515_mACPOLR2A_CRC_EU,D09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3951,914.1068381990729,766.7712119921662,1.1818625206966114
27,260515_mACPOLR2A_CRC_EU,D10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4223,776.6072265538959,629.2716003469891,0.9699275457363955
28,260515_mACPOLR2A_CRC_EU,D11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4014,903.7361090084761,756.4004828015693,1.1658776011391647
29,260515_mACPOLR2A_CRC_EU,D12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4085,915.9638931272077,768.628266920301,1.1847248916152264
30,260515_mACPOLR2A_CRC_EU,D13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3682,877.0995975905103,729.7639713836036,1.1248214242318308
31,260515_mACPOLR2A_CRC_EU,D14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3716,901.5701839132098,754.2345577063031,1.1625391533040137
32,260515_mACPOLR2A_CRC_EU,D15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3789,895.8562656426712,748.5206394357645,1.153732007515731
