,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,GFP_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
23,260508_mACPOLR2A_CRC_EU,D06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3678,226.32244068127898,93.27608255537882,0.8717560573500669
24,260508_mACPOLR2A_CRC_EU,D07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3993,232.49343593302459,99.44707780712443,0.9294300327487852
25,260508_mACPOLR2A_CRC_EU,D08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3951,233.00379062352303,99.95743249762288,0.9341997955931338
26,260508_mACPOLR2A_CRC_EU,D09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3951,231.0854498681212,98.03909174222105,0.9162710283489672
27,260508_mACPOLR2A_CRC_EU,D10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4223,151.27833934882113,18.23198122292098,0.170395664495641
28,260508_mACPOLR2A_CRC_EU,D11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4014,228.58995506395576,95.5435969380556,0.8929481930409422
29,260508_mACPOLR2A_CRC_EU,D12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4085,228.65759104245768,95.61123291655753,0.8935803172933608
30,260508_mACPOLR2A_CRC_EU,D13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3682,231.77449445423116,98.728136328331,0.9227108227235755
31,260508_mACPOLR2A_CRC_EU,D14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3716,229.75448284244658,96.70812471654642,0.9038318420647857
32,260508_mACPOLR2A_CRC_EU,D15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3789,132.70420586465974,-0.34215226124041465,-0.0031977469261240308
33,260508_mACPOLR2A_CRC_EU,D16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3673,132.6755628239705,-0.37079530192966104,-0.0034654441056979073
34,260508_mACPOLR2A_CRC_EU,D17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4156,150.49710956047397,17.450751434573817,0.16309430940528752
35,260508_mACPOLR2A_CRC_EU,D18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3706,231.16418966018614,98.11783153428598,0.9170069285798367
36,260508_mACPOLR2A_CRC_EU,D19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3969,234.3311781767981,101.28482005089793,0.946605528213086
37,260508_mACPOLR2A_CRC_EU,D20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3872,232.5820645418169,99.53570641591674,0.9302583536264692
38,260508_mACPOLR2A_CRC_EU,D21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3817,234.8908649954692,101.84450686956905,0.9518363479583927
39,260508_mACPOLR2A_CRC_EU,D22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3292,132.6290853843236,-0.4172727415765678,-0.0038998211553371636
40,260508_mACPOLR2A_CRC_EU,E03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3487,132.26828715768113,-0.7780709682190263,-0.007271832832285404
41,260508_mACPOLR2A_CRC_EU,E04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3554,131.91762904336892,-1.1287290825312368,-0.010549075259668993
42,260508_mACPOLR2A_CRC_EU,E05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3518,155.52535179657744,22.478993670677283,0.21008814219778477
43,260508_mACPOLR2A_CRC_EU,E06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3561,153.10512498394402,20.058766858043867,0.1874687597551142
44,260508_mACPOLR2A_CRC_EU,E07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4152,227.88090564709609,94.83454752119593,0.8863214339921692
45,260508_mACPOLR2A_CRC_EU,E08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3813,227.2019602854727,94.15560215957254,0.8799760267303075
46,260508_mACPOLR2A_CRC_EU,E09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3750,230.5772254430067,97.53086731710655,0.9115211749144196
47,260508_mACPOLR2A_CRC_EU,E10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4022,156.04922856057408,23.002870434673923,0.21498428202063677
48,260508_mACPOLR2A_CRC_EU,E11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4083,152.54636719644395,19.500009070543797,0.18224662271311834
49,260508_mACPOLR2A_CRC_EU,E12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3968,224.45346096918993,91.40710284328978,0.8542886172470728
