,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,EU_647_Intensity_BGS,EU_647_Intensity_FC
140,260508_mACPOLR2A_CRC_EU,J03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3545,597.1370727287674,414.86713910899016,1.8028242916676607
141,260508_mACPOLR2A_CRC_EU,J04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3449,553.9863686502929,371.71643503051564,1.615310916464426
142,260508_mACPOLR2A_CRC_EU,J05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4156,421.69761787418855,239.42768425441128,1.0404440472162562
143,260508_mACPOLR2A_CRC_EU,J06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4125,404.6865208514627,222.41658723168544,0.9665215403473072
144,260508_mACPOLR2A_CRC_EU,J07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3788,385.86193318749133,203.59199956771405,0.8847184262367938
145,260508_mACPOLR2A_CRC_EU,J08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4044,383.664964747467,201.39503112768975,0.8751713985300211
146,260508_mACPOLR2A_CRC_EU,J09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4009,351.5392994301148,169.26936581033752,0.7355678378708279
147,260508_mACPOLR2A_CRC_EU,J10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4076,408.021544000512,225.75161038073472,0.9810140372929389
148,260508_mACPOLR2A_CRC_EU,J11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3983,396.2586291606835,213.9886955409062,0.9298977482091471
149,260508_mACPOLR2A_CRC_EU,J12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4172,394.214010262403,211.94407664262573,0.9210127624642181
150,260508_mACPOLR2A_CRC_EU,J13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3592,363.2481841659001,180.97825054612284,0.7864493366449808
151,260508_mACPOLR2A_CRC_EU,J14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3613,347.5126112152616,165.2426775954843,0.7180696784738212
152,260508_mACPOLR2A_CRC_EU,J15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4395,543.0280714586064,360.75813783882916,1.5676911304892927
160,260508_mACPOLR2A_CRC_EU,K03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3302,567.0116766371503,384.7417430173731,1.6719129932054095
161,260508_mACPOLR2A_CRC_EU,K04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3878,584.9906906876371,402.72075706785984,1.7500416281704854
162,260508_mACPOLR2A_CRC_EU,K05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4076,418.80658198124917,236.5366483614719,1.0278809173740902
163,260508_mACPOLR2A_CRC_EU,K06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3764,402.26512631532125,219.99519269554398,0.9559992586866227
164,260508_mACPOLR2A_CRC_EU,K07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3967,400.94375840734267,218.6738247875654,0.950257193485098
165,260508_mACPOLR2A_CRC_EU,K08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3938,407.02009394423004,224.75016032445276,0.9766621898744267
166,260508_mACPOLR2A_CRC_EU,K09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3747,390.7654961886082,208.49556256883093,0.9060270854695364
167,260508_mACPOLR2A_CRC_EU,K10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3962,397.382112609067,215.11217898928973,0.9347798973626866
168,260508_mACPOLR2A_CRC_EU,K11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3870,383.25107042413526,200.981136804358,0.8733728016541914
169,260508_mACPOLR2A_CRC_EU,K12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4015,386.8246422734899,204.55470865371265,0.8889019229817395
170,260508_mACPOLR2A_CRC_EU,K13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3980,388.7775348231354,206.50760120335812,0.8973883076471509
171,260508_mACPOLR2A_CRC_EU,K14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3563,374.7289386910245,192.45900507124722,0.8363394850645937
172,260508_mACPOLR2A_CRC_EU,K15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4588,575.0801471168655,392.8102134970883,1.7069749038900555
180,260508_mACPOLR2A_CRC_EU,L03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3323,555.7802513124989,373.5103176927216,1.6231063163285178
181,260508_mACPOLR2A_CRC_EU,L04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4283,581.6992463306252,399.42931271084797,1.735738504876031
182,260508_mACPOLR2A_CRC_EU,L05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4251,396.01894791568424,213.74901429590696,0.9288562023020168
183,260508_mACPOLR2A_CRC_EU,L06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3586,418.39186137011836,236.1219277503411,1.0260787298265113
184,260508_mACPOLR2A_CRC_EU,L07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3810,389.3307358019265,207.06080218214922,0.8997922680207802
185,260508_mACPOLR2A_CRC_EU,L08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4035,395.84619222784613,213.57625860806885,0.9281054844909432
186,260508_mACPOLR2A_CRC_EU,L09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4018,388.34139064905474,206.07145702927747,0.8954930230184608
187,260508_mACPOLR2A_CRC_EU,L10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3995,400.131067377497,217.86113375771973,0.9467256071238044
188,260508_mACPOLR2A_CRC_EU,L11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3773,387.9088048681554,205.63887124837814,0.893613201551496
189,260508_mACPOLR2A_CRC_EU,L12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3933,388.3802298243828,206.11029620460553,0.8956618004465795
190,260508_mACPOLR2A_CRC_EU,L13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3871,380.0842747973877,197.81434117761043,0.8596113451674013
191,260508_mACPOLR2A_CRC_EU,L14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3598,363.42325216817346,181.1533185483962,0.7872101027251047
192,260508_mACPOLR2A_CRC_EU,L15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4256,566.498884633341,384.2289510135638,1.6696846318967125
200,260508_mACPOLR2A_CRC_EU,M03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4209,572.3898794985604,390.11994587878314,1.6952842218471635
201,260508_mACPOLR2A_CRC_EU,M04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3636,565.4940416092946,383.2241079895174,1.6653180401802552
202,260508_mACPOLR2A_CRC_EU,M05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3769,397.2864452575432,215.01651163776594,0.9343641704733096
203,260508_mACPOLR2A_CRC_EU,M06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3733,398.7244893568247,216.4545557370474,0.9406132574466523
204,260508_mACPOLR2A_CRC_EU,M07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3885,392.9076029651257,210.63766934534843,0.9153357092866593
205,260508_mACPOLR2A_CRC_EU,M08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3908,399.4720749934602,217.2021413736829,0.943861925318306
206,260508_mACPOLR2A_CRC_EU,M09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3760,379.85407214633534,197.58413852655806,0.8586109889275343
207,260508_mACPOLR2A_CRC_EU,M10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3631,393.25972812696,210.98979450718272,0.9168658854216641
208,260508_mACPOLR2A_CRC_EU,M11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3972,372.5597022198183,190.28976860004101,0.8269129679076525
209,260508_mACPOLR2A_CRC_EU,M12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3776,370.2666722665386,187.99673864676132,0.8169485004635145
210,260508_mACPOLR2A_CRC_EU,M13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4013,377.90435218953473,195.63441856975746,0.8501383909106884
211,260508_mACPOLR2A_CRC_EU,M14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3574,370.79594759758714,188.52601397780987,0.8192484908311394
212,260508_mACPOLR2A_CRC_EU,M15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3695,515.9644412173631,333.6945075975858,1.4500848767753607
220,260508_mACPOLR2A_CRC_EU,N03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4398,495.7309375351705,313.46100391539323,1.3621592531114899
221,260508_mACPOLR2A_CRC_EU,N04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3836,545.9427966584699,363.67286303869264,1.5803572033075337
222,260508_mACPOLR2A_CRC_EU,N05,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3708,530.0550379309921,347.7851043112148,1.5113162148224777
223,260508_mACPOLR2A_CRC_EU,N06,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",No primary,Goat anti-rabbit Alexa568,AF647 azide click,4335,484.31149610744535,302.0415624876681,1.312535543585124
224,260508_mACPOLR2A_CRC_EU,N07,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3289,484.88177211757954,302.6118384978023,1.3150137042951608
225,260508_mACPOLR2A_CRC_EU,N08,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",No primary,Goat anti-rabbit Alexa568,AF647 azide click,3887,526.0634843024482,343.7935506826709,1.4939707343911084
226,260508_mACPOLR2A_CRC_EU,N09,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3365,498.948588570398,316.67865495062074,1.3761417041218935
227,260508_mACPOLR2A_CRC_EU,N10,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3860,534.4555913226886,352.1856577029114,1.5304390225926223
228,260508_mACPOLR2A_CRC_EU,N11,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3396,524.0042515153542,341.73431789557696,1.485022243318172
229,260508_mACPOLR2A_CRC_EU,N12,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3220,506.6076791258886,324.33774550611133,1.4094246354602882
231,260508_mACPOLR2A_CRC_EU,N14,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3700,485.3432738398683,303.07334022009104,1.3170191813193848
0,260515_mACPOLR2A_CRC_EU,C03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3270,384.79697608071683,226.01128171782486,2.293259213941297
1,260515_mACPOLR2A_CRC_EU,C04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4202,398.9553396396548,240.16964527676285,2.436919288956502
2,260515_mACPOLR2A_CRC_EU,C05,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3923,387.72168551612543,228.93599115323346,2.322935240774443
3,260515_mACPOLR2A_CRC_EU,C06,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3391,400.1613341397563,241.37563977686435,2.449156102881451
4,260515_mACPOLR2A_CRC_EU,C07,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,2966,378.11655788131617,219.3308635184242,2.2254752941638603
5,260515_mACPOLR2A_CRC_EU,C08,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3511,383.49637387078883,224.71067950789686,2.2800624479262557
6,260515_mACPOLR2A_CRC_EU,C09,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3168,379.48057324088063,220.69487887798866,2.239315491730564
7,260515_mACPOLR2A_CRC_EU,C10,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3501,382.20679051618464,223.42109615329267,2.2669774864694037
8,260515_mACPOLR2A_CRC_EU,C11,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3163,362.4146791889288,203.62898482603683,2.0661536987380957
9,260515_mACPOLR2A_CRC_EU,C12,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3898,366.89489119577485,208.10919683288287,2.1116128784171773
10,260515_mACPOLR2A_CRC_EU,C13,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3262,346.05840362193425,187.27270925904227,1.9001921619303739
11,260515_mACPOLR2A_CRC_EU,C14,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3071,356.7817843281564,197.99608996526442,2.00899864018329
12,260515_mACPOLR2A_CRC_EU,C15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3847,347.2668516639209,188.4811573010289,1.9124538711060914
20,260515_mACPOLR2A_CRC_EU,D03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3432,368.33283359262407,209.5471392297321,2.1262031883593524
21,260515_mACPOLR2A_CRC_EU,D04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3472,353.04041659272355,194.25472222983157,1.9710362607533283
22,260515_mACPOLR2A_CRC_EU,D05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3705,273.3756486929514,114.58995433005944,1.1627050941669705
23,260515_mACPOLR2A_CRC_EU,D06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3678,270.7263052936105,111.94061093071852,1.1358231123682985
24,260515_mACPOLR2A_CRC_EU,D07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3993,269.0331874970669,110.2474931341749,1.118643624876788
25,260515_mACPOLR2A_CRC_EU,D08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3951,278.32963545482477,119.5439410919328,1.212971504326058
26,260515_mACPOLR2A_CRC_EU,D09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3951,278.190912565477,119.40521820258502,1.2115639305900774
27,260515_mACPOLR2A_CRC_EU,D10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4223,268.17104847555686,109.38535411266488,1.1098957949465784
28,260515_mACPOLR2A_CRC_EU,D11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4014,278.32274725791046,119.53705289501849,1.2129016121466893
29,260515_mACPOLR2A_CRC_EU,D12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4085,269.6183710358904,110.83267667299842,1.1245812822010326
30,260515_mACPOLR2A_CRC_EU,D13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3682,265.8068880995455,107.02119373665354,1.0859074677962026
31,260515_mACPOLR2A_CRC_EU,D14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3716,268.72709080304713,109.94139644015516,1.1155377663613084
32,260515_mACPOLR2A_CRC_EU,D15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3789,347.2151871688358,188.42949280594385,1.9119296491359008
40,260515_mACPOLR2A_CRC_EU,E03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3487,366.1151685520178,207.32947418912582,2.1037012992981
41,260515_mACPOLR2A_CRC_EU,E04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3554,363.8272696732059,205.0415753103139,2.080486771489918
42,260515_mACPOLR2A_CRC_EU,E05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3518,264.2721192681305,105.48642490523852,1.0703346931224735
43,260515_mACPOLR2A_CRC_EU,E06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3561,270.1614604072949,111.37576604440292,1.1300918243983107
44,260515_mACPOLR2A_CRC_EU,E07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4152,267.4399541921391,108.65425982924714,1.1024776311763258
45,260515_mACPOLR2A_CRC_EU,E08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3813,264.07390295541563,105.28820859252366,1.0683234599573328
46,260515_mACPOLR2A_CRC_EU,E09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3750,264.84681764301615,106.06112328012418,1.0761659610725798
47,260515_mACPOLR2A_CRC_EU,E10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4022,262.0619589355694,103.27626457267743,1.0479089517682818
48,260515_mACPOLR2A_CRC_EU,E11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4083,263.59382063159313,104.80812626870116,1.063452228732996
