,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,EU_647_Intensity_BGS,EU_647_Intensity_FC
29,260508_mACPOLR2A_CRC_EU,D12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4085,421.59880138598174,239.32886776620447,1.0400146356081468
30,260508_mACPOLR2A_CRC_EU,D13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3682,437.4472681684119,255.1773345486346,1.1088848791333803
31,260508_mACPOLR2A_CRC_EU,D14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3716,437.2660713910945,254.99613777131722,1.1080974801785697
32,260508_mACPOLR2A_CRC_EU,D15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3789,604.7082246991325,422.4382910793553,1.8357250818276059
40,260508_mACPOLR2A_CRC_EU,E03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3487,656.3570408222254,474.0871072024481,2.060167394956017
41,260508_mACPOLR2A_CRC_EU,E04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3554,646.2122838637612,463.9423502439839,2.016082885594626
42,260508_mACPOLR2A_CRC_EU,E05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3518,379.07358404512553,196.80365042534825,0.8552193418782148
43,260508_mACPOLR2A_CRC_EU,E06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3561,374.94593818388716,192.6760045641099,0.8372824663714588
44,260508_mACPOLR2A_CRC_EU,E07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4152,433.51486978218605,251.24493616240878,1.0917964605364565
45,260508_mACPOLR2A_CRC_EU,E08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3813,447.9825855787724,265.71265195899514,1.1546665869558392
46,260508_mACPOLR2A_CRC_EU,E09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3750,441.59133376520856,259.3214001454313,1.1268931073584811
47,260508_mACPOLR2A_CRC_EU,E10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4022,369.6167156729313,187.34678205315404,0.8141240841021673
