,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT
118,H21,159.33987351515466,177.28871192826043,272.7945836735745,1514.576754385965,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
119,H22,134.64299682865212,176.74292796965338,243.28847235339268,1648.451923076923,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
120,I03,132.9161270179759,175.36230547938538,214.983101353559,1634.6305259761214,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
121,I04,175.31504333623266,175.46718605998544,210.24618054211734,1680.7241709183672,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
122,I05,173.34981718540507,175.16591898929317,208.7348485912346,1693.2622237106498,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
123,I06,175.49564253788031,175.59450483015402,211.84307462202045,1622.773559861959,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
124,I07,174.58602982099666,175.35583115897023,212.84080790108283,1673.5010564443103,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
125,I08,172.98148706023278,175.05116542966587,211.87318919224037,1716.6774096385543,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
126,I09,173.76947942311182,175.0479512818831,219.9417174095005,1624.0453453453454,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
127,I10,163.18912950140418,233.04345518626675,268.91419332123576,1475.20030816641,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
128,I11,158.1925346304043,222.52318809700452,250.0712028906355,1769.418200408998,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
129,I12,163.55026733256827,233.4669399733259,268.4081938493909,1440.4930095658572,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
130,I13,175.80507395481845,179.27118449842982,273.1033471587136,1474.637521222411,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
131,I14,167.07135636743322,178.03133894386954,245.87137558386308,1765.5358009708739,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
132,I15,173.12206519138732,178.82759513006667,270.08939269242853,1474.362567811935,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
133,I16,164.64207350694548,233.97830295877506,270.8676416368568,1436.2365805168986,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
134,I17,158.28647261711063,220.6583627495423,256.9965914960988,1742.8271844660194,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
135,I18,161.87082477472188,231.3873978542972,261.2151117267502,1407.9727427597957,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
136,I19,179.1378223656772,180.55163092024435,278.55059593660457,1390.7315140845071,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
137,I20,168.1581835130012,179.45749220115118,251.16181241967982,1776.8329448329448,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
138,I21,177.79819726443571,180.19201074075053,290.82507021369366,1398.255057167986,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
139,I22,134.1811106604944,176.27903077258011,240.41157417677456,1636.977985323549,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
140,J03,132.86323884051623,175.02089978468499,216.40963645342737,1650.025573961058,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
141,J04,175.9122301747348,175.02867267922952,209.73671545102718,1648.0443641143609,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
142,J05,172.003415631505,174.76007037665482,212.1950524134809,1707.4669871794872,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
143,J06,175.32223018827284,175.51642754827634,217.62728553501674,1606.1878136200717,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
144,J07,176.16196792206262,174.9538679084704,211.12839144712214,1691.3133265513734,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
145,J08,172.2639553513159,174.63246672396332,209.5028995852019,1692.8917425227569,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
146,J09,174.88094597127397,175.23591602562706,222.83261459534552,1603.081189959715,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
147,J10,163.03753576842144,232.68511430671578,267.65949209352533,1430.9156010230179,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
148,J11,158.57471016982163,224.3557913688017,248.84047913113494,1800.0663749088258,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
149,J12,162.79491226976495,233.9365143267426,268.47922074374975,1480.2431886982845,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
150,J13,175.0927152258198,179.48510976636038,274.6666203920934,1447.1622678396873,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
151,J14,167.34217566032885,178.9582179984878,251.4582722760139,1730.8341049382716,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
152,J15,171.80042917753877,178.3541531730869,267.1753204943039,1473.0936199722607,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
153,J16,165.20331325198106,233.63893857993617,272.51889936044716,1411.3835480673933,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
154,J17,156.38218990286967,220.94166771421814,246.25753764895515,1749.6349541930938,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
155,J18,163.1357669365896,230.48174334003627,270.9025569522873,1449.4812150279777,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
156,J19,176.50998110618988,180.01782500202933,283.14177171091967,1420.4064685314686,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
157,J20,167.02272610156245,178.89196390625276,252.4053677045749,1753.0131926121371,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
158,J21,174.60262504286365,178.49100115687088,278.0522465387054,1403.2066027689032,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
159,J22,134.8678551752319,176.39304359705883,248.0118616283445,1646.7627184466019,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
160,K03,132.54722889051774,175.02788736019852,214.1065752904494,1676.4456842796194,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
161,K04,178.08656917086083,175.37796143502317,218.46595427760883,1655.1225433526013,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
162,K05,171.30765016294694,175.48290342497083,211.72359081918012,1716.6809610705595,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
163,K06,168.4258245776083,175.22341655172806,212.62927157144966,1650.8559270516716,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
164,K07,175.84414819036888,175.2589665345602,217.5135780112772,1672.0288614018395,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
165,K08,170.95594092139916,175.42645258134777,213.04720263144705,1695.4156202143952,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
166,K09,169.74297495219025,175.4575663439463,218.53538561091378,1669.0802945301543,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
167,K10,163.75253700231855,234.74042541016217,270.3574131171655,1505.9284274193549,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
168,K11,156.22274300638693,219.6418521812216,249.54874087661065,1799.5532060027285,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
169,K12,159.45858336014507,225.5990481192499,263.66770913902917,1554.4101123595506,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
170,K13,176.8287805863419,179.5600212368424,275.65077603510537,1448.995599559956,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
171,K14,165.76391880156646,178.30993097917616,251.406780831319,1720.607456140351,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
172,K15,174.67629074504964,177.65447506067315,280.22250369630956,1498.0763440860214,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
173,K16,163.68175371755115,231.5466919146109,276.2508459945364,1466.5376237623761,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
174,K17,156.72818900697183,219.12450664199048,255.91573869472154,1755.5574912891987,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
175,K18,161.70683527423304,227.75753971937203,273.6656022817601,1483.3449074074074,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
176,K19,175.13334830954113,179.17058677730986,282.10043284154176,1419.5005005005005,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase
177,K20,165.55726274295756,179.10374459173354,254.49474196341606,1746.427760252366,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
178,K21,172.35623626856747,178.0042455789745,282.8588507704358,1471.3272727272727,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase
179,K22,133.912330294318,175.37170573525077,240.3459883843024,1701.4487508007687,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
180,L03,132.8052663356727,174.84285775966765,215.70823641380449,1655.0920365535248,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
181,L04,177.67076514014872,175.26118063923388,215.7999944720602,1683.4045503021684,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
182,L05,163.54286304895297,175.31214074402212,212.44645973261314,1744.713070115725,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
183,L06,162.37199715014663,174.9621778794923,211.91876963763843,1779.9041652556723,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
184,L07,175.54887722880238,174.64039914153452,219.26709951017085,1691.9909318323953,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
185,L08,162.88788782797718,174.52342042300998,214.56436360400258,1777.0473333333334,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
186,L09,163.5393213054038,175.65731642489916,224.14955575331865,1751.7009510390983,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
187,L10,160.21631173198153,226.5599297582738,257.18893984791345,1604.4004559270518,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
188,L11,153.60207942471797,214.65183447736655,251.48273407491516,1639.5295974743487,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
189,L12,154.5030113866714,213.32172722976244,259.86415470532995,1603.2205405405405,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
190,L13,172.7076346603905,179.05781099983895,264.7585963933576,1591.8259493670887,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
191,L14,161.01373702794032,177.12524337547427,249.3917058785281,1731.8734290843806,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
192,L15,164.17922287720233,176.31882265233972,265.2729639815602,1563.3628048780488,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
193,L16,163.41979889701025,228.59281559460868,265.89634804567345,1603.0064724919093,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
194,L17,154.6288719467607,213.61699603764998,254.33415232459515,1655.9146608315098,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
195,L18,155.94940751485865,217.96445848727473,263.34616798308997,1645.6164274322168,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
196,L19,172.73751450145267,178.77111969263996,270.298538593674,1541.095566502463,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase
197,L20,162.58688598041198,179.16528114961815,257.33145436264886,1715.361603700848,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
198,L21,166.99546004654923,177.33870101445078,266.0200585346813,1546.373519913886,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase
199,L22,133.33764014430017,175.49632698768943,235.41751160895151,1748.685355392157,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
200,M03,132.9923397159855,175.0683455276103,217.60326840060685,1692.6987030262721,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
201,M04,177.99079433991744,174.42236015108531,211.49460959514988,1604.3290381960423,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
202,M05,156.61153099057353,175.07526246159662,208.17886285978201,1802.1583603656738,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
203,M06,155.01418380263163,174.57359902391198,213.83699666106403,1834.0067510548524,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
204,M07,178.0505109290447,174.55183617370778,217.75732446097908,1657.0523066926576,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
205,M08,157.57650163997548,174.86944953692444,218.2067750896149,1798.3734203016713,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
206,M09,156.6806528602704,174.57663702826935,224.47816331822003,1798.0260824204486,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
207,M10,163.29531129132312,236.87593306639192,260.20204255299205,1594.453578336557,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
208,M11,149.76543065301564,204.34184809383427,245.19047393418367,1683.1628099173554,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
209,M12,153.86934868943337,207.78504796647906,271.18967044869476,1483.6765188834154,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
210,M13,174.71690234417053,181.12017487029232,266.8119424187634,1596.4107648725212,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
211,M14,155.2889637299023,178.7207112638322,241.65981678917905,1716.3074670571011,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
212,M15,159.27319498522195,176.73989369441043,273.21976254398083,1442.9643605870021,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
213,M16,163.82142612627345,226.53094884777008,253.3086656551633,1619.4232081911264,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
214,M17,149.78192330000658,202.2038551352104,252.9783669917785,1765.239420935412,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
215,M18,151.12468473960226,207.1665520238553,266.6647255713182,1577.8217317487267,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
216,M19,173.05275240579095,180.75635486306294,266.2426373459248,1564.232693911593,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,250512_mACmChPOLR2A_Inhibitors_Chase
217,M20,157.7493889207871,178.4319914024134,253.37783883609856,1763.688155922039,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
218,M21,160.40698300327963,177.1259340333629,279.41865984707,1506.9846153846154,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,250512_mACmChPOLR2A_Inhibitors_Chase
219,M22,133.346062401955,175.28448864372308,231.56390631100743,1674.8795721187025,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
220,N16,132.8822119982522,174.63616086467866,226.1165953643377,1654.410008071025,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
221,N17,133.20989850009798,175.01822183768147,228.54860629121515,1672.533738191633,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
222,N18,132.97490818103415,174.17229662183664,225.185946867211,1676.3621947351728,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
223,N19,133.15037296202067,174.4154631651363,227.676918711497,1705.8308740068105,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
224,N20,132.40566234368418,173.5168294554933,223.69044441689934,1691.286496350365,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
225,N21,133.05867394245377,174.1108948915305,232.44087474361822,1730.193711601012,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
226,N22,133.42742454345222,174.09917413112885,228.4856147053571,1678.4538291837378,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
