,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C14,1107.2331565009706,195.77458122744542,285.21768575711553,649.9502514532492,1563.4670548574932,HCT116 OsTIRF74G,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,3263,251007_mACmChPOLR2A_PTEFB
1,C15,1508.3984086718312,338.70147896249597,319.3220390376101,781.2701351154052,1592.0635538261997,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,771,251007_mACmChPOLR2A_PTEFB
2,C16,1313.322289776304,200.4878966380049,882.6183390636413,655.234808742759,1815.093427230047,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2130,251007_mACmChPOLR2A_PTEFB
3,C17,1074.3672961718346,199.66374599954793,286.9231167289515,674.1688042758271,1623.5766115970198,HCT116 OsTIRF74G,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,3087,251007_mACmChPOLR2A_PTEFB
4,C18,1423.8378428299893,310.66373437502403,577.7548271065066,784.2751719461745,1715.0351063829787,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,940,251007_mACmChPOLR2A_PTEFB
5,C19,1198.7652107865924,210.02736821363584,927.1571294970222,699.5525236677712,1865.319623971798,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1702,251007_mACmChPOLR2A_PTEFB
6,C20,1105.005571914765,199.49962171047437,285.75612868182463,666.4958706192102,1604.0045201668984,HCT116 OsTIRF74G,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2876,251007_mACmChPOLR2A_PTEFB
7,C21,1385.927887268133,307.7396584089128,556.0347436336177,823.3876564160289,1700.6640378548896,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1268,251007_mACmChPOLR2A_PTEFB
8,C22,1092.3215594934338,196.7237180796336,280.99634754332175,671.4093208627916,1632.1388469664955,HCT116 OsTIRF74G,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,3313,251007_mACmChPOLR2A_PTEFB
9,D03,3340.5522251100715,197.9320359648795,280.6717039933256,568.5302707880153,1682.2941520467837,HCT116 OsTIRF74G,Vehicle,1440,pSer5,Goat anti-rat Alexa647,3420,251007_mACmChPOLR2A_PTEFB
10,D04,2459.610452868555,214.35687932225994,420.8522613074429,850.1358626018379,1791.0112554112554,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1155,251007_mACmChPOLR2A_PTEFB
11,D05,3110.4433994229507,195.3779270796919,277.61764748460456,553.4338774862508,1614.3351413074508,HCT116 OsTIRF74G,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,3503,251007_mACmChPOLR2A_PTEFB
