,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
127,I10,226.72907217813113,274.2823649339127,553.0990042965662,1649.360902255639,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,1064,536.4940054326457,1695.8945225758698,241026_mACmChPOLR2A_ActivePolII,87.20991471364462,0.44983250642921907,49.50861841748022,0.6815027217723187,408.9481761791876,1.0352186905836043,0,0.0
128,I11,225.47777734840733,196.50470810982407,547.0762727865186,1748.083894672382,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,1633,519.6603750872363,1716.2035281727224,241026_mACmChPOLR2A_ActivePolII,9.432257889556013,0.04865199354543021,48.25732358775642,0.6642782291596282,392.11454583377815,0.9926057391657515,120,2.0
145,J08,217.38931703343889,270.7185604503252,481.5813354839688,1750.6303854875284,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,1764,518.8392855512667,1723.0363586659378,241026_mACmChPOLR2A_ActivePolII,83.64611023005713,0.431450248992783,40.16886327278797,0.5529378626578612,391.2934562978086,0.9905272185027668,0,0.0
146,J09,217.9317920652648,217.85412068647813,488.052901474449,1818.0869809203143,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,1782,487.1295929110426,1779.633818281636,241026_mACmChPOLR2A_ActivePolII,30.781670466210073,0.15877318563329756,40.71133830461389,0.5604052132424687,359.5837636575845,0.9102567382660782,30,0.5
147,J10,220.5839392975271,270.63804638368293,517.9641924114835,1767.6227598566309,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,1116,534.524185899905,1685.373190685966,241026_mACmChPOLR2A_ActivePolII,83.56559616341488,0.43103495395987973,43.3634855368762,0.5969129085711173,406.97835664644685,1.030232254364663,0,0.0
148,J11,222.9568961436121,225.15755562564178,541.9399742057429,1790.7385915492957,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,1775,508.42832327376146,1713.114039533705,241026_mACmChPOLR2A_ActivePolII,38.085105405373724,0.19644461846308686,45.7364423829612,0.6295774546834403,380.88249402030334,0.9641727233260678,30,0.5
165,K08,218.98537928988662,272.68301131526545,503.63961958156654,1776.2677725118483,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,1688,524.0329292639145,1701.2080838323354,241026_mACmChPOLR2A_ActivePolII,85.6105610949974,0.44158297139292163,41.76492552923571,0.5749081944234342,396.4871000104564,1.0036745006200227,0,0.0
166,K09,221.33300376088013,204.8468120629501,523.2043855068572,1805.1465638148668,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1426,503.31634842533003,1723.8311214333112,241026_mACmChPOLR2A_ActivePolII,17.774361842682055,0.09168092600625591,44.11255000022922,0.6072240319042977,375.7705191718719,0.9512321792250208,60,1.0
167,K10,221.186055782667,251.61323056457786,540.0279345609028,1833.9593984962405,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,1330,511.6207941822061,1793.3129149064575,241026_mACmChPOLR2A_ActivePolII,64.54078034430981,0.33290413233985433,43.9656020220161,0.6052012437451391,384.074964928748,0.9722542009950579,0,0.0
168,K11,220.92465495511607,204.23339370517493,537.4287289610623,1763.7766463000678,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1473,529.8362702323321,1730.1062788018432,241026_mACmChPOLR2A_ActivePolII,17.16094348490688,0.08851688762514132,43.704201194465156,0.6016029737641977,402.290440978874,1.0183651812203516,60,1.0
185,L08,213.78730906251954,265.41284347350694,488.380273735016,1822.7036011080334,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1444,499.267049983447,1732.509027557808,241026_mACmChPOLR2A_ActivePolII,78.34039325323889,0.4040831316882548,36.56685530186863,0.5033550159840303,371.7212207299889,0.940981713090281,0,0.0
186,L09,217.283219963025,197.09086245624965,488.6135419178586,1765.802155504234,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1299,505.99236106384467,1721.5073924731182,241026_mACmChPOLR2A_ActivePolII,10.0184122359816,0.05167540297855226,40.06276620237409,0.5514774009328052,378.44653181038655,0.9580062852389194,90,1.5
187,L10,221.62078393658365,271.7010130971071,554.6452949551892,1797.7781919850886,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1073,540.4979587232733,1757.5574871592255,241026_mACmChPOLR2A_ActivePolII,84.62856287683903,0.4365177821740851,44.40033017593274,0.6111854224517023,412.9521294698152,1.04535436919552,0,0.0
188,L11,228.25267722987545,200.20908895620443,580.224002926311,1740.4682692307692,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1040,518.134561155207,1716.5825706327098,241026_mACmChPOLR2A_ActivePolII,13.136638735936373,0.06775934993222595,51.03222346922453,0.7024756558363239,390.58873190174893,0.9887432666257164,90,1.5
205,M08,217.76416299083422,265.36102373704864,527.7585467441878,1731.2888725128962,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,1357,522.8096864562366,1750.9946619217083,241026_mACmChPOLR2A_ActivePolII,78.28857351678059,0.40381584324966296,40.54370923018331,0.5580977428640936,395.26385720277847,1.0005779620085502,0,0.0
206,M09,225.10749051403985,196.02800909095652,542.8934020349914,1837.2504273504273,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,1170,489.3249299907616,1789.5306192268217,241026_mACmChPOLR2A_ActivePolII,8.955558870688463,0.04619315941890183,47.88703675338894,0.6591811068095367,361.77910073730345,0.9158140536166192,120,2.0
207,M10,221.84950308520968,269.0368673751496,558.2635564821182,1710.7451820128479,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,934,532.6936628911075,1721.3275488069414,241026_mACmChPOLR2A_ActivePolII,81.96441715488155,0.4227760034837166,44.629049324558764,0.614333818171326,405.14783363764934,1.0255984358452714,0,0.0
208,M11,229.2236222151541,197.54122338924418,603.4991448666548,1722.1466666666668,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,1125,531.8246074231434,1715.6653952843274,241026_mACmChPOLR2A_ActivePolII,10.468773168976128,0.05399838412068419,52.0031684545032,0.7158410389011229,404.2787781696853,1.0233984933684621,120,2.0
