,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
61,F04,219.98311114223088,268.3989217086569,453.8812949361031,1767.772667542707,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1522,360.91800606880173,1692.9457038902883,241026_mACmChPOLR2A_ActivePolII,81.32647148838888,0.41948545218497585,42.76265738157997,0.5886423076890849,0,0.0
62,F05,230.71014419573535,231.89473666331753,481.5669255585158,1758.1056485355648,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,956,298.8594629081621,1775.7590176515732,241026_mACmChPOLR2A_ActivePolII,44.82228644304948,0.23119528921418359,53.48969043508444,0.736303512064842,30,0.5
63,F06,216.8740460715161,265.95691086050505,443.69711313085014,1847.5102375102374,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1221,358.7908149205688,1751.1440501043842,241026_mACmChPOLR2A_ActivePolII,78.884460640237,0.40688945476703964,39.65359231086518,0.545844985210959,0,0.0
64,F07,224.93840481692507,225.54450797445978,518.0104918947761,1700.7036747458953,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,1279,313.60865543034,1674.880361173815,241026_mACmChPOLR2A_ActivePolII,38.472057754191724,0.1984405353896085,47.71795105627416,0.656853585531831,30,0.5
65,F08,221.24581102175478,269.61746076790763,499.23905853917574,1869.9556313993173,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,879,517.9811488438953,1735.7464788732395,241026_mACmChPOLR2A_ActivePolII,82.54501054763958,0.4257707292776604,44.02535726110386,0.6060237946338565,0,0.0
66,F09,230.5476486610193,224.65062544805664,562.0102000913686,1768.7667638483965,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,1029,507.8080646472227,1704.269001490313,241026_mACmChPOLR2A_ActivePolII,37.57817522778859,0.19382985071429953,53.3271949003684,0.7340667065807743,30,0.5
67,F10,224.0842182168294,265.1721479834328,514.4290807639163,1763.2193548387097,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,1085,542.9291945459227,1732.5346228239846,241026_mACmChPOLR2A_ActivePolII,78.09969776316476,0.40284161395553175,46.8637644561785,0.6450954207622583,0,0.0
68,F11,223.9572156603665,220.14888262449074,532.6334082397453,1745.9071246819337,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,1572,517.7873883889555,1740.0280948200175,241026_mACmChPOLR2A_ActivePolII,33.076432404222686,0.17060966681349393,46.73676189971559,0.6433471880167662,30,0.5
71,F14,222.56839403736157,262.2261348268714,531.7002844633537,1843.855888807608,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1367,234.73038205006978,1754.5642836128272,241026_mACmChPOLR2A_ActivePolII,75.15368460660332,0.38764595086446185,45.34794027671066,0.6242295930123389,0,0.0
72,F15,228.3122749214889,222.72776909009352,573.817829824543,1858.9853620955316,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,1298,264.93887022300464,1732.8957928802588,241026_mACmChPOLR2A_ActivePolII,35.655318869825464,0.18391167457749175,51.09182116083798,0.7032960380312665,30,0.5
73,F16,224.32265191680239,262.6787950460206,561.771661431665,1751.5917001338687,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1494,248.0426116846638,1655.2225405921681,241026_mACmChPOLR2A_ActivePolII,75.60634482575253,0.3899807918238789,47.10219815615147,0.6483775405363067,0,0.0
74,F17,221.0855718849246,219.31170579595565,541.9556304016354,1810.6112469437653,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,1227,257.86676452270757,1768.7926670992863,241026_mACmChPOLR2A_ActivePolII,32.239255575687594,0.16629147257673838,43.86511812427369,0.6038180492227574,30,0.5
75,F18,223.78675926505656,265.8158959215021,536.9024265957546,1869.6575471698113,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1060,238.94303653088096,1719.1276901004305,241026_mACmChPOLR2A_ActivePolII,78.74344570123404,0.4061620936216475,46.56630550440565,0.6410007986191131,0,0.0
76,F19,233.79364262181602,221.7735924180495,627.9204229838138,1794.3057503506311,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,713,232.63210309952092,1743.498538011696,241026_mACmChPOLR2A_ActivePolII,34.70114219778145,0.1789899900950427,56.57318886116511,0.7787489011127553,30,0.5
77,F20,222.4685383488711,258.75778313023034,550.2687221686806,1798.7092882991556,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,829,250.69435483941157,1629.778310940499,241026_mACmChPOLR2A_ActivePolII,71.68533290996228,0.36975604302541687,45.248084588220195,0.6228550460008095,0,0.0
78,F21,227.41858522322036,218.86892568481926,588.4956629635312,1703.8145985401459,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,685,249.29940884958174,1619.4487315010572,241026_mACmChPOLR2A_ActivePolII,31.796475464551207,0.16400759364114384,50.19813146256945,0.6909940998787196,30,0.5
81,G04,226.6931638950677,217.69768650608748,504.78465638226817,1738.8340807174889,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1115,308.6682776069833,1687.7322421247684,241026_mACmChPOLR2A_ActivePolII,30.625236285819426,0.1579662913749167,49.472710134416786,0.6810084322238699,0,0.0
82,G05,220.34370645786566,206.89213085054172,487.764109366755,1709.7678122380553,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1193,300.69118090628047,1709.6062378167642,241026_mACmChPOLR2A_ActivePolII,19.819680630273666,0.1022307686438747,43.12325269721475,0.5936060230364048,60,1.0
83,G06,225.35724164007107,273.0752680963358,506.24889896150444,1746.5225375626044,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1198,354.65598116949826,1712.3844315466029,241026_mACmChPOLR2A_ActivePolII,86.00281787606772,0.4436062488100834,48.136787879420154,0.6626190147454987,0,0.0
84,G07,227.45063240107723,209.75680893957366,519.2405238284347,1740.9040404040404,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1386,293.9257815157888,1738.664154356346,241026_mACmChPOLR2A_ActivePolII,22.684358719305607,0.1170069019440084,50.23017864042632,0.691435240020228,60,1.0
85,G08,226.30841425707473,268.91640540517903,523.265475952485,1733.9608163265307,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,1225,528.5502458639505,1700.5579761068166,241026_mACmChPOLR2A_ActivePolII,81.84395518491098,0.4221546554402151,49.08796049642382,0.6757122245357041,0,0.0
86,G09,225.4674953818989,207.94855928077445,511.49228112142015,1705.7936507936508,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1260,487.40933410441085,1703.3780418788908,241026_mACmChPOLR2A_ActivePolII,20.876109060506394,0.10767987211100975,48.247041621248,0.6641366944453776,60,1.0
87,G10,221.3597565736338,264.1094343575961,525.2600827210002,1751.871385083714,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,1314,511.7100670880604,1744.7887236679057,241026_mACmChPOLR2A_ActivePolII,77.03698413732806,0.3973600911780326,44.13930281298289,0.6075922933361346,0,0.0
88,G11,226.71157778816027,206.49907427005022,556.8701320214946,1767.8579545454545,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1584,495.1232917102034,1732.1876690102758,241026_mACmChPOLR2A_ActivePolII,19.426624049782163,0.10020336582675754,49.49112402750936,0.6812619056323821,60,1.0
91,G14,225.5523629035218,267.1112650715485,555.323685328826,1711.661381653454,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,1766,227.2884350893836,1700.8830865159782,241026_mACmChPOLR2A_ActivePolII,80.03881485128042,0.41284366364071884,48.3319091428709,0.665304924317768,0,0.0
92,G15,227.2983009095333,203.6560976116975,573.1366112155489,1790.9622857142858,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1750,236.5070387811594,1739.6664704150721,241026_mACmChPOLR2A_ActivePolII,16.58364739142945,0.0855391694432874,50.0778471488824,0.6893383459961734,60,1.0
93,G16,228.93115781799006,264.43975560794803,591.1181888302995,1805.542297979798,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,1584,228.28624508757878,1725.0273115220484,241026_mACmChPOLR2A_ActivePolII,77.36730538767998,0.3990639024529379,51.71070405733914,0.711815168475734,0,0.0
94,G17,228.02189212959627,203.38826170850038,573.8577974642116,1762.0719273743016,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1432,225.3585877929834,1658.5569744597249,241026_mACmChPOLR2A_ActivePolII,16.315811488232328,0.08415766028756241,50.801438368945355,0.6992988215999392,60,1.0
95,G18,229.32538208984386,269.15402865615243,576.5789955166198,1776.1227045075125,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,1198,227.81017049269846,1716.2103756708407,241026_mACmChPOLR2A_ActivePolII,82.08157843588438,0.4233803264309757,52.104928329192944,0.7172417976737367,0,0.0
96,G19,228.59990234328967,201.50012904587282,578.1984345612068,1654.931623931624,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,585,236.88872284608078,1645.5375816993464,241026_mACmChPOLR2A_ActivePolII,14.427678825604772,0.07441859047090839,51.37944858263876,0.7072553258700153,60,1.0
97,G20,232.32657790411815,267.40738877907336,618.8073199838773,1742.051637279597,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,794,230.16298490494827,1720.208295350957,241026_mACmChPOLR2A_ActivePolII,80.3349385588053,0.41437108251283233,55.10612414346724,0.7585542636923294,0,0.0
98,G21,234.64946721808846,202.61657706592706,630.9507145957302,1743.3542354235424,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,909,238.8953138337779,1677.397188049209,241026_mACmChPOLR2A_ActivePolII,15.544126845659008,0.08017727757440994,57.42901345743755,0.7905296134485582,60,1.0
101,H04,226.95565032462767,277.1834114788598,503.8895930853317,1745.303317535545,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1055,327.19364694720895,1727.0211952744962,241026_mACmChPOLR2A_ActivePolII,90.11096125859174,0.4647962297956085,49.73519656397676,0.6846216458802271,0,0.0
102,H05,229.74223926608514,203.4062259121762,522.3496573316472,1751.9859620148638,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1211,283.3240047492432,1698.9232804232804,241026_mACmChPOLR2A_ActivePolII,16.33377569190816,0.08425032042594276,52.521785505434224,0.7229799763844246,90,1.5
103,H06,218.15341640902093,266.69348203359766,485.2204361745485,1765.8640120210368,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1331,337.22815385678285,1740.6124401913876,241026_mACmChPOLR2A_ActivePolII,79.62103181332961,0.41068872068816453,40.93296264837002,0.5634559465957445,0,0.0
104,H07,220.86239282666023,199.8733370311798,484.3439037438003,1779.2966666666666,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1500,285.3795402130864,1739.6827566152951,241026_mACmChPOLR2A_ActivePolII,12.800886810911749,0.06602752700282419,43.641939066009314,0.6007459147033248,90,1.5
105,H08,219.61564007227346,265.2492131725665,497.6741980526587,1805.1304347826087,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1472,527.4110587112992,1736.562074554295,241026_mACmChPOLR2A_ActivePolII,78.17676295229845,0.40323911952929914,42.39518631162255,0.5835839452795989,0,0.0
106,H09,224.7874271318785,198.4563760828163,521.8921237998699,1737.495145631068,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1236,517.5912503312733,1707.1161137440758,241026_mACmChPOLR2A_ActivePolII,11.383925862548239,0.05871878123684587,47.56697337122759,0.6547753271078434,90,1.5
