,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
131,241026_mACmChPOLR2A_ActivePolII,I14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1412,237.93074211862864,104.39785414157589,1.0844100784438166
132,241026_mACmChPOLR2A_ActivePolII,I15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1386,268.8970836220857,135.36419564503294,1.4060662379022584
133,241026_mACmChPOLR2A_ActivePolII,I16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1177,231.7695750225526,98.23668704549985,1.0204122908561453
134,241026_mACmChPOLR2A_ActivePolII,I17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1196,222.09251151133375,88.559623534281,0.9198938914350647
135,241026_mACmChPOLR2A_ActivePolII,I18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,970,239.25553691394833,105.72264893689558,1.0981710971901057
136,241026_mACmChPOLR2A_ActivePolII,I19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,961,230.25322963954886,96.72034166249611,1.0046615819047804
137,241026_mACmChPOLR2A_ActivePolII,I20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,841,240.81384754425463,107.28095956720188,1.1143577110505656
138,241026_mACmChPOLR2A_ActivePolII,I21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,806,225.8691511956551,92.33626321860234,0.9591229174529275
151,241026_mACmChPOLR2A_ActivePolII,J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1627,240.24561659188979,106.71272861483703,1.1084553352144442
152,241026_mACmChPOLR2A_ActivePolII,J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1391,251.7471823623582,118.21429438530544,1.2279253563363943
153,241026_mACmChPOLR2A_ActivePolII,J16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1064,206.6365384432613,73.10365046620853,0.7593483217488851
154,241026_mACmChPOLR2A_ActivePolII,J17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1290,257.802860698988,124.26997272193526,1.2908274023032573
155,241026_mACmChPOLR2A_ActivePolII,J18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1060,238.19945047280666,104.66656249575391,1.0872012282220251
156,241026_mACmChPOLR2A_ActivePolII,J19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1079,228.6447534713682,95.11186549431545,0.9879538843945768
157,241026_mACmChPOLR2A_ActivePolII,J20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,867,234.57148291887833,101.03859494182558,1.0495165017293542
