,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
123,I06,224.7406801405963,278.6244824042615,505.9947992970105,1701.9589392643286,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,1169,341.0272759658041,1715.3456310679612,241026_mACmChPOLR2A_ActivePolII,91.55203218399348,0.472229335864388,47.5202263799454,0.6541318391089491,213.93369609991095,0.9868135821072597,0,0.0
124,I07,221.19679876988397,199.4598304651455,462.6301374639214,1762.4411566913247,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,1487,280.94922425018353,1730.685472880894,241026_mACmChPOLR2A_ActivePolII,12.387380244877448,0.06389464227710336,43.97634500923306,0.6053491245639206,153.85564438429037,0.7096910974294408,120,2.0
141,J04,217.75438906591265,267.92839381869163,444.660113754658,1748.4050736497545,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1222,341.686135712929,1729.2868824531515,241026_mACmChPOLR2A_ActivePolII,80.85594359842358,0.4170584490078379,40.533935305261735,0.5579632015125195,214.59255584703584,0.9898527094584879,0,0.0
142,J05,214.09933417174003,224.59244802945176,437.67630429322753,1744.1316225165563,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,1208,289.60848944675723,1715.6122311827958,241026_mACmChPOLR2A_ActivePolII,37.51999780918371,0.19352976907662628,36.87888041108911,0.5076501461652431,162.51490958086407,0.7496337556587311,30,0.5
143,J06,217.47723392665714,272.32522991810686,459.6145257855995,1830.8065749235475,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1308,338.12199459934857,1746.4,241026_mACmChPOLR2A_ActivePolII,85.2527796978388,0.4397375194948656,40.25678016600622,0.5541480681520393,211.0284147334554,0.9734123687195261,0,0.0
144,J07,216.3797196903524,223.8132963703185,478.1642237268485,1881.4735062006764,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,1774,285.1933068648951,1783.8812664907653,241026_mACmChPOLR2A_ActivePolII,36.74084615005046,0.18951087116957951,39.15926592970149,0.5390404169362772,158.09972699900192,0.7292678094861834,30,0.5
161,K04,217.59130372963725,270.04107097475656,479.7636175297794,1792.7357032457496,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1294,350.7761056832704,1747.1969242310577,241026_mACmChPOLR2A_ActivePolII,82.96862075448851,0.4279557290190492,40.370849968986334,0.5557182772123578,223.6825258173772,1.0317820828634647,0,0.0
162,K05,218.82711731296266,204.46688178323075,481.23463000262217,1778.4072164948454,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,970,287.0803103008955,1745.3856103476153,241026_mACmChPOLR2A_ActivePolII,17.394431562962694,0.08972122921540726,41.606663552311744,0.5727296652809472,159.98673043500236,0.7379720045432289,60,1.0
163,K06,219.69869410646734,271.40826876968555,496.5679047306211,1778.7662082514735,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1527,342.4639695285166,1724.1751152073732,241026_mACmChPOLR2A_ActivePolII,84.3358185494175,0.43500779429049,42.47824034581643,0.5847272118898688,215.37038966262344,0.99344062939741,0,0.0
164,K07,220.70107822734207,207.2238057936731,503.0425642242072,1756.006646971935,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1354,281.0478948817523,1750.1703964194373,241026_mACmChPOLR2A_ActivePolII,20.151355573405056,0.10394156232459846,43.480624466691154,0.5985253651907148,153.95431501585915,0.7101462361998273,60,1.0
