,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
97,G20,232.32657790411815,267.40738877907336,618.8073199838773,1742.051637279597,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,794,230.16298490494827,1720.208295350957,241026_mACmChPOLR2A_ActivePolII,80.3349385588053,0.41437108251283233,55.10612414346724,0.7585542636923294,96.63009692789552,1.0037241842874438,0,0.0
98,G21,234.64946721808846,202.61657706592706,630.9507145957302,1743.3542354235424,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,909,238.8953138337779,1677.397188049209,241026_mACmChPOLR2A_ActivePolII,15.544126845659008,0.08017727757440994,57.42901345743755,0.7905296134485582,105.36242585672514,1.0944293580342879,60,1.0
111,H14,222.8022975919149,265.4186611331528,547.5853666854704,1844.6752387950037,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,1361,208.2147238250397,1743.7253948967193,241026_mACmChPOLR2A_ActivePolII,78.34621091288474,0.4041131394279555,45.581843831263996,0.6274493538167333,74.68183584798695,0.7757413802817966,0,0.0
112,H15,228.7193706680584,200.49661470398192,573.9941270378611,1821.8150728309056,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1579,227.4621163100019,1727.4120357040024,241026_mACmChPOLR2A_ActivePolII,13.424164483713867,0.06924242015664218,51.49891690740748,0.7088998473916805,93.92922833294915,0.9756694972539308,90,1.5
113,H16,221.77019043758358,261.5650473043042,548.1330143630864,1804.0552325581396,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,1376,224.0611583020114,1705.299264963248,241026_mACmChPOLR2A_ActivePolII,74.49259708403613,0.38423603287266095,44.54973667693267,0.6132420530008185,90.52827032495864,0.9403427832083748,0,0.0
114,H17,231.7167238721605,201.03442006829974,609.7471036214095,1816.1377331420374,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1394,233.66376584628446,1737.5337670384138,241026_mACmChPOLR2A_ActivePolII,13.961969848031686,0.07201644345200396,54.496270111509574,0.7501594185936783,100.13087786923171,1.040087787413431,90,1.5
115,H18,227.00846382568528,263.72961603800144,584.472287425619,1772.8486590038315,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,1044,230.55534381179734,1678.2153846153847,241026_mACmChPOLR2A_ActivePolII,76.65716581773339,0.3954009718823423,49.78801006503437,0.6853486414189347,97.02245583474459,1.0077997273764552,0,0.0
116,H19,230.04119018490738,196.50484565715644,604.3194186676094,1715.2929553264605,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1164,232.91543701669417,1671.8623583718002,241026_mACmChPOLR2A_ActivePolII,9.432395436888385,0.04865270302051085,52.82073642425647,0.7270951359539302,99.38254903964142,1.0323146839193948,90,1.5
117,H20,231.49276947068867,271.0015091440046,609.3383637682191,1673.2289281997919,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,961,236.6796465386667,1673.1193029490616,241026_mACmChPOLR2A_ActivePolII,83.92905892373656,0.4329097105744921,54.27231571003776,0.7470766112151948,103.14675856161395,1.0714145943204803,0,0.0
118,H21,221.75330122281576,193.78308126618302,560.1241015010842,1847.2478632478633,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,819,248.6432887261254,1741.269826372595,241026_mACmChPOLR2A_ActivePolII,6.710631045914965,0.034613724746979595,44.53284746216485,0.6130095673003328,115.11040074907265,1.1956843340546155,90,1.5
