,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
185,241026_mACmChPOLR2A_ActivePolII,L08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1444,499.267049983447,371.7212207299889,0.940981713090281
186,241026_mACmChPOLR2A_ActivePolII,L09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1299,505.99236106384467,378.44653181038655,0.9580062852389194
187,241026_mACmChPOLR2A_ActivePolII,L10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1073,540.4979587232733,412.9521294698152,1.04535436919552
188,241026_mACmChPOLR2A_ActivePolII,L11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1040,518.134561155207,390.58873190174893,0.9887432666257164
205,241026_mACmChPOLR2A_ActivePolII,M08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1357,522.8096864562366,395.26385720277847,1.0005779620085502
206,241026_mACmChPOLR2A_ActivePolII,M09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1170,489.3249299907616,361.77910073730345,0.9158140536166192
207,241026_mACmChPOLR2A_ActivePolII,M10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,934,532.6936628911075,405.14783363764934,1.0255984358452714
208,241026_mACmChPOLR2A_ActivePolII,M11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1125,531.8246074231434,404.2787781696853,1.0233984933684621
64,241029_mACmChPOLR2A_ActivePolII,F08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,879,1054.4574732749138,929.303322724931,0.947244166769675
65,241029_mACmChPOLR2A_ActivePolII,F09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1029,1103.1675824321974,978.0134318822146,0.9968946583084944
66,241029_mACmChPOLR2A_ActivePolII,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1085,1100.2896592004727,975.1355086504899,0.9939611747762623
67,241029_mACmChPOLR2A_ActivePolII,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1572,1115.0073945875506,989.8532440375678,1.0089630462347547
83,241029_mACmChPOLR2A_ActivePolII,G08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1225,1038.2688778615006,913.1147273115179,0.9307430393136948
