,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
164,241026_mACmChPOLR2A_ActivePolII,K07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1354,281.0478948817523,153.95431501585915,0.7101462361998273
181,241026_mACmChPOLR2A_ActivePolII,L04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1093,343.9235396003616,216.82995973446845,1.000173199334692
182,241026_mACmChPOLR2A_ActivePolII,L05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1199,277.08850770226445,149.9949278363713,0.6918827409357842
183,241026_mACmChPOLR2A_ActivePolII,L06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1020,354.99910597565673,227.90552610976357,1.0512615483321657
184,241026_mACmChPOLR2A_ActivePolII,L07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1338,276.39436043556594,149.30078056967278,0.6886808425754585
201,241026_mACmChPOLR2A_ActivePolII,M04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1097,335.556209194221,208.46262932832786,0.9615771509267667
202,241026_mACmChPOLR2A_ActivePolII,M05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,998,296.38013026298006,169.2865503970869,0.7808693545962627
203,241026_mACmChPOLR2A_ActivePolII,M06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1123,350.5810076207229,223.48742775482975,1.030882152551062
204,241026_mACmChPOLR2A_ActivePolII,M07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1026,279.36510406013673,152.27152419424357,0.7023840142175541
60,241029_mACmChPOLR2A_ActivePolII,F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1522,671.4732829969156,544.3914998511262,0.8953611393339808
