WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY
M07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
M08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
M09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647
M10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
M11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647
M12,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
M13,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
M14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
M15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
M16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
M17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
M18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
M19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
M20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
M21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
M22,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
N03,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
N04,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,Goat anti-mouse Alexa647
N05,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
N06,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,Goat anti-mouse Alexa647
N07,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
N08,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,Goat anti-rat Alexa647
N09,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
N10,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,Goat anti-rat Alexa647
N11,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
N12,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,Goat anti-mouse Alexa647
N13,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,Goat anti-rat Alexa647
N14,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary
N15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
N16,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary
N17,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
N18,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary
N19,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
N20,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary
N21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
N22,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",No addition,No addition,No primary,No secondary
