,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity
23,D06,263.2295258667866,221.70545643092703,908.1126571707193,1821.0982578397213,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1435,241021_mACmChPOLR2A_TotalPolII,137.7614159461378
24,D07,270.6600524410355,192.87758621554042,942.3507446874149,1716.3629402756508,HCT116 mChPOLR2A Clone 2,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2612,241021_mACmChPOLR2A_TotalPolII,145.32983102019733
25,D08,284.3256413051475,357.7856676021171,933.7614238267984,1891.8267498267498,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1443,241021_mACmChPOLR2A_TotalPolII,123.41908784100157
26,D09,292.33274135730966,255.35364731219667,890.5887966244428,1858.9577689243029,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1255,241021_mACmChPOLR2A_TotalPolII,135.34717734404728
27,D10,278.75404159371925,192.44811624576687,931.0704250947248,1748.7595123753233,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2707,241021_mACmChPOLR2A_TotalPolII,144.43762594446983
28,D11,237.17858558105775,307.48740389734667,980.5838912544399,1873.623974763407,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1585,241021_mACmChPOLR2A_TotalPolII,123.6505402312083
29,D12,268.71591517561365,219.83285978099872,890.4743279132447,1770.8266199649738,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1142,241021_mACmChPOLR2A_TotalPolII,135.82290965456212
30,D13,282.88847981748006,192.46994647002361,968.0362655149228,1738.6791237113403,HCT116 mChPOLR2A Clone 2,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2328,241021_mACmChPOLR2A_TotalPolII,145.2210683310074
31,D14,278.93005146735203,362.43434029848225,999.6529238721001,1963.7407407407406,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1863,241021_mACmChPOLR2A_TotalPolII,123.59515709338564
32,D15,304.4574148386935,261.0934391821026,974.5501271660853,1781.6806049822064,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1124,241021_mACmChPOLR2A_TotalPolII,136.2458680267342
