,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity
95,G18,253.71193757602848,203.4938408862237,924.8517113558823,1722.1268834258526,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1261,241021_mACmChPOLR2A_TotalPolII,137.11575391844096
96,G19,248.63570623961854,193.7329596298156,887.3108686107323,1742.117946345976,HCT116 mChPOLR2A Clone 2,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2162,241021_mACmChPOLR2A_TotalPolII,143.80701624663598
97,G20,272.64914000950733,382.6292057153132,967.5692067357727,1869.152188112345,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1531,241021_mACmChPOLR2A_TotalPolII,123.599497670601
98,G21,280.6404536721437,270.3858318566509,903.0353074637034,1722.8125613346417,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1019,241021_mACmChPOLR2A_TotalPolII,137.47382453268085
99,G22,264.54044112736136,195.58937560479572,931.7687332675868,1647.123595505618,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3916,241021_mACmChPOLR2A_TotalPolII,122.83319907259747
100,H03,254.52672135365174,193.76819822954567,868.4283452543417,1655.385456695241,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3383,241021_mACmChPOLR2A_TotalPolII,123.02618528867961
101,H04,258.50125344286283,194.92116597092283,887.481666622553,1740.5577819198509,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2146,241021_mACmChPOLR2A_TotalPolII,144.7076972886375
102,H05,175.17507991173727,233.06795976863572,838.0082238140253,1959.7675820495647,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1493,241021_mACmChPOLR2A_TotalPolII,123.60223516198322
103,H06,269.7014329010414,203.91515720962965,910.9734733908309,1702.1086717892426,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,911,241021_mACmChPOLR2A_TotalPolII,142.1309470948614
104,H07,255.7631854119441,195.4603920807499,882.5291415512839,1762.3649193548388,HCT116 mChPOLR2A Clone 2,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2480,241021_mACmChPOLR2A_TotalPolII,144.2027223987114
105,H08,273.5010123215211,380.3715254177417,964.3063940639587,1861.6681922196797,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1311,241021_mACmChPOLR2A_TotalPolII,123.72119989252379
106,H09,273.0848622391986,260.6610283906787,873.5241560845807,1796.3263757115749,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1054,241021_mACmChPOLR2A_TotalPolII,136.70965998500768
107,H10,260.2201142535225,193.80339781549154,893.7903957854078,1658.5145960624575,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2946,241021_mACmChPOLR2A_TotalPolII,145.11985086635505
108,H11,182.98304984474186,238.68123706240215,940.5477508140485,1802.831517183571,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1193,241021_mACmChPOLR2A_TotalPolII,123.64038332407871
109,H12,268.73683492175576,204.27699762424112,953.4917605885593,1716.0372623574144,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1315,241021_mACmChPOLR2A_TotalPolII,140.2653302396697
110,H13,261.6799199283242,194.95818527698458,917.5149335509618,1724.4171628721542,HCT116 mChPOLR2A Clone 2,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2855,241021_mACmChPOLR2A_TotalPolII,144.30062031830374
111,H14,267.28610289749986,375.9408149097973,932.5405572873508,1980.75,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1736,241021_mACmChPOLR2A_TotalPolII,123.34975858316972
112,H15,277.70218777021273,258.23087237914496,910.3315568964662,1719.6258302583026,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1355,241021_mACmChPOLR2A_TotalPolII,135.6024923358347
113,H16,258.00252606540363,193.49170862201836,911.6329097063677,1720.2593326726133,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3027,241021_mACmChPOLR2A_TotalPolII,143.83763093893745
114,H17,182.02347334192774,237.35146410110494,912.0589102201445,1811.6050632911392,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1185,241021_mACmChPOLR2A_TotalPolII,123.52264689752035
115,H18,277.6127831259411,206.53504725148355,965.5440596451205,1747.688007213706,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1109,241021_mACmChPOLR2A_TotalPolII,139.68523370831863
116,H19,261.6923264497336,194.77004536914484,929.3894069052353,1756.5980479148182,HCT116 mChPOLR2A Clone 2,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3381,241021_mACmChPOLR2A_TotalPolII,144.5047926326998
117,H20,281.7342218603846,391.8575253829788,1015.3268741669345,1817.5065257924177,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1609,241021_mACmChPOLR2A_TotalPolII,123.57861985943474
118,H21,284.91077772886865,269.468184850623,961.634027949021,1788.2797888386124,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1326,241021_mACmChPOLR2A_TotalPolII,135.9638602158036
119,H22,269.10932041845666,195.69517418018498,948.9697736963993,1658.5805777932476,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2873,241021_mACmChPOLR2A_TotalPolII,122.73589770855189
120,I03,255.3406032735461,194.02078421697905,931.7011416875885,1641.969190901238,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3473,241021_mACmChPOLR2A_TotalPolII,123.16913811483953
121,I04,248.06145225361004,193.59926309136398,854.8741689050074,1691.7601908065915,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2306,241021_mACmChPOLR2A_TotalPolII,145.16082751364124
122,I05,187.86840838540567,237.92991181219426,864.4278737603069,1825.488160291439,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,549,241021_mACmChPOLR2A_TotalPolII,123.61531869541305
123,I06,255.36319769192147,200.57702221131223,877.5754358068976,1735.0459981600736,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1087,241021_mACmChPOLR2A_TotalPolII,141.7996507715072
124,I07,257.7535984686619,194.459069113309,928.5362838646535,1684.9191474966171,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2956,241021_mACmChPOLR2A_TotalPolII,145.7293898335911
125,I08,245.7808819271313,340.70128026024037,927.3095897246177,1843.8634686346863,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1626,241021_mACmChPOLR2A_TotalPolII,123.50752126902833
126,I09,269.1528665414522,255.97966587231028,912.6769994762816,1688.7431740614334,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1172,241021_mACmChPOLR2A_TotalPolII,137.39722729440274
127,I10,251.68185039005795,196.0087174635308,913.4699246634556,1697.0607958732498,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2714,241021_mACmChPOLR2A_TotalPolII,144.2748759900988
128,I11,183.99125313490617,236.29973779400828,866.0564523277848,1659.8131147540983,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,305,241021_mACmChPOLR2A_TotalPolII,123.60321734791846
129,I12,259.65051720369115,204.21099157565476,893.660246982864,1725.7815275310834,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1126,241021_mACmChPOLR2A_TotalPolII,140.5707612547019
130,I13,257.4168034174469,195.9323792566975,970.2970620471011,1658.6660714285715,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2800,241021_mACmChPOLR2A_TotalPolII,144.0592312456183
131,I14,257.5228356543435,368.987242262881,925.5884581240524,1929.3106666666667,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1500,241021_mACmChPOLR2A_TotalPolII,123.41376730309953
132,I15,268.4633317759432,257.17485393803037,936.3540679631499,1790.8748299319727,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1470,241021_mACmChPOLR2A_TotalPolII,135.53841986882477
133,I16,246.80467728256934,193.80072725036496,919.8569764000592,1722.7409144196952,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2559,241021_mACmChPOLR2A_TotalPolII,143.82536453125746
134,I17,188.1264888272288,240.96294835207613,942.4545417538346,1634.7347826086957,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,230,241021_mACmChPOLR2A_TotalPolII,123.68577509821719
135,I18,249.38916322235016,201.85988234931398,933.3286439755367,1748.6726457399104,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1338,241021_mACmChPOLR2A_TotalPolII,140.12008739792648
136,I19,254.0767517185699,195.353771478294,955.2573427552097,1676.6230499840815,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3141,241021_mACmChPOLR2A_TotalPolII,144.70707676045268
137,I20,265.5297155617884,386.54270752502043,988.0806700315263,1783.7976318622175,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1858,241021_mACmChPOLR2A_TotalPolII,123.41731430927629
138,I21,275.9024234766489,271.59435860768156,962.6298857756457,1774.7584396099026,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1333,241021_mACmChPOLR2A_TotalPolII,136.17102980830586
139,I22,254.49739319266735,195.53625166170602,897.1820624725425,1704.1120810055866,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2864,241021_mACmChPOLR2A_TotalPolII,122.8552798840074
140,J03,251.06307213266194,195.24067818971298,914.288224364767,1684.3985743985745,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3367,241021_mACmChPOLR2A_TotalPolII,123.25570540682655
141,J04,245.41432889612383,195.16309392339483,881.101067892658,1791.254642857143,HCT116 mChPOLR2A Clone 2,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2800,241021_mACmChPOLR2A_TotalPolII,144.00924722381183
142,J05,249.87549522153992,362.3462412047101,902.7596777517953,1937.9645625692137,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1806,241021_mACmChPOLR2A_TotalPolII,123.61632076344293
143,J06,259.7181523822743,259.952020992031,916.4629694574714,1841.9027066569129,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1367,241021_mACmChPOLR2A_TotalPolII,136.72189055236873
144,J07,248.2497472433729,195.70873027842313,900.0838951889262,1756.9468085106382,HCT116 mChPOLR2A Clone 2,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2350,241021_mACmChPOLR2A_TotalPolII,144.35738664766785
145,J08,259.30249339197064,380.6581968235301,982.0226575860163,1942.3178466076697,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1356,241021_mACmChPOLR2A_TotalPolII,123.36720033825681
146,J09,263.4237226260535,261.04387456252533,911.0571157310674,1827.948859166011,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1271,241021_mACmChPOLR2A_TotalPolII,137.04700771202113
147,J10,254.71915006211998,194.3661057986006,891.3995329026059,1751.4187242798355,HCT116 mChPOLR2A Clone 2,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2916,241021_mACmChPOLR2A_TotalPolII,143.8377518904815
148,J11,235.99203466417381,343.56465014658477,899.0053690067923,1954.9905178701677,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1371,241021_mACmChPOLR2A_TotalPolII,123.5763091276701
149,J12,274.7350735852385,263.4935921988312,897.0058229759891,1798.1967213114754,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1098,241021_mACmChPOLR2A_TotalPolII,135.94650532694658
150,J13,246.3176444097472,193.3275544325856,872.5074663619168,1744.0482590103848,HCT116 mChPOLR2A Clone 2,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3274,241021_mACmChPOLR2A_TotalPolII,144.5652620948338
151,J14,262.86684146491166,377.46973348023766,948.8152298700262,1874.125165562914,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1510,241021_mACmChPOLR2A_TotalPolII,123.41870944744106
152,J15,279.51114049808075,268.42709742144865,919.8939511942833,1764.2438238453276,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,931,241021_mACmChPOLR2A_TotalPolII,135.5667678874524
153,J16,243.69578369656753,194.09516251734559,881.1176529295459,1690.7861150070125,HCT116 mChPOLR2A Clone 2,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2852,241021_mACmChPOLR2A_TotalPolII,142.6788551397475
154,J17,264.613409252205,379.77620125370606,951.6805523494113,1855.4152700186219,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1611,241021_mACmChPOLR2A_TotalPolII,123.38012814143893
155,J18,280.6468289461675,263.74932220926246,909.4674538282087,1707.922972972973,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,740,241021_mACmChPOLR2A_TotalPolII,135.108400285295
156,J19,246.20195330380415,195.44196005057694,909.4069686224283,1727.6373767681098,HCT116 mChPOLR2A Clone 2,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2333,241021_mACmChPOLR2A_TotalPolII,143.90249088188898
157,J20,257.5003393346939,372.3176692395167,950.5342393350096,1831.0451030927834,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1552,241021_mACmChPOLR2A_TotalPolII,123.36295788376198
158,J21,273.15914427634056,264.13333919423684,929.6247435953348,1778.1170212765958,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1128,241021_mACmChPOLR2A_TotalPolII,136.41732055578575
159,J22,255.06311864060925,195.8499033192399,940.9496292713429,1603.0926553672316,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3540,241021_mACmChPOLR2A_TotalPolII,122.78794282424715
160,K03,255.42533866108695,195.1948690819753,894.1267108252622,1646.320716458263,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2959,241021_mACmChPOLR2A_TotalPolII,123.0738874357611
161,K04,236.9650274225077,194.25790162571857,840.5335802728205,1731.825259515571,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2312,241021_mACmChPOLR2A_TotalPolII,144.91182920206592
162,K05,215.55005855386858,311.2787012291008,899.3935920100588,1980.2286549707603,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1710,241021_mACmChPOLR2A_TotalPolII,123.5113118166909
163,K06,238.30742841225873,227.56176432947208,888.6393362143631,1890.3986074847694,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1149,241021_mACmChPOLR2A_TotalPolII,136.09749033997218
164,K07,248.3294644315668,195.72710273503793,934.0021883950212,1703.2706964520369,HCT116 mChPOLR2A Clone 2,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2283,241021_mACmChPOLR2A_TotalPolII,144.99570789259278
165,K08,252.36760011860875,379.8390327053583,862.1803912803643,1880.372280419017,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1241,241021_mACmChPOLR2A_TotalPolII,123.98257186638465
166,K09,269.70859346999896,272.51319553338817,919.5760940807581,1690.2806067172264,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,923,241021_mACmChPOLR2A_TotalPolII,136.83086485165146
167,K10,252.8557353226802,195.41411193939962,917.5931565886692,1742.1756487025948,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2505,241021_mACmChPOLR2A_TotalPolII,144.82745810563034
168,K11,171.28812409322032,236.03594698866627,970.3665812482815,1726.7763041556145,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1131,241021_mACmChPOLR2A_TotalPolII,123.96926704719532
169,K12,249.09079406642772,204.2568181669248,911.2688890596164,1783.7650316455697,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1264,241021_mACmChPOLR2A_TotalPolII,140.22693166098628
170,K13,243.54390130221972,193.88140075696208,878.3778964323855,1746.0471826205023,HCT116 mChPOLR2A Clone 2,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2946,241021_mACmChPOLR2A_TotalPolII,145.0161527163805
171,K14,262.9517892037613,380.11131775874554,929.0470019282566,1884.3557823129252,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1470,241021_mACmChPOLR2A_TotalPolII,123.61879173240955
172,K15,273.77096121984005,273.50651805095407,945.5692063361689,1721.9586497890296,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1185,241021_mACmChPOLR2A_TotalPolII,135.79361928875448
173,K16,140.51423341216437,194.40096719804927,872.1899459819939,1759.7652210175147,HCT116 mChPOLR2A Clone 2,Triptolide 1 µM,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2398,241021_mACmChPOLR2A_TotalPolII,124.99604766518543
174,K17,144.9727894672974,210.1896342718562,958.700185892724,1882.9296160877514,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Triptolide 1 µM,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1094,241021_mACmChPOLR2A_TotalPolII,123.51917726652721
175,K18,143.63289901374912,201.13268118491416,957.1212604069917,1668.107581967213,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Triptolide 1 µM,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,976,241021_mACmChPOLR2A_TotalPolII,125.177967060624
176,K19,142.0506444322465,194.7228814150214,915.2540985781272,1709.8942425479788,HCT116 mChPOLR2A Clone 2,Triptolide 1 µM,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2449,241021_mACmChPOLR2A_TotalPolII,125.00305874695691
177,K20,143.60502056646777,211.57219792411445,956.7471022220217,1822.1927162367224,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Triptolide 1 µM,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1318,241021_mACmChPOLR2A_TotalPolII,123.62126821490017
178,K21,144.7831374772209,203.85448081322477,978.957527010196,1642.775075987842,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Triptolide 1 µM,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,987,241021_mACmChPOLR2A_TotalPolII,125.69513322308629
179,K22,252.37093570001215,196.24701222874293,949.9058060422489,1649.3860805860807,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2730,241021_mACmChPOLR2A_TotalPolII,123.03550135929527
180,L03,249.79150725925084,195.17372489813445,891.5959085576253,1694.7681266102318,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2717,241021_mACmChPOLR2A_TotalPolII,123.02238590157798
181,L04,239.68139083883304,194.20958399289725,849.9580109590697,1783.622368964094,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2423,241021_mACmChPOLR2A_TotalPolII,144.46578190334301
182,L05,197.9868958508123,286.54126532472134,930.0158821463107,1897.2306798373038,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1721,241021_mACmChPOLR2A_TotalPolII,123.76642675294983
183,L06,227.4379119057164,211.38326534828644,849.5450752520607,1735.2205882352941,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1224,241021_mACmChPOLR2A_TotalPolII,137.42769604528894
184,L07,238.4060633204774,193.59416151454147,861.8358197779078,1747.1725928885337,HCT116 mChPOLR2A Clone 2,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2503,241021_mACmChPOLR2A_TotalPolII,145.26908729769616
185,L08,257.32122770889197,391.4201145126575,948.1131573910612,1912.7272155876808,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1591,241021_mACmChPOLR2A_TotalPolII,124.1882437322474
186,L09,262.1140913080179,268.41470166044354,899.7524477550571,1644.0018639328985,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1073,241021_mACmChPOLR2A_TotalPolII,138.14282736460459
187,L10,249.37867024422852,195.99701543658009,892.5580688928231,1686.94816127603,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2257,241021_mACmChPOLR2A_TotalPolII,147.01810793788246
188,L11,208.5927801492677,245.88138828981178,967.3877109986175,1828.916590284143,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1091,241021_mACmChPOLR2A_TotalPolII,124.3397169885974
189,L12,253.4742839374795,205.96459890953403,943.2123467228461,1696.7561597281224,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1177,241021_mACmChPOLR2A_TotalPolII,141.63637960138087
190,L13,242.9434747560267,194.66348720024428,874.6160395418192,1748.7226406734603,HCT116 mChPOLR2A Clone 2,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2257,241021_mACmChPOLR2A_TotalPolII,143.90751831247408
