,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_647_Intensity_BGS,IF_647_FC
22,22,D05,2071.457425290172,1213.7668513524186,1386.070374102297,1552.949513381995,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1644,250822_PTEFB_SIRNA,LARP7,1912.3520028799953,1.2134666417621147
23,23,D06,2077.8092288841726,2633.386215552232,1456.3505428680016,1375.0063985374773,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1094,250822_PTEFB_SIRNA,HEXIM1 pool + HEXIM2 pool,1918.7038064739959,1.217497124520904
24,24,D07,2020.0273933068231,1267.6456044027882,1349.1590213454801,1536.1870860927152,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1812,250822_PTEFB_SIRNA,HEXIM2 pool + LARP7 pool,1860.9219708966464,1.1808321539154392
25,25,D08,2145.0084687085996,2296.7672515775716,1526.1089588956968,1503.5657514450868,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1384,250822_PTEFB_SIRNA,HEXIM1 pool + LARP7 pool,1985.9030462984229,1.2601378286150822
26,26,D09,2438.037107092473,495.24931308505853,1366.7414662419305,1475.7125748502995,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2672,250822_PTEFB_SIRNA,INTS8 pool,2278.9316846822962,1.4460766501418203
27,27,D10,1760.572111280433,2027.6405073453743,1724.7344676249545,1013.6310240963855,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,664,250822_PTEFB_SIRNA,SPT5 pool,1601.4666888702563,1.016197019121292
28,28,D11,1184.7174269470638,2596.5200920988773,1224.6603867526942,1151.628205128205,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,156,250822_PTEFB_SIRNA,POLR2B,1025.612004536887,0.6507933440193047
29,29,D12,2046.2797516277742,986.8511614761287,1352.7318379656517,1528.2133479212255,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2742,250822_PTEFB_SIRNA,Control,1887.1743292175975,1.1974903638276755
30,30,D13,1763.7069406263597,1485.6981072860942,1176.0775589029408,1809.8486550399055,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3383,250822_PTEFB_SIRNA,HEXIM1,1604.601518216183,1.0181861983274056
31,31,D14,2078.1773291576196,2771.336724328266,1468.5484822456267,1407.3092896174862,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,915,250822_PTEFB_SIRNA,HEXIM1,1919.0719067474429,1.217730699407734
