,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_647_Intensity_BGS,IF_647_FC
31,250822_PTEFB_SIRNA,J14,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1233,1416.6909598720451,1.0388823776280696
32,250822_PTEFB_SIRNA,J15,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1548,1977.2130186381958,1.4499222625557984
33,250822_PTEFB_SIRNA,J16,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3876,1214.385239028659,0.8905283228407643
34,250822_PTEFB_SIRNA,J17,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3337,1335.4538231974832,0.9793098723388511
35,250822_PTEFB_SIRNA,J18,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1852,1584.267706792363,1.1617691145431417
36,250822_PTEFB_SIRNA,J19,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3557,1263.0717810966075,0.9262309510177716
37,250822_PTEFB_SIRNA,J20,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,986,1783.9497308277262,1.3081991700565756
38,250822_PTEFB_SIRNA,J21,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2920,1263.0983094795542,0.9262504047097418
39,250822_PTEFB_SIRNA,J22,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2155,1550.9962407509763,1.1373706107569883
40,250822_PTEFB_SIRNA,K03,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2725,1497.7552166586563,1.0983281073013451
41,250822_PTEFB_SIRNA,K04,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2583,1352.4178055884433,0.9917498348003558
42,250822_PTEFB_SIRNA,K05,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2788,1458.3443307958205,1.0694274677339766
43,250822_PTEFB_SIRNA,K06,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2245,1459.2447315483369,1.0700877461581975
44,250822_PTEFB_SIRNA,K07,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1471,1469.7225122481118,1.0777712720886734
45,250822_PTEFB_SIRNA,K08,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2405,1485.8963067001773,1.0896317769634607
46,250822_PTEFB_SIRNA,K09,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1802,1478.8424846837886,1.0844590952740025
47,250822_PTEFB_SIRNA,K10,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2712,2030.4567777158325,1.4889667716203774
48,250822_PTEFB_SIRNA,K11,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,890,1640.3074130603734,1.2028639368709044
49,250822_PTEFB_SIRNA,K12,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,126,1145.2508931837617,0.8398309896739068
50,250822_PTEFB_SIRNA,K13,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2931,1350.6631863708326,0.9904631441696851
51,250822_PTEFB_SIRNA,K14,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2571,1292.468177165309,0.9477878033635418
52,250822_PTEFB_SIRNA,K15,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1170,1406.9415742231988,1.0317329955608605
53,250822_PTEFB_SIRNA,K16,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1151,2203.488447095859,1.61585369133836
54,250822_PTEFB_SIRNA,K17,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3510,1228.6091620366487,0.9009589554715207
55,250822_PTEFB_SIRNA,K18,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3272,1233.0121729495588,0.9041877545360248
56,250822_PTEFB_SIRNA,K19,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2103,1511.5516480565104,1.108445253425211
57,250822_PTEFB_SIRNA,K20,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3480,1240.4302914289076,0.9096275807095812
58,250822_PTEFB_SIRNA,K21,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1034,1751.7647701797912,1.2845974182356896
59,250822_PTEFB_SIRNA,K22,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2787,1369.2931611587405,1.0041248057818697
60,250822_PTEFB_SIRNA,L03,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3197,1297.9882683216208,0.9518357754249368
61,250822_PTEFB_SIRNA,L04,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3123,1403.4774502334633,1.0291926974515395
62,250822_PTEFB_SIRNA,L05,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2328,1346.1335849051113,0.9871415142068305
63,250822_PTEFB_SIRNA,L06,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3119,1429.7752238079643,1.0484772798419502
64,250822_PTEFB_SIRNA,L07,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2312,1450.828868114414,1.063916257483761
65,250822_PTEFB_SIRNA,L08,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2011,1359.648656364116,0.9970523345401602
