,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_488_Intensity_BGS,IF_488_FC
22,142,J05,1714.1401967544682,2870.570897463647,1403.3595129048158,1538.4574368568756,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2138,250822_PTEFB_SIRNA,LARP7,2630.8149692895427,1.575796944318689
23,143,J06,1731.0952416381192,788.495268378044,1456.8030874522906,1356.884925975774,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1486,250822_PTEFB_SIRNA,HEXIM1 pool + HEXIM2 pool,548.7393402039398,0.32868209494578654
24,144,J07,1705.5587435836903,2586.9672562419914,1425.641999808244,1519.1142014327854,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2373,250822_PTEFB_SIRNA,HEXIM2 pool + LARP7 pool,2347.2113280678873,1.405924963030919
25,145,J08,1600.0636057180857,987.7066535701398,1383.7856267261193,1561.3404634581104,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2244,250822_PTEFB_SIRNA,HEXIM1 pool + LARP7 pool,747.9507253960356,0.44800507878298573
26,146,J09,2277.5762883046177,6007.799714794015,1393.1743202235316,1404.9761248852158,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2178,250822_PTEFB_SIRNA,INTS8 pool,5768.043786619911,3.4549239987434888
27,147,J10,1923.2641941097615,2688.4986183429105,1614.9483244427713,1105.2366412213742,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,917,250822_PTEFB_SIRNA,SPT5 pool,2448.7426901688063,1.4667398861702492
28,148,J11,1308.519318911818,3661.43016145685,1068.113063463232,1240.0416666666667,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,168,250822_PTEFB_SIRNA,POLR2B,3421.6742332827457,2.0495032391871435
29,149,J12,1508.4904205411656,2268.746261282018,1244.4495464131571,1547.6573538856776,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3114,250822_PTEFB_SIRNA,Control,2028.990333107914,1.2153179924421067
30,150,J13,1395.1157000678081,978.2991034293367,1176.5968785209723,1804.4981961298786,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3049,250822_PTEFB_SIRNA,HEXIM1,738.5431752552325,0.44237017517385596
31,151,J14,1570.3034525415892,765.1411720579476,1368.9873024518508,1413.3446877534468,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1233,250822_PTEFB_SIRNA,HEXIM1,525.3852438838435,0.31469353472846706
