,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_488_Intensity_BGS,IF_488_FC
31,250822_PTEFB_SIRNA,D14,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,915,2531.580796154162,3.4487631121547544
32,250822_PTEFB_SIRNA,D15,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1334,1809.5900370151403,2.46519778363832
33,250822_PTEFB_SIRNA,D16,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3715,831.3407138199141,1.1325323654730113
34,250822_PTEFB_SIRNA,D17,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3576,730.1104862618128,0.9946268026058201
35,250822_PTEFB_SIRNA,D18,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1819,721.5174464612863,0.9829205364142162
36,250822_PTEFB_SIRNA,D19,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3629,729.8919239493612,0.9943290559796665
37,250822_PTEFB_SIRNA,D20,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,962,1329.7750216132492,1.811547570976792
38,250822_PTEFB_SIRNA,D21,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2910,725.4915417396172,0.988334431645574
39,250822_PTEFB_SIRNA,D22,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2514,767.9200567512368,1.0461346399967624
40,250822_PTEFB_SIRNA,E03,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2118,820.0787543920928,1.1171902399898914
41,250822_PTEFB_SIRNA,E04,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2909,1779.3893264666983,2.4240554678731834
