,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_647_Intensity_BGS,IF_647_FC
31,250822_PTEFB_SIRNA,D14,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,915,1919.0719067474429,1.217730699407734
32,250822_PTEFB_SIRNA,D15,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1334,2577.7144322291865,1.6356666925274086
33,250822_PTEFB_SIRNA,D16,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3715,1652.123816989222,1.0483410674174527
34,250822_PTEFB_SIRNA,D17,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3576,1591.4169979569815,1.0098200735250245
35,250822_PTEFB_SIRNA,D18,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1819,1798.1037749441232,1.1409714038185617
36,250822_PTEFB_SIRNA,D19,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3629,1554.9779253340528,0.9866979709946955
37,250822_PTEFB_SIRNA,D20,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,962,2168.468320579323,1.375983065240133
38,250822_PTEFB_SIRNA,D21,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2910,1628.991431255789,1.0336626094820824
39,250822_PTEFB_SIRNA,D22,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2514,1604.404458493783,1.0180611557624348
40,250822_PTEFB_SIRNA,E03,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2118,1641.4919175233817,1.041594686353226
41,250822_PTEFB_SIRNA,E04,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2909,1702.5184154912192,1.0803185297858209
42,250822_PTEFB_SIRNA,E05,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3113,1772.4152456761265,1.124670966819673
43,250822_PTEFB_SIRNA,E06,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2713,1779.7273042969834,1.1293107712101078
44,250822_PTEFB_SIRNA,E07,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1347,1878.5172120121508,1.1919970639922823
45,250822_PTEFB_SIRNA,E08,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3022,1715.702793723934,1.0886845644665073
46,250822_PTEFB_SIRNA,E09,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2193,1749.9473829583212,1.1104141762922557
47,250822_PTEFB_SIRNA,E10,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2495,2296.8743752825426,1.457462031323772
48,250822_PTEFB_SIRNA,E11,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1260,1512.994855541061,0.9600579723773681
49,250822_PTEFB_SIRNA,E12,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,161,897.8031915174929,0.5696933525487602
50,250822_PTEFB_SIRNA,E13,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3098,1767.0781864535288,1.1212843814410516
51,250822_PTEFB_SIRNA,E14,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3555,1577.7384954663626,1.0011404965137687
52,250822_PTEFB_SIRNA,E15,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1689,1776.91788754735,1.1275280797896192
53,250822_PTEFB_SIRNA,E16,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2307,2150.5298885639586,1.3646003863068719
