,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_488_Intensity_BGS,IF_488_FC
31,250822_PTEFB_SIRNA,J14,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1233,525.3852438838435,0.31469353472846706
32,250822_PTEFB_SIRNA,J15,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1548,455.337761955141,0.27273672314385133
33,250822_PTEFB_SIRNA,J16,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3876,1790.0208084261917,1.0721808082712108
34,250822_PTEFB_SIRNA,J17,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3337,1912.70299590372,1.1456645836055241
35,250822_PTEFB_SIRNA,J18,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1852,2010.5820738864936,1.204291873551209
36,250822_PTEFB_SIRNA,J19,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3557,1866.265810237007,1.1178497900413356
37,250822_PTEFB_SIRNA,J20,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,986,3406.738957241592,2.040557356400654
38,250822_PTEFB_SIRNA,J21,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2920,1938.8868913650567,1.1613481276555555
39,250822_PTEFB_SIRNA,J22,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2155,1642.1048903430687,0.9835826155239558
40,250822_PTEFB_SIRNA,K03,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2725,1185.7203757571626,0.7102189119134915
