,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_647_Intensity_BGS,IF_647_FC
19,139,I22,1590.400906435249,1835.7473286382326,1117.2790686004366,1644.740234375,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2560,250822_PTEFB_SIRNA,Control,1436.788413765705,1.0536201653861008
20,140,J03,1752.6637870695877,782.967831059893,1466.696342949705,1440.2373903508771,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1824,250822_PTEFB_SIRNA,HEXIM1,1599.0512944000436,1.1726101582702275
21,141,J04,1759.5632825484404,2272.714593223832,1404.8242496294104,1445.513114148504,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2707,250822_PTEFB_SIRNA,HEXIM2,1605.9507898788963,1.177669669815464
22,142,J05,1714.1401967544682,2870.570897463647,1403.3595129048158,1538.4574368568756,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2138,250822_PTEFB_SIRNA,LARP7,1560.5277040849242,1.144360186868592
23,143,J06,1731.0952416381192,788.495268378044,1456.8030874522906,1356.884925975774,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1486,250822_PTEFB_SIRNA,HEXIM1 pool + HEXIM2 pool,1577.4827489685752,1.1567935953115378
24,144,J07,1705.5587435836903,2586.9672562419914,1425.641999808244,1519.1142014327854,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2373,250822_PTEFB_SIRNA,HEXIM2 pool + LARP7 pool,1551.9462509141463,1.1380672685638356
25,145,J08,1600.0636057180857,987.7066535701398,1383.7856267261193,1561.3404634581104,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2244,250822_PTEFB_SIRNA,HEXIM1 pool + LARP7 pool,1446.4511130485416,1.0607059789400781
26,146,J09,2277.5762883046177,6007.799714794015,1393.1743202235316,1404.9761248852158,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2178,250822_PTEFB_SIRNA,INTS8 pool,2123.9637956350734,1.5575369791338252
27,147,J10,1923.2641941097615,2688.4986183429105,1614.9483244427713,1105.2366412213742,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,917,250822_PTEFB_SIRNA,SPT5 pool,1769.6517014402175,1.2977141940200003
28,148,J11,1308.519318911818,3661.43016145685,1068.113063463232,1240.0416666666667,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,168,250822_PTEFB_SIRNA,POLR2B,1154.9068262422738,0.8469118414462302
29,149,J12,1508.4904205411656,2268.746261282018,1244.4495464131571,1547.6573538856776,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3114,250822_PTEFB_SIRNA,Control,1354.8779278716215,0.9935538822314447
30,150,J13,1395.1157000678081,978.2991034293367,1176.5968785209723,1804.4981961298786,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3049,250822_PTEFB_SIRNA,HEXIM1,1241.503207398264,0.9104143673305255
31,151,J14,1570.3034525415892,765.1411720579476,1368.9873024518508,1413.3446877534468,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1233,250822_PTEFB_SIRNA,HEXIM1,1416.6909598720451,1.0388823776280696
32,152,J15,2130.82551130774,695.0936901292451,1414.2170983900055,1228.904392764858,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1548,250822_PTEFB_SIRNA,HEXIM1,1977.2130186381958,1.4499222625557984
33,153,J16,1367.997731698203,2029.7767366002959,1084.9995646304678,1601.5389576883385,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3876,250822_PTEFB_SIRNA,HEXIM2,1214.385239028659,0.8905283228407643
34,154,J17,1489.0663158670272,2152.458924077824,1269.3456345254183,1473.9886125262212,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3337,250822_PTEFB_SIRNA,HEXIM2,1335.4538231974832,0.9793098723388511
35,155,J18,1737.880199461907,2250.338002060598,1442.6516217521576,1379.7494600431964,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1852,250822_PTEFB_SIRNA,HEXIM2,1584.267706792363,1.1617691145431417
36,156,J19,1416.6842737661516,2106.021738411111,1174.682315173227,1626.374754006185,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3557,250822_PTEFB_SIRNA,LARP7,1263.0717810966075,0.9262309510177716
37,157,J20,1937.5622234972702,3646.494885415696,1566.7395827991297,1514.9249492900608,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,986,250822_PTEFB_SIRNA,LARP7,1783.9497308277262,1.3081991700565756
38,158,J21,1416.7108021490983,2178.642819539161,1189.774014431654,1660.3280821917808,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2920,250822_PTEFB_SIRNA,LARP7,1263.0983094795542,0.9262504047097418
39,159,J22,1704.6087334205204,1881.860818517173,1105.719242000942,1636.9178654292343,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2155,250822_PTEFB_SIRNA,Control,1550.9962407509763,1.1373706107569883
