,WELL,IF_488_Intensity,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells,ROW,COLUMN,FISH_647_Intensity_BGS,FISH_647_Intensity_FC,IF_488_Intensity_BGS,IF_488_Intensity_FC,EXPERIMENT
20,F05,659.5347042950276,358.459408061858,500.21088736433455,5407.539122137405,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4192,F,5,185.987374712344,0.8684310660468516,433.6447042950276,1.1511722817264403,251024_LARP7_7SK
21,F06,654.1616759932476,366.46845558932705,523.0236024924083,5369.588697788698,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4070,F,6,193.99642223981303,0.9058277210244123,428.27167599324764,1.1369088047632057,251024_LARP7_7SK
22,F07,635.8212591746657,212.4038833820051,521.375502451243,5625.864203954215,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1922,F,7,39.93185003249107,0.1864538340119795,409.9312591746657,1.0882215285950714,251024_LARP7_7SK
23,F08,621.2687791935654,395.7531015213005,511.51650185598277,5088.118402282454,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4206,F,8,223.28106817178647,1.0425665524899461,395.3787791935654,1.0495898759570994,251024_LARP7_7SK
24,F09,334.4289418331579,231.01985879166403,189.28147312290793,866.0,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,33,F,9,58.547825442150014,0.27337742974269075,108.53894183315793,0.2881322430291754,251024_LARP7_7SK
25,F10,644.681605260968,218.86686121894454,553.7012615737453,5286.598317560462,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1902,F,10,46.394827869430515,0.2166314239771654,418.791605260968,1.1117425925445004,251024_LARP7_7SK
26,F11,406.41150163449936,214.92412711348246,201.8341862619289,2224.451612903226,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,62,F,11,42.452093763968435,0.19822161101194982,180.52150163449937,0.47922030842070823,251024_LARP7_7SK
27,F12,505.23200619723815,371.95327582233256,484.2111801428515,5438.730924855491,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3460,F,12,199.48124247281854,0.9314379985466972,279.34200619723816,0.7415535609477599,251024_LARP7_7SK
28,F13,494.904656720033,370.6152078489099,483.94967820968685,5463.33854718982,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3772,F,13,198.14317449939588,0.9251901561950331,269.01465672003303,0.7141381253524198,251024_LARP7_7SK
29,F14,601.2791485221527,383.1750342614732,507.9375027242416,5013.712164948453,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4850,F,14,210.70300091195915,0.9838357683377685,375.3891485221527,0.9965245242464436,251024_LARP7_7SK
30,G05,630.9775009694549,366.5314654173239,485.6138869311191,5339.108710180441,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4489,G,5,194.05943206780987,0.9061219328878969,405.08750096945494,1.07536307528065,251024_LARP7_7SK
31,G06,658.6504018026617,355.873765297489,485.6273889183368,5399.506651108518,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4285,G,6,183.40173194797498,0.8563579212661898,432.7604018026617,1.1488247734834232,251024_LARP7_7SK
32,G07,545.1111797532641,394.5212564691239,537.2952010297348,5539.435640886966,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3698,G,7,222.04922311960988,1.0368146969485643,319.2211797532641,0.8474185669334481,251024_LARP7_7SK
33,G08,596.3579266953341,215.12762302773402,551.8060340706163,5664.661605206074,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2305,G,8,42.65558967822,0.19917179472212365,370.4679266953341,0.98346043259918,251024_LARP7_7SK
34,G09,581.0712017133777,392.361092705101,522.1175679829015,5102.294724075197,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3298,G,9,219.88905935558697,1.0267282417613364,355.18120171337773,0.9428796209270724,251024_LARP7_7SK
35,G10,599.9952707925822,411.867983548509,233.78268217110437,4592.9375,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,64,G,10,239.395950198995,1.1178117899677733,374.10527079258225,0.9931162860256861,251024_LARP7_7SK
36,G11,627.9852972875823,219.80938022840309,525.3220206453069,5155.50024888004,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2009,G,11,47.337346878889065,0.22103232908924333,402.0952972875823,1.0674198399413615,251024_LARP7_7SK
37,G12,464.80479725441444,236.722498920713,227.23344417853045,1204.8064516129032,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,31,G,12,64.25046557119899,0.3000047739600661,238.91479725441445,0.6342337161494718,251024_LARP7_7SK
38,G13,518.0941870925266,387.9791187049457,497.70749800913876,5531.006983240223,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3580,G,13,215.50708535543166,1.0062674854426341,292.2041870925266,0.7756980713788935,251024_LARP7_7SK
39,G14,566.1091017595895,370.90428012972063,464.1474616801545,5380.3135736752965,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4133,G,14,198.4322467802066,0.9265399217335667,340.21910175958953,0.9031605731152879,251024_LARP7_7SK
40,H05,619.0452503933936,350.0727033362362,470.34687288613554,5440.610946012877,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4038,H,5,177.60066998672218,0.8292710158727118,393.15525039339366,1.0436871987261174,251024_LARP7_7SK
41,H06,547.2174636855993,338.76697506281323,502.34242277089885,5611.38668699187,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1968,H,6,166.2949417132992,0.7764811656363177,321.32746368559935,0.8530100007877872,251024_LARP7_7SK
42,H07,564.372088197492,387.0150296966353,537.674920431179,5660.182699668283,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3919,H,7,214.54299634712126,1.0017658635097155,338.482088197492,0.8985494206075676,251024_LARP7_7SK
43,H08,551.866339119583,386.16997364291643,512.0637359615513,5325.669136597938,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3104,H,8,213.6979402934024,0.9978200422907458,325.97633911958303,0.865351109736647,251024_LARP7_7SK
44,H09,543.4555616985867,216.1239926600219,517.3422389799106,5940.163767501061,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2357,H,9,43.65195931050789,0.20382414461029622,317.56556169858675,0.8430234905153725,251024_LARP7_7SK
45,H10,596.6733117953914,396.753273596675,526.6198110700565,5093.848416289593,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3536,H,10,224.28124024716098,1.0472366571300658,370.78331179539146,0.9842976677404365,251024_LARP7_7SK
46,H11,550.7922414488539,393.10510210675005,273.85046327091356,3598.1403508771928,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,57,H,11,220.63306875723603,1.0302022457297364,324.90224144885394,0.8624997628755793,251024_LARP7_7SK
47,H12,574.7510081858834,220.95936781142805,551.986309507039,5250.260984647962,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1889,H,12,48.48733446191403,0.2264019674542755,348.8610081858834,0.9261017575473588,251024_LARP7_7SK
48,H13,597.9603576396373,255.495710633869,296.9764687308535,4587.972222222223,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,216,H,13,83.02367728435499,0.38766255334640665,372.07035763963734,0.9877143161775843,251024_LARP7_7SK
49,H14,561.2680190522875,370.2910126148482,486.759554006329,5531.651996947342,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3931,H,14,197.8189792653342,0.9236763910098482,335.3780190522875,0.8903092222951479,251024_LARP7_7SK
50,I05,620.2247791558507,375.1751240388202,461.54757421941974,5319.332647462277,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4374,I,5,202.70309068930615,0.9464817781882611,394.3347791558507,1.0468184275947994,251024_LARP7_7SK
51,I06,574.8569469203361,370.5403793539566,485.6595497823969,5448.810412573674,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4072,I,6,198.0683460044426,0.9248407594161202,348.9669469203361,0.9263829871656505,251024_LARP7_7SK
52,I07,571.2107370870708,382.35951570093135,501.02060373070356,5470.572058061171,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3858,I,7,209.88748235141733,0.9800278665702014,345.3207370870708,0.9167035983668479,251024_LARP7_7SK
