,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CELL_IF_647_Intensity_BGS,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED,EXPERIMENT
20,E03,161.48060141046824,126.87513229612155,8198.11753254761,161.31512384534744,126.65204060925824,564.7709471378048,5767.944356358896,161.09097052919424,127.00322040264682,1806.433081408664,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,113526,1.4130839057745277,0.2852112034381378,1.247606340653732,0.06211951657482473,1.023453024500526,0.41329930996340636,0.002852527486435781,0.01834739023252287,260119_CytoplasmicPOLR2A
21,F04,413.40066019433664,150.88169258607547,13606.638784280021,644.1347329358701,162.49749754711937,624.7853982545068,5723.571263379951,220.57465284990784,139.9670576243696,7204.196968513165,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,63995,253.33314268964293,24.291771493392062,484.06721543117646,35.907576454435954,60.507135345214124,13.37713653168619,1.1067714168367642,1.084708332922759,260119_CytoplasmicPOLR2A
22,F05,462.05190174707496,152.55576510920477,10674.908521593914,637.6881838339204,165.94479051393725,660.3787425456457,4904.6642969801,293.04995864004024,138.70448819723535,5112.351359187271,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86228,301.9843842423812,25.96584401652136,477.62066632922676,39.35486942125384,132.98244113534653,12.114567104551938,1.0920320251658835,2.383969447717872,260119_CytoplasmicPOLR2A
23,F06,426.1026709094085,153.80817628800003,11805.898204065175,639.615662165673,165.79389623744422,610.2887649330971,5368.0171266795805,220.55550569684692,141.23444806207914,5716.284562323058,HCT116,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,114091,266.03515340471483,27.218255195316615,479.54814466097935,39.203975144760804,60.48798819215321,14.644526969395727,1.096439012163042,1.084365082885248,260119_CytoplasmicPOLR2A
24,F07,411.2597930129002,145.63574325414942,14600.235681724891,711.2270332812458,159.7381791277601,614.3815649510659,5453.940566465746,205.92877832760837,134.69462133543658,8220.08903147752,HCT116,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,46287,251.1922755082065,19.045822161466006,551.1595157765521,33.148258035076694,45.86126082291466,8.104700242753168,1.2601712711234188,0.8221524864652895,260119_CytoplasmicPOLR2A
25,F08,321.64394395035555,148.74332997534066,12437.445397008056,401.93855521190426,157.300107709589,582.3496019611841,5416.491148830073,246.66727265853598,139.41293665543387,6287.16893939394,HCT116,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,104280,161.57642644566184,22.153408882657246,241.87103770721055,30.710186616905602,86.59975515384227,12.823015562750456,0.5530140083057291,1.5524693989974732,260119_CytoplasmicPOLR2A
26,F09,359.23288596767526,154.9089099749138,9636.411153863164,440.77260930029786,164.39105892675977,558.2517848756927,5188.362354606165,257.8173586873543,140.98310496840438,3916.3967449471497,HCT116,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,113055,199.16536846298155,28.318988882230386,280.7050917956042,37.80113783407636,97.74984118266056,14.393183875720965,0.6418042004418413,1.752356423218022,260119_CytoplasmicPOLR2A
27,F10,352.19089956290765,144.85877125789054,14601.48067868031,480.13207252636863,157.36024475710175,557.5524076891529,5754.898517182487,254.0171290513621,134.10365682342047,7747.684602001565,HCT116,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,62651,192.12338205821393,18.268850165207127,320.0645550216749,30.770323664418342,93.9496115466684,7.513735730737054,0.7317956881773835,1.684229900128431,260119_CytoplasmicPOLR2A
28,F11,392.18403764816713,155.15795826341827,11481.399013795462,571.5326124436369,159.29559527337932,541.9331784909236,5276.101128719644,214.64153785768337,146.90356900087218,5505.0352439858625,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,70168,232.11652014347342,28.568037170734854,411.46509493894325,32.70567418069591,54.57402035298966,20.31364790818877,0.940773908224312,0.9783456827074258,260119_CytoplasmicPOLR2A
29,F12,383.41316795115125,147.94377674414523,11914.842466533102,570.0098095843105,157.71318470610612,572.7535041117426,5372.667949184955,206.47492729514133,137.15041885772425,5885.271400601038,HCT116,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,87848,223.34565044645754,21.353855651461814,409.9422920796168,31.123263613422708,46.407409790447616,10.560497765040836,0.9372921713405641,0.8319432711838229,260119_CytoplasmicPOLR2A
39,G04,391.991545506586,150.34186015160404,12635.53214765036,586.9162479143135,161.09907643282423,616.9738104325722,5580.746912686229,214.589031972875,138.82433858229913,6482.836688584422,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,103569,231.9240280018923,23.751939058920627,426.84873040961986,34.50915534014082,54.521514468181294,12.234417489615723,0.9759470566698543,0.97740441238527,260119_CytoplasmicPOLR2A
40,G05,364.97079531165934,142.02023693824057,15783.783233112226,501.2578405542636,155.3660702585108,608.64516349815,5716.480462050296,277.6747421745657,133.08968926784053,9417.741057590974,HCT116,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,48393,204.90327780696563,15.43031584555716,341.1903230495699,28.77614916582739,117.60722466987201,6.499768175157115,0.7800976501087891,2.1083387253999204,260119_CytoplasmicPOLR2A
41,G06,420.75640176765023,146.9231362521098,10636.479088243968,611.279577354902,160.6990867706806,667.5574175545818,4733.062830676357,265.0212245927864,134.79950003338152,5527.898034589831,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,57647,260.68888426295655,20.333215159426388,451.21205985020833,34.10916567799718,104.95370708809267,8.209578940698108,1.0316513799213318,1.881499760318651,260119_CytoplasmicPOLR2A
42,G07,382.4427195650184,148.62409967622193,11833.556722262962,555.256844497395,158.110214908274,578.6007258690001,5481.666749879082,211.14340968244042,138.76403945910192,5703.429337057089,HCT116,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,128186,222.3752020603247,22.03417858353852,395.18932699270135,31.52029381559059,51.07589217774671,12.174118366418512,0.9035609878369579,0.915634917114752,260119_CytoplasmicPOLR2A
43,G08,370.88103714535873,142.57097665453097,16086.727582162324,627.9111717258647,154.24484185258578,583.997919614101,6056.136875876819,198.53226537453543,133.866807353778,8873.149743566155,HCT116,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86962,210.81351964066502,15.981055561847555,467.84365422117105,27.654920759902367,38.464747869841716,7.276886261094589,1.069677861945752,0.6895555755556089,260119_CytoplasmicPOLR2A
44,G09,300.6797363374444,150.2022935706743,11650.033319601449,357.2186352312996,158.13383577132458,544.5664850492246,5625.995286938186,237.56459134798385,139.73233734070325,5381.895600444075,HCT116,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,143219,140.6122188327507,23.61237247799089,197.15111772660586,31.543914678641173,77.49707384329014,13.142416248019842,0.45076637074640014,1.3892860948604824,260119_CytoplasmicPOLR2A
45,G10,335.1485258011411,153.46885326819705,9108.281162532698,391.51335277106176,160.8067579871016,534.4431579302404,5413.694140517654,244.77707525480918,139.4506721243779,3249.859253340933,HCT116,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,196502,175.08100829644738,26.87893217551364,231.44583526636805,34.21683689441819,84.70955775011547,12.860751031694477,0.5291778225273064,1.5185839264330612,260119_CytoplasmicPOLR2A
46,G11,358.11257890684965,149.09591462078617,10895.705973645177,497.26327680782333,157.54006534958717,572.5062453551534,5323.863959408305,202.81150412079225,138.1291082197685,4960.990189958595,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,174617,198.04506140215594,22.505993528102763,337.19575930312965,30.950144256903755,42.74398661609854,11.5391871270851,0.7709644784409775,0.7662692705627855,260119_CytoplasmicPOLR2A
47,G12,353.4294204673453,152.07976926010429,11193.455956815707,491.4419551341618,162.66242420766088,564.0578887240607,5418.70568466678,200.67890774141594,139.29375977965267,5148.770376214683,HCT116,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,200258,193.3619029626516,25.489848167420874,331.37443762946805,36.072503114977465,40.61139023672223,12.703838686969263,0.757654606937116,0.7280383239104192,260119_CytoplasmicPOLR2A
0,D04,409.9446855107305,436.60514463898363,9728.665863254102,527.5030023026778,573.1364735157555,603.3362031824025,5490.906000729889,232.86539285229304,223.2498623573898,3793.250287744683,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,249353,262.42046978962765,315.22190431295707,379.97878658157504,451.7532331897289,85.34117713119022,101.86662203136322,1.4351313873689262,1.5522117133397166,260306_CytoplasmicPOLR2A
