,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CELL_IF_647_Intensity_BGS,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED,EXPERIMENT
19,E07,304.0319382656511,317.74606363762854,11236.091951814906,343.72388964167715,351.3934732748303,625.5454911055083,5831.90904618441,251.47474405459914,269.50335793720905,4724.954865129529,HCT116,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,213427,156.50772254454827,196.36282331160197,196.19967392057433,230.01023294880372,103.95052833349632,148.12011761118248,0.741021131121792,1.8906843461869034,260306_CytoplasmicPOLR2A
20,E08,343.2488927761208,369.9891371493358,9831.654278939777,380.14095818856964,406.13403536604824,595.8956284509648,6037.218342852952,273.7798121853316,296.9391881751964,3275.370377009509,HCT116,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,245458,195.72467705501796,248.60589682330925,232.61674246746682,284.75079504002167,126.25559646422877,175.55594784916985,0.8785637517975151,2.296375821078802,260306_CytoplasmicPOLR2A
21,E09,353.5987965285185,414.4245511165966,12284.634585889571,408.8307636662451,484.28386387428276,632.3221292903246,6222.815689971029,287.58439996342554,327.286334908687,5431.811599991479,HCT116,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,187776,206.07458080741569,293.04131079057004,261.30654794514226,362.9006235482562,140.06018424232272,205.90309458266046,0.9869214859461337,2.547457931348317,260306_CytoplasmicPOLR2A
22,E10,404.59660638622347,492.8325797901101,10734.26316174213,492.15529074800344,616.4740590352534,681.8985380051223,5523.158798617914,299.4461173912312,339.85663333760783,4601.327295233361,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,205197,257.0723906651207,371.44933946408355,344.6310750269006,495.0908187092268,151.9219016701284,218.47339301158127,1.3016275915908795,2.7632025150381136,260306_CytoplasmicPOLR2A
23,E11,383.9867126306407,431.61901848334617,9318.30240766051,476.85685530621885,547.7578749067465,618.6311799951249,5577.725748383225,216.06030268223913,214.22733305166076,3253.428632742183,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,239984,236.46249690953786,310.2357781573196,329.332639585116,426.3746345807199,68.5360869611363,92.8440927256342,1.2438473531789942,1.246555537944002,260306_CytoplasmicPOLR2A
32,F04,348.1480650116022,416.47974208002626,9186.026025184312,431.78929355210465,532.6419693509449,577.3572125653004,5408.856786470672,207.44354632965994,213.32249955077233,3231.0203239976695,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,286607,200.6238492904994,295.0965017539997,284.2650778310018,411.25872902491835,59.91933060855712,91.93925922474577,1.0736329235594306,1.0898313094873553,260306_CytoplasmicPOLR2A
33,F05,379.0551294788552,493.6170278514467,10901.620405529124,456.4894165520748,609.7024439904774,657.3807990574662,5635.186170186155,284.3149543878732,347.03143982548795,4584.213665721132,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,199887,231.53091375775236,372.23378752542015,308.965200830972,488.3192036644508,136.79073866677035,225.64819949946138,1.166922136117933,2.4879922444537272,260306_CytoplasmicPOLR2A
34,F06,340.58211561937134,413.43783753406814,9281.662587393113,423.3877539372116,529.7504068372604,583.153653902806,5332.4233038402845,207.96434338143982,218.5744644956993,3409.510245833163,HCT116,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,269329,193.05789989826852,292.05459720804157,275.86353821610874,408.3671665112338,60.440127660337,97.19122416967272,1.0419013805645483,1.099303727272299,260306_CytoplasmicPOLR2A
35,F07,337.6328581438925,414.6203098146169,14232.189559723258,488.0313749239591,636.2610856929177,644.8783506554803,6585.257526422061,191.76791736996893,194.39730265393362,6864.406120580406,HCT116,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,164919,190.1086424227897,293.23706948859035,340.5071592028563,514.8778453668912,44.24370164886611,73.01406232790706,1.2860520877813195,0.804718123764646,260306_CytoplasmicPOLR2A
36,F08,298.7211462919542,335.39608351858567,9662.8423213133,327.77203175924905,360.6545816600178,581.9197360320599,5626.161879932809,249.2589060809806,288.3596032100941,3379.471049562578,HCT116,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,280393,151.19693057085138,214.0128431925591,180.24781603814623,239.27134133399124,101.73469035987779,166.97636288406756,0.6807729995356193,1.8503820000846654,260306_CytoplasmicPOLR2A
37,F09,312.86639413162857,364.2360572519353,8764.954105212524,340.0963363914669,392.02155125707,549.0190079619324,5726.989606151806,256.59359888929123,303.1209983150231,2529.4729655943474,HCT116,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,307682,165.34217841052575,242.8528169259087,192.57212067036406,270.6383109310434,109.06938316818841,181.73775798899652,0.7273203254121784,1.9837876604414098,260306_CytoplasmicPOLR2A
38,F10,339.40766948659495,440.51685061500655,10489.517319463179,380.6944240364437,493.6687639257077,619.9314602077759,5912.6121704116895,279.2896464571515,358.6117212648836,3981.03250007089,HCT116,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,246861,191.88345376549213,319.13361028898,233.1702083153409,372.28552359968114,131.76543073604867,237.22848093885705,0.8806541216764934,2.396590390209156,260306_CytoplasmicPOLR2A
39,F11,345.0958806078686,437.43895399501184,8539.077857108987,417.33130765483844,545.3053336492377,559.9796980339509,5281.20584529511,208.2570226571068,225.6505308795406,2730.9320363358015,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,295246,197.57166488676577,316.0557136689853,269.8070919337356,423.92209332321113,60.73280693600398,104.26729055351404,1.019026955826415,1.1046270684214807,260306_CytoplasmicPOLR2A
48,G04,297.4225577354513,356.9438936263153,11747.709474007997,384.1149774866652,481.80072888085533,582.1160850971988,6027.236191748692,187.12159928215652,191.22873198349697,5155.76759074131,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,208064,149.89834201434846,235.56065330028872,236.5907617655624,360.41748855482876,39.597383561053704,69.8454916574704,0.8935731155570429,0.7202094539496293,260306_CytoplasmicPOLR2A
49,G05,298.5550022857944,400.020067968729,12497.496607676614,345.3504352595698,464.49835805719295,623.3812807760345,6273.964574338536,244.05641429238293,320.3867289612014,5524.166653487478,HCT116,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,189693,151.03078656469157,278.6368276427024,197.82621953846697,343.1151177311664,96.5321985712801,199.00348863517485,0.7471643863551312,1.755757471055716,260306_CytoplasmicPOLR2A
50,G06,329.1021774185205,479.06194995536043,10381.38990036067,387.6349195868811,580.5568110541604,601.2054455751958,5610.3922046340485,250.63164209440188,337.39749184581194,4134.934788152574,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,219592,181.5779616974177,357.67870962933387,240.11070386577828,459.1735707281339,103.10742637329906,216.01425151978538,0.9068674876855158,1.8753497470853921,260306_CytoplasmicPOLR2A
51,G07,311.59826927818557,391.81838490430147,9326.7259696717,384.6341545418762,503.3398315080947,556.658801368897,5427.638705175554,194.7961767561815,206.44611264492147,3358.3453648075974,HCT116,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,293785,164.07405355708275,270.4351445782749,237.1099388207734,381.9565911820681,47.271961035078675,85.0628723188949,0.8955339810417667,0.8597970416835338,260306_CytoplasmicPOLR2A
52,G08,330.36585988098597,451.17923520436653,9894.478034908805,412.6571577716929,593.2833750579988,564.072383076894,5902.053913984587,192.48510811693745,205.48321022412193,3383.085503330355,HCT116,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,275346,182.84164415988315,329.79599487833997,265.13294205059003,471.90013473197223,44.960892395834634,84.09996989809537,1.0013732881916588,0.8177626107938336,260306_CytoplasmicPOLR2A
53,G09,276.61772683799893,320.298839235369,8930.781994310202,300.101654112373,344.2114549109343,536.2145006242346,5459.313684324246,231.64017093055733,270.51354895310027,2960.591450898484,HCT116,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,277690,129.0935111168961,198.9155989093424,152.5774383912702,222.82821458490776,84.11595520945451,149.1303086270737,0.5762655142135193,1.529926998243331,260306_CytoplasmicPOLR2A
54,G10,298.52410168427775,348.17426636200173,9053.839825539004,326.7495602090317,377.9549793083001,577.3694356950282,5845.797695064451,240.67394085119767,283.3027646278056,2639.1889994122766,HCT116,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,226297,150.99988596317493,226.79102603597516,179.22534448792888,256.57173898227353,93.14972513009485,161.919524301779,0.676911254969272,1.6942359983978308,260306_CytoplasmicPOLR2A
55,G11,348.9548497107432,438.21098886611406,8649.000457702681,414.2648825583843,534.9651557765437,546.6524704653128,5591.240426676729,205.50913625212362,220.07020314705707,2513.4981761770996,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,286212,201.43063398964037,316.8277485400875,266.7406668372814,413.58191545051716,57.984920531020805,98.6869628210305,1.0074454595472997,1.0546476609639877,260306_CytoplasmicPOLR2A
64,H04,146.6630830766724,121.24811171285467,10086.039599886435,146.76060062483418,121.33656369461528,570.2838822701419,5707.201842563294,146.9065161203262,121.40651463239983,3744.983458900305,HCT116,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,243031,-0.8611326444304268,-0.13512861317190072,-0.7636150962686372,-0.04667663141128742,-0.617699600776632,0.023274306373266995,-0.0028840767727663576,-0.011234911304033743,260306_CytoplasmicPOLR2A
65,H05,332.1584058920425,121.51836893919845,10155.440413892036,420.6215113344638,121.6419469753636,575.0827099702482,5656.528013683223,197.85863358541923,121.63617689092946,3947.772949320295,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,235617,184.63419017093966,0.1351286131718865,273.097295613361,0.2587066493370287,50.33441786431641,0.25293656490289607,1.0314536352575137,0.9154979532684842,260306_CytoplasmicPOLR2A
66,H06,148.1326829185416,442.9663984044002,8444.214659300891,148.6232637509693,549.8585122753753,551.5336607926281,5376.153523999514,147.53466034968804,218.44909897684568,2536.5051950460042,HCT116,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,312798,0.6084671974387845,321.58315807837363,1.0990480298664806,428.4752719493488,0.010444628585219107,97.06585865081911,0.004150964157965572,0.00018997013372029902,260306_CytoplasmicPOLR2A
67,H07,146.55547316684832,143.65456498816957,9347.35264600316,146.6954058508299,148.00694083788292,527.2636260457522,5502.091837370269,146.81023624739439,135.35693885620663,3340.056069418167,HCT116,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,256878,-0.9687425542545043,22.271324662143,-0.8288098702729201,26.623700511856356,-0.7139794737084344,13.973698530180059,-0.0031303091145970605,-0.012986079398350829,260306_CytoplasmicPOLR2A
68,H08,309.3813664989115,140.89532540928428,8442.123989173406,367.06802358486294,143.37741326028123,534.6983193853378,5348.941787054753,194.7577568700329,134.94291373065084,2599.0990893394046,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,300002,161.8571507778087,19.512085083257716,219.54380786376012,21.994172934254664,47.23354114893007,13.559673404624277,0.8291889460522132,0.8590982489165514,260306_CytoplasmicPOLR2A
69,H09,309.1688901719186,139.14369483225087,9544.004452299343,382.921590885727,142.27973079448782,553.556742746105,5502.597182947729,191.76871732758943,133.21658891096317,3492.650824764353,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,280080,161.64467445081576,17.760454506224306,235.3973751646242,20.896490468461252,44.24450160648661,11.833348584936601,0.8890658466547978,0.8047326736411589,260306_CytoplasmicPOLR2A
70,H10,301.32007535498394,141.13707527606016,8114.174554594824,352.1342600589101,143.8159345007044,500.4927691054414,5321.10359163496,192.13429752073267,134.8366554586406,2302.858133856173,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,334583,153.79585963388112,19.753834950033593,204.6100443378073,22.432694174677835,44.61008179962985,13.453415132614026,0.7727860269302029,0.8113819592151043,260306_CytoplasmicPOLR2A
71,H11,297.5438814801759,140.3258312503099,8251.5870374182,350.6917708555205,143.11954460291474,502.54330822762813,5247.750389602752,190.21568448112404,134.20427767146546,2462.613406255207,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,306081,150.0196657590731,18.942590924283337,203.16755513441765,21.736304276888177,42.69146876002122,12.821037345438896,0.7673379292867814,0.7764856321013034,260306_CytoplasmicPOLR2A
