,EXPERIMENT,WELL,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CellArea,NucleusArea,NucleusArea,CELL_IF_647_Intensity,NUCLEUS_IF_647_Intensity,CYTOPLASM_IF_647_Intensity,CELL_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED
27,260119_CytoplasmicPOLR2A,F10,HCT116,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,62651,14601.48067868031,5754.898517182487,5754.898517182487,352.19089956290765,480.13207252636863,254.0171290513621,192.12338205821393,320.0645550216749,93.9496115466684,0.7317956881773835,1.684229900128431
28,260119_CytoplasmicPOLR2A,F11,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,70168,11481.399013795462,5276.101128719644,5276.101128719644,392.18403764816713,571.5326124436369,214.64153785768337,232.11652014347342,411.46509493894325,54.57402035298966,0.940773908224312,0.9783456827074258
29,260119_CytoplasmicPOLR2A,F12,HCT116,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,87848,11914.842466533102,5372.667949184955,5372.667949184955,383.41316795115125,570.0098095843105,206.47492729514133,223.34565044645754,409.9422920796168,46.407409790447616,0.9372921713405641,0.8319432711838229
39,260119_CytoplasmicPOLR2A,G04,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,103569,12635.53214765036,5580.746912686229,5580.746912686229,391.991545506586,586.9162479143135,214.589031972875,231.9240280018923,426.84873040961986,54.521514468181294,0.9759470566698543,0.97740441238527
40,260119_CytoplasmicPOLR2A,G05,HCT116,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,48393,15783.783233112226,5716.480462050296,5716.480462050296,364.97079531165934,501.2578405542636,277.6747421745657,204.90327780696563,341.1903230495699,117.60722466987201,0.7800976501087891,2.1083387253999204
41,260119_CytoplasmicPOLR2A,G06,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,57647,10636.479088243968,4733.062830676357,4733.062830676357,420.75640176765023,611.279577354902,265.0212245927864,260.68888426295655,451.21205985020833,104.95370708809267,1.0316513799213318,1.881499760318651
42,260119_CytoplasmicPOLR2A,G07,HCT116,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,128186,11833.556722262962,5481.666749879082,5481.666749879082,382.4427195650184,555.256844497395,211.14340968244042,222.3752020603247,395.18932699270135,51.07589217774671,0.9035609878369579,0.915634917114752
43,260119_CytoplasmicPOLR2A,G08,HCT116,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86962,16086.727582162324,6056.136875876819,6056.136875876819,370.88103714535873,627.9111717258647,198.53226537453543,210.81351964066502,467.84365422117105,38.464747869841716,1.069677861945752,0.6895555755556089
44,260119_CytoplasmicPOLR2A,G09,HCT116,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,143219,11650.033319601449,5625.995286938186,5625.995286938186,300.6797363374444,357.2186352312996,237.56459134798385,140.6122188327507,197.15111772660586,77.49707384329014,0.45076637074640014,1.3892860948604824
45,260119_CytoplasmicPOLR2A,G10,HCT116,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,196502,9108.281162532698,5413.694140517654,5413.694140517654,335.1485258011411,391.51335277106176,244.77707525480918,175.08100829644738,231.44583526636805,84.70955775011547,0.5291778225273064,1.5185839264330612
