,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CELL_IF_647_Intensity_BGS,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED,NUCLEUS_IF_561_Intensity_NORMED,CYTOPLASM_IF_561_Intensity_NORMED,EXPERIMENT
24,E14,307.37769895871094,666.3038239443222,10984.853925165467,383.67043735825325,856.5276188630421,681.4730648843865,5975.690683223199,196.32384622509048,381.9608721278405,4387.861954941667,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,187801,159.85348323760812,544.9205836182956,236.14622163715043,735.1443785370155,48.79963050398766,260.57763180181394,1.0003256162531209,0.9746993697188417,0.9823616295242321,0.9575799688604683,260306_CytoplasmicPOLR2A
25,E15,330.72358529706213,721.034163273157,9639.839498449532,399.4157436743435,887.9341988451655,729.4200738502951,5726.189499124627,202.0165591279938,401.76223604762936,3326.859251724867,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,222191,183.1993695759593,599.6509229471304,251.89152795324068,766.5509585191389,54.49234340689097,280.3789957216028,1.0670234153309244,1.0884027650344428,1.0243297380887302,1.030346726753669,260306_CytoplasmicPOLR2A
26,E16,320.62726177145106,749.2850825184004,13684.893517477716,434.931719212264,1062.1745769970817,723.740783655712,6679.6057685881115,196.93561766672013,408.17092252839365,6275.256311481884,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,164581,173.10304605034824,627.9018421923738,287.40750349116115,940.7913366710551,49.411401945617314,286.7876822023671,1.2174706249898228,0.9869185859794994,1.25716435780094,1.0538975962517625,260306_CytoplasmicPOLR2A
27,E17,255.15428429616952,556.54270160917,11113.28821651541,282.40151885633054,598.3903169776571,654.5203757142783,6098.763626285146,218.20853070453984,496.1399179445968,4345.264437530093,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,247151,107.6300685750667,435.1594612831434,134.87730313522772,477.00707665163054,70.68431498343702,374.7566776185702,0.5713460941357695,1.4118130926777062,0.637416897680177,1.3771691960005943,260306_CytoplasmicPOLR2A
28,E18,247.95311267860993,546.1682815071515,12070.394209258764,265.4372316412802,568.3344735259687,644.144819262241,6713.221974846133,223.5933471168578,514.8132601601341,4575.172956917313,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,186850,100.4288969575071,424.78504118112494,117.9130159201774,446.9512331999422,76.069131395755,393.4300198341075,0.49948463920736913,1.5193667177550338,0.5972537566538062,1.4457906595300305,260306_CytoplasmicPOLR2A
29,E19,260.05323755815743,603.976209175402,17009.292670612544,311.61766362020455,748.1713008677805,645.1617320638852,7209.111556446226,216.7504767519967,481.04642807501455,8855.872947445278,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,128742,112.52902183705461,482.59296884937544,164.09344789910173,626.7880605417539,69.22626103089388,359.663187748988,0.695106947952729,1.382690653555063,0.8375668215616063,1.32170310146527,260306_CytoplasmicPOLR2A
30,E20,285.29064814493677,688.1637034703845,14456.10417603298,340.16425756374497,837.4796943912371,636.5132637965562,6719.373442364298,234.2012603352075,547.0270180272512,7143.778932367437,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,117887,137.76643242383395,566.7804631443579,192.64004184264215,716.0964540652105,86.67704461410469,425.6437777012246,0.8160315555137896,1.7312438615197334,0.9569081938869838,1.5641709251037619,260306_CytoplasmicPOLR2A
31,E21,273.11610354459617,551.6201178251957,11884.727241242826,340.5735093506855,720.3887430052212,590.4120863382174,6172.289976251732,186.1872226733636,328.57996682562856,4976.229049849375,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,181908,125.59188782349335,430.23687749916917,193.0492936295827,599.0055026791946,38.66300695226079,207.196726499602,0.8177651637974023,0.7722355296260773,0.800441435568002,0.761413915452196,260306_CytoplasmicPOLR2A
40,F14,310.5432661360092,679.4528966224863,9277.471505021205,376.63940699322046,843.1841526645587,686.9002858805081,5489.882233837847,210.3478777664054,423.5481299049151,3540.87028155126,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,208914,163.0190504149064,558.0696562964597,229.11519127211764,721.8009123385322,62.82366204530257,302.1648895788885,0.970541867294381,1.2548083492964601,0.9645309698865571,1.1104063059938543,260306_CytoplasmicPOLR2A
41,F15,312.6428956639482,801.2576477374255,12931.428609294928,381.21548459461,985.4953632150815,726.8221503123146,6280.893015890277,244.76218678275126,619.4778160228328,5945.856960321884,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,147134,165.11867994284538,679.8744074113989,233.6912688735072,864.112122889055,97.23797106164844,498.09457569680626,0.9899263300856839,1.9421825150660301,1.1546991555893313,1.830415699871272,260306_CytoplasmicPOLR2A
42,F16,312.8671346009562,705.7349860683556,11195.069925798678,395.9291726445183,919.279178507915,645.9395032597358,5997.664199651659,199.70420860957196,407.3347668557644,4403.7635435306465,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,209565,165.34291887985339,584.3517457423291,248.40495692341548,797.8959381818885,52.179992888469144,285.95152652973786,1.0522541495351787,1.042217034331203,1.0662155311355066,1.050824861583701,260306_CytoplasmicPOLR2A
43,F17,331.55169552057765,759.637586402763,13144.806488279357,427.9026815118459,1050.2621626434618,679.2101901912288,6656.261549832917,214.50989852035474,415.2253689347805,5699.951229207816,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,160998,184.02747979947483,638.2543460767364,280.3784657907431,928.8789223174352,66.98568279925192,293.8421286087539,1.187695317044642,1.3379384665480585,1.2412459897665162,1.0798215273407268,260306_CytoplasmicPOLR2A
44,F18,246.86301557793135,549.9387926802023,12246.210604249103,275.5875406382075,597.7453103549448,643.7319675685892,6244.997913967414,211.49191131254295,487.5657372178105,5233.369567936128,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,199901,99.33879985682853,428.5555523541757,128.06332491710467,476.3620700289182,63.96769559144013,366.18249689178396,0.542481787466266,1.277658702154488,0.6365549856865049,1.3456604910646135,260306_CytoplasmicPOLR2A
45,F19,248.80130967847774,554.652029415877,10889.383983532154,266.47876997495035,573.8442013643875,617.7622397687575,6402.81288162496,221.16391515865047,522.8672083625061,3896.212296322016,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,201605,101.27709395737492,433.26878908985043,118.95455425384753,452.4609610383609,73.63969943754765,401.4839680364795,0.50389664067094,1.4708424610345652,0.6046163174998204,1.475387595443152,260306_CytoplasmicPOLR2A
46,F20,254.24958801496834,625.2192912791808,15860.678211696713,311.7036011670092,781.0284617845824,623.8190301446313,6774.40385461732,207.82284194896468,497.502657678608,8145.460926536408,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,120427,106.72537229386552,503.8360509531542,164.17938544590638,659.6452214585559,60.29862622786186,376.1194173525814,0.6954709831207306,1.2043745489918483,0.8814733181385154,1.382177040545946,260306_CytoplasmicPOLR2A
47,F21,267.2611966384495,566.2379756427812,10442.931465031425,321.7574616091742,711.7612626515253,557.8243342348013,5939.107761667336,182.98187529897294,334.4838767000272,3833.443246031291,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,261735,119.7369809173467,444.8547353167546,174.23324588807137,590.3780223254987,35.45765957787012,213.10063637400066,0.7380595711269567,0.708213527137898,0.7889126720946128,0.7831098138859554,260306_CytoplasmicPOLR2A
56,G14,302.7885482798357,657.4878980134733,8841.702041007566,356.0704052982142,790.3215985793308,670.4987743662087,5499.22329264293,200.75483241562594,394.3274494285292,2970.5832747665436,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,277461,155.2643325587329,536.1046576874468,208.5461895771114,668.9383582533043,53.23061669452312,272.9442091025026,0.8834106858017373,1.0632016678416707,0.8938915876262702,1.0030251078949293,260306_CytoplasmicPOLR2A
57,G15,276.6596104084776,707.1804459679095,11395.705805440688,314.9296728845502,803.0008254109463,723.5509063717507,6165.260458769386,223.74391619882687,575.0613059108483,4552.063092464705,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,192733,129.13539468737477,585.7972056418829,167.40545716344738,681.6175850849197,76.21970047772405,453.67806558482175,0.7091367625541386,1.5223741091589993,0.9108346348630599,1.667192325417269,260306_CytoplasmicPOLR2A
58,G16,292.587041504339,772.414588773527,11865.386742939485,341.5975806142084,907.2364354723377,689.6384450801245,6243.242694144757,234.41095150325577,612.7341998856829,5184.891845392264,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,161001,145.0628257832362,651.0313484475005,194.0733648931056,785.8531951463111,86.88673578215295,491.3509595596563,0.8221031739957815,1.7354321278492408,1.050123006975947,1.8056340189343203,260306_CytoplasmicPOLR2A
59,G17,291.34921632369685,636.7835210285125,10338.193239913477,355.43579170069194,801.9681825407358,646.521574392676,5952.779584312988,191.05090084728386,371.41575910165466,3750.62046835324,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,265825,143.82500060259403,515.4002807024859,207.91157597958912,680.5849422147093,43.526685126181036,250.0325187756281,0.8807224351338968,0.8693802006343542,0.9094547307757631,0.9188284116626302,260306_CytoplasmicPOLR2A
60,G18,285.2914837950327,638.6724058162131,15660.813530299243,397.16638937646394,943.8663846600302,684.9140228078775,6931.644850470663,184.26953364384784,358.4260287848365,7900.424430066921,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,108039,137.7672680739299,517.2891654901865,249.64217365536112,822.4831443340037,36.745317922745016,237.04278845880992,1.0574950531636256,0.7339325697658993,1.0990710199431708,0.8710932877140595,260306_CytoplasmicPOLR2A
61,G19,243.12466317096482,509.99850392576036,11242.233879233036,267.62686089332215,548.9705342678205,650.0871551391472,6170.392188367426,206.47879014372492,449.6432190947778,4483.433947559465,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,187336,95.600447449862,388.6152635997338,120.10264517221933,427.587293941794,58.9545744226221,328.25997876875124,0.5087600034953494,1.1775291316412064,0.5713780355315166,1.2063014698306527,260306_CytoplasmicPOLR2A
62,G20,230.2798027231871,481.15438126844117,11308.189361070748,243.5056120257259,501.01040798716355,578.1929025014234,6441.60024967767,210.25153848486224,450.0671248553146,4272.14676237644,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,195452,82.75558700208427,359.7711409424146,95.98139630462308,379.627167661137,62.72732276375942,328.68388452928804,0.4065813492234695,1.2528841167555682,0.5072896888328526,1.2078592538283341,260306_CytoplasmicPOLR2A
63,G21,266.85032189645904,541.5649100782235,11162.438408048527,328.2085376331441,694.1029588057183,603.4346396714565,6084.733407308773,182.86152505508616,326.10535187373154,4397.952946688366,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,202770,119.32610617535622,420.18166975219697,180.68432191204127,572.7197184796918,35.33730933398334,204.72211154770497,0.7653866083940998,0.7058097116653124,0.7653161641880676,0.7523201122266703,260306_CytoplasmicPOLR2A
72,H14,146.41545107646382,143.85392454762416,7756.099082256389,146.54677212485402,149.76432426637,649.7098533823913,5203.176022883997,146.46132859625473,129.3424792331693,2068.906223289234,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,293655,-1.1087646446389954,22.470684221597594,-0.9774435962488042,28.381083940343444,-1.0628871248480891,7.959238907142748,-0.004140493381565206,-0.02122957489579861,0.03792518678138267,0.029248894819381515,260306_CytoplasmicPOLR2A
73,H15,306.15618197340444,140.6491104647686,9732.23700263817,374.3063454554037,148.13311480030703,668.2481921962881,5649.51447665177,199.99047684545002,128.11870545627465,3530.7124684792648,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,240318,158.63196625230162,19.26587013874203,226.78212973430087,26.74987447428046,52.4662611243472,6.7354651302480875,0.960658917635508,1.0479348126463084,0.03574542776266319,0.024751727326270203,260306_CytoplasmicPOLR2A
74,H16,148.0154483357967,502.420456203686,9190.773439518009,148.69440656285715,634.8160462451909,636.1882205633098,5425.5170196278395,147.30288072783014,273.23757449668454,3150.799699426697,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,298097,0.49123261469387103,381.03721587765943,1.1701908417543336,513.4328059191644,-0.22133499327267714,151.85433417065798,0.00495697905643521,-0.004420834260660513,0.6860920148470577,0.558039719606714,260306_CytoplasmicPOLR2A
75,H17,149.36315575229423,694.3039257726839,8954.33956775291,150.23622099765402,857.0940432140586,642.0182658436105,5400.69202394773,148.17294596867322,409.2305825179886,3012.9089878236455,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,296312,1.838940031191413,572.9206854466573,2.7120052765511957,735.710802888032,0.6487302475703984,287.847342191962,0.011488171738425137,0.012957412933131652,0.9831185332899579,1.0577916725499565,260306_CytoplasmicPOLR2A
76,H18,265.02271049945335,571.5739989452293,12146.03716167959,330.75995088583596,748.7450310397568,599.9396682660517,6285.47379998743,183.0151721267529,345.34539612908105,5216.934412835178,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,175019,117.49849477835053,450.1907586192027,183.23573516473314,627.3617907137302,35.49095640565008,223.9621558030545,0.776194505368361,0.7088785812933411,0.838333487978578,0.8230241126104183,260306_CytoplasmicPOLR2A
77,H19,272.97791908209564,585.4319400154833,12540.134221626475,343.19011105240605,767.2966367151226,623.2017871643859,6536.195365052818,184.71540854863204,348.3813914843153,5380.494958003861,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,162634,125.45370336099282,464.0486996894567,195.66589533130323,645.9133963890961,37.19119282752922,226.99815115828875,0.8288492018633782,0.7428382517183703,0.863123700777064,0.8341808965508637,260306_CytoplasmicPOLR2A
78,H20,268.9316080666425,568.4729854257083,11494.174623761712,324.2158961758764,719.1053322483068,599.9189724688271,6653.345032312887,177.75978057631863,318.4030975307297,4068.969040005367,HCT116 mChPOLR2A clone 2,No addition,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,178876,121.4073923455397,447.08974509968175,176.6916804547736,597.7220919222802,30.235564855215813,197.01985720470316,0.7484736063628586,0.6039100235618348,0.7987264343800444,0.7240155934430448,260306_CytoplasmicPOLR2A
79,H21,254.9701592913095,531.7748115402472,12584.26043222879,308.17707309533426,683.1314471222796,582.0618456815223,7056.3005651080575,174.3912702574474,302.00771960508723,4875.548720851467,HCT116 mChPOLR2A clone 2,No addition,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,107767,107.44594357020668,410.3915712142207,160.65285737423144,561.748206796253,26.86705453634457,180.62447927906067,0.6805324575662011,0.5366290861697591,0.7506551092846269,0.6637652742773801,260306_CytoplasmicPOLR2A
