,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CELL_IF_647_Intensity_BGS,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED,NUCLEUS_IF_561_Intensity_NORMED,CYTOPLASM_IF_561_Intensity_NORMED,EXPERIMENT
31,F14,377.22264380952225,923.2576473401185,13807.620324581028,522.5217162657618,1341.216359802585,539.2595220763687,6333.257486557557,234.85940921808077,502.31040448304725,6896.859757054829,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,101916,217.15512630482854,796.6677262474351,362.45419876106814,1214.6264387099015,74.79189171338706,375.7204833903638,1.0817728436754352,1.2525401261854883,1.0752295763372623,1.124235410937925,260119_CytoplasmicPOLR2A
32,F15,395.8089042329528,1200.7025178082574,14084.670247439139,539.2001340345836,1622.9893888518905,596.3834550508294,5898.39137953971,285.93723791865136,867.0583764073825,7629.561117023635,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,90204,235.74138672825907,1074.112596715574,379.1326165298899,1496.399467759207,125.86972041395765,740.4684553146991,1.1315508831614083,2.1079407390094334,1.3246648635929457,2.2156387392975487,260119_CytoplasmicPOLR2A
33,F16,357.3309647264903,853.6405088497171,14850.938532054395,524.0349698485545,1331.9139265503345,567.2053605565806,6225.50438623118,221.26825221795409,454.76201699997483,7614.589136109762,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,65888,197.2634472217966,727.0505877570337,363.9674523438608,1205.324005457651,61.200734713260374,328.1720959072914,1.0862892670940498,1.0249289625424858,1.066994738821831,0.9819605462323756,260119_CytoplasmicPOLR2A
34,F17,350.5933145564854,865.3798186577326,16924.501018192608,555.2768854131239,1477.447714463006,541.897614735893,6608.878356326954,211.4928137859339,446.76081656536235,9477.018637644805,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,74151,190.52579705179167,738.7898975650492,395.2093679084302,1350.8577933703225,51.42529628124018,320.1708954726789,1.1795332023489729,0.8612196538639161,1.1958263105158444,0.9580192567465494,260119_CytoplasmicPOLR2A
35,F18,284.9213702902113,698.9217545012685,15441.322853818565,349.0849152221533,852.20764768661,524.0781482957306,6351.611978073384,235.3301616008369,575.6176793750966,8389.383271959601,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,83369,124.8538527855176,572.3318334085851,189.0173977174596,725.6177265939266,75.26264409614319,449.0277582824132,0.5641371752124117,1.2604238183263297,0.6423420533946879,1.3435863325840463,260119_CytoplasmicPOLR2A
36,F19,300.5166097623954,791.3715837799602,12783.618546630327,342.77551427018165,886.4266035608076,533.5047250966763,6372.826890953316,254.95844794134993,682.5382803686218,5761.67916068341,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,102369,140.44909225770166,664.7816626872768,182.70799676548793,759.8366824681242,94.89093043665622,555.9483592759384,0.5453062756586664,1.5891388125126653,0.6726338634975507,1.663515458382591,260119_CytoplasmicPOLR2A
37,F20,319.30186274460607,897.1632021073709,16682.503583696656,439.0616939692363,1258.0454529497706,538.2612895415411,6167.461504161713,243.28602607089869,670.2930228582946,9542.248183379574,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,60552,159.23434523991236,770.5732810146875,278.99417646454253,1131.4555318570872,83.21850856620497,543.7031017656112,0.8326798935550147,1.393660714184416,1.0016037963534823,1.6268750495740558,260119_CytoplasmicPOLR2A
38,F21,332.5554704972428,793.6583482920087,13409.981295381467,458.9883348959994,1153.953015229557,478.76401010575654,6210.5109963171,210.9033249636595,435.679191807595,6478.89263178254,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,124087,172.4879529925491,667.0684271993252,298.9208173913057,1027.3630941368735,50.835807458965775,309.08927071491155,0.8921525085610663,0.8513474820693315,0.9094575494557976,0.9248606840464696,260119_CytoplasmicPOLR2A
48,G13,336.43485082240164,841.2713350565647,13300.358614405415,457.59286838131135,1204.1523544170466,531.7437693856979,6191.130653128618,214.63268832615393,464.8185007163842,6304.803979199638,HCT116 mChPOLR2A clone 2,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,145959,176.36733331770793,714.6814139638813,297.5253508766176,1077.5624333243632,54.565170821460214,338.2285796237008,0.8879876298398154,0.9138031460409145,0.9538957507716727,1.012051679410658,260119_CytoplasmicPOLR2A
49,G14,347.7164594987119,887.4198391843333,12590.751571817713,468.8949694865126,1249.1065304242652,544.4847470057058,6051.437384966503,217.80970450553446,485.4410847659478,5781.552992711478,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,135830,187.6489419940182,760.8299180916499,308.82745198181885,1122.5166093315818,57.742187000840744,358.85116367326435,0.9217196326525087,0.9670086494056912,0.9936907511786882,1.0737588268207574,260119_CytoplasmicPOLR2A
50,G15,311.05574312466797,925.2359712862503,15777.257439786401,395.15913103825886,1191.9179093158598,556.0977479090104,6579.075380564775,245.40084573518718,718.9625017928346,8432.873009103889,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,107866,150.98822561997426,798.6460501935669,235.09161353356515,1065.3279882231764,85.33332823049346,592.3725807001512,0.7016492681440768,1.4290776080279144,0.9430653943726773,1.7725044577882967,260119_CytoplasmicPOLR2A
51,G16,357.12672444244265,1084.116569985306,13564.279428356525,461.40469198677937,1415.8858304503708,584.6253706088817,6149.139718764619,265.83158572827926,789.9685828157795,6787.494812830791,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,109019,197.05920693774894,957.5266488926225,301.33717448208563,1289.2959093576874,105.76406822358555,663.3786617230961,0.899364314881322,1.771231296920771,1.1413295892558202,1.98496971908464,260119_CytoplasmicPOLR2A
52,G17,342.83024016610824,832.262600319176,12952.826052093375,466.21154166932513,1180.5535420924266,539.8489816944358,6168.673537970863,218.29112720930016,466.81962028079545,6233.558251421261,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,110993,182.76272266141453,705.6726792264926,306.14402416463145,1053.9636209997432,58.223609704606446,340.229699188112,0.9137107329059502,0.9750710374575142,0.9330052611781688,1.0180394537676243,260119_CytoplasmicPOLR2A
53,G18,344.027745645925,856.6036662326853,18080.660431041593,557.0458556978738,1499.0002356625776,537.625185987704,6844.678107045661,208.68539476107682,448.47168975767687,10244.635442724799,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,72754,183.96022814123128,730.0137451400019,396.9783381931801,1372.4103145698941,48.61787725638311,321.88176866499344,1.184812832221802,0.8142037956058396,1.2149053520218314,0.9631385523704348,260119_CytoplasmicPOLR2A
54,G19,280.14482746965393,688.438300962364,14644.441752419934,332.24408788482424,799.4679476055519,515.2541047097366,6450.402472334772,233.63089257893475,576.2119603413726,7464.652090674281,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,121181,120.07730996496022,561.8483798696806,172.17657038013053,672.8780265128685,73.56337507424104,449.62203924868913,0.5138744116940923,1.231966152844719,0.5956550362451672,1.3453645473364204,260119_CytoplasmicPOLR2A
