,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
24,D07,247.9081348300112,189.95923573378158,421.9054613508251,1699.6297435897436,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2925,338.0257568395785,1636.1545426162972,241026_mACmChPOLR2A_ActivePolII
25,D08,242.4879524038795,188.60581982213014,381.1242680601064,1739.0300193673338,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,3098,456.240945518524,1651.14243697479,241026_mACmChPOLR2A_ActivePolII
26,D09,254.21847474496147,189.97827684522852,468.5447330313344,1690.626267078008,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2269,446.8050741639639,1665.8911342894394,241026_mACmChPOLR2A_ActivePolII
27,D10,254.82062800526415,188.72186043773908,488.3524513244806,1687.7318376068376,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,1872,461.20184332893876,1634.5203426124197,241026_mACmChPOLR2A_ActivePolII
28,D11,250.03370635283238,189.00841099465052,482.68520813584905,1742.654857560263,HCT116 mChPOLR2A Clone 2,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2738,449.15205823002447,1664.6149049881235,241026_mACmChPOLR2A_ActivePolII
29,D12,252.22601709247067,188.66607776683352,478.1840965697068,1747.0334928229665,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,2090,355.6014295985631,1681.491631799163,241026_mACmChPOLR2A_ActivePolII
30,D13,251.17763582977398,188.52615718503554,474.7425404429908,1707.7853005068791,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,2762,460.1617259391294,1658.0536185174333,241026_mACmChPOLR2A_ActivePolII
31,D14,251.3195461529588,188.97580951911013,471.9153597284326,1823.0497193263834,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,2494,266.6861041189202,1607.6828885400314,241026_mACmChPOLR2A_ActivePolII
32,D15,258.0122791398305,187.8378855800279,527.3763987338936,1709.812238493724,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,1912,293.04382717952495,1587.2387894853105,241026_mACmChPOLR2A_ActivePolII
33,D16,246.6219804195455,186.88552124696855,484.72718752812017,1767.4880149812734,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,2670,280.0514947575702,1629.6807573037377,241026_mACmChPOLR2A_ActivePolII
