,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,2626.8014510591306,254.1074449860009,437.2823946833959,551.1303690029341,1823.5947837150127,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1572,251017_mACmChPOLR2A_7SK
1,C04,2570.0077734945353,260.7427063683509,448.73749979219383,548.6876457401479,1793.2786796536795,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3696,251017_mACmChPOLR2A_7SK
2,C05,2408.4047224171586,254.49695452060007,444.95664266979566,484.9428468282789,1759.4519602429598,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3622,251017_mACmChPOLR2A_7SK
3,C06,2460.745829126598,256.61127779483775,456.4982277164097,495.2186377345233,1769.6075874333135,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3374,251017_mACmChPOLR2A_7SK
4,C07,2427.308208580872,261.64634866673816,462.38109343780576,480.7734697631731,1747.0996546620622,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4054,251017_mACmChPOLR2A_7SK
5,C08,2436.202871299703,261.35164597839304,457.1435837307888,527.7869431774263,1745.1052631578948,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4028,251017_mACmChPOLR2A_7SK
6,C09,2301.19377784433,256.82449233556133,456.5498856783525,483.40858241076904,1714.1578676281226,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3883,251017_mACmChPOLR2A_7SK
7,C10,2442.7666943726163,259.5471489803648,464.15842101306725,496.6583801122554,1762.1036585365853,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3772,251017_mACmChPOLR2A_7SK
8,C11,2313.3020211527137,259.44572441797885,460.45582547389466,468.4734649639379,1693.7357874101504,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4591,251017_mACmChPOLR2A_7SK
9,C12,2380.170349609966,259.23363976135204,456.12910318588615,491.80075687755254,1774.9039164490862,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3830,251017_mACmChPOLR2A_7SK
10,C13,2274.4269903222707,257.7762111325584,451.57201286516676,479.9665909193873,1798.908259502715,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3499,251017_mACmChPOLR2A_7SK
11,C14,2422.5680867272954,258.1853597962794,454.7448958110209,497.3616890375192,1735.0778003041055,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3946,251017_mACmChPOLR2A_7SK
12,C15,2360.3008489563967,258.4811592887061,453.23506437718953,471.68760384065644,1717.9612738853502,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3925,251017_mACmChPOLR2A_7SK
13,C16,2383.640658352315,259.4216026029018,457.77020001887905,476.3618625530033,1760.0151187904967,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4167,251017_mACmChPOLR2A_7SK
14,C17,2181.2220033675385,253.8762733481835,437.3659528098414,447.82669977914185,1723.366742596811,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4390,251017_mACmChPOLR2A_7SK
15,C18,2369.7332160266997,255.3460218050198,440.77894041569135,490.3346570534292,1733.4755227552275,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4065,251017_mACmChPOLR2A_7SK
16,C19,2087.2791597924406,251.64065408017717,430.16662995138137,428.1545849038982,1697.302330420308,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4806,251017_mACmChPOLR2A_7SK
17,C20,2309.997510706667,250.61631376832952,426.51183436919183,477.9447395211085,1777.8576312576313,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4095,251017_mACmChPOLR2A_7SK
18,C21,2495.0123980708804,250.2377785506536,434.8249526667729,495.8285714094651,1801.4078901021487,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2839,251017_mACmChPOLR2A_7SK
19,C22,2492.6288166714785,248.66791838967143,425.9289384071466,479.29251778782435,1799.0963819691578,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3372,251017_mACmChPOLR2A_7SK
20,D03,2981.425782741537,307.59374218851406,284.50921811009607,581.6517776288343,1353.392857142857,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,84,251017_mACmChPOLR2A_7SK
21,D04,2993.0267651982454,315.58531962315203,283.20387999500286,661.5751952595558,1294.1698113207547,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,159,251017_mACmChPOLR2A_7SK
22,D05,3073.1378734096825,305.23564873687724,290.5583894644615,622.6553786895803,1233.5,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,104,251017_mACmChPOLR2A_7SK
23,D06,2978.84123421466,303.02594896863354,318.2731986828919,623.4067930382836,1184.3636363636363,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,121,251017_mACmChPOLR2A_7SK
24,D07,3329.1959120357747,312.9315306408344,337.62668858433995,683.7518644169703,1259.9256198347107,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,242,251017_mACmChPOLR2A_7SK
25,D08,3263.021861746593,301.37600465538503,591.7598924505206,697.1388052075916,1389.8815789473683,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,304,251017_mACmChPOLR2A_7SK
26,D09,3317.422922385519,302.9757605925192,571.3412399487769,675.392382312397,1227.458536585366,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,205,251017_mACmChPOLR2A_7SK
27,D10,3408.859989539567,304.3557099480072,573.2735828019985,675.6235988763766,1363.5131086142321,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,267,251017_mACmChPOLR2A_7SK
28,D11,3169.456966770329,295.60110432039323,559.1172444604338,627.7094382740934,1227.3505154639174,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,97,251017_mACmChPOLR2A_7SK
29,D12,3185.284002173982,288.4315782449041,563.6339688322294,615.2765276439429,1258.8879310344828,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,116,251017_mACmChPOLR2A_7SK
30,D13,3631.630648833942,341.95870643861355,275.56370757648114,749.5564442113787,1573.2833530106257,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,847,251017_mACmChPOLR2A_7SK
31,D14,3664.827015649408,334.0944170599682,286.4390677399131,748.8198014177628,1570.8766375545852,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,916,251017_mACmChPOLR2A_7SK
32,D15,3762.0954464118167,316.7937754305692,286.66651754908474,741.5947957076951,1517.2151335311573,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,674,251017_mACmChPOLR2A_7SK
33,D16,3518.72477966878,304.23885952032884,325.0081368893099,743.6190889992351,1534.2254220456803,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1007,251017_mACmChPOLR2A_7SK
34,D17,3615.8267377654474,305.3728728592455,380.57633004234816,737.28187784573,1476.1935853379152,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,873,251017_mACmChPOLR2A_7SK
35,D18,3575.341867693484,304.05040188452455,535.8162278544169,746.4272515720762,1573.5931603773586,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,848,251017_mACmChPOLR2A_7SK
36,D19,3394.4710231197564,294.53835340840965,510.05175122892354,718.8660813919078,1534.371707317073,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1025,251017_mACmChPOLR2A_7SK
37,D20,3511.712992198436,296.3511099160481,520.9459027504478,730.0288610617584,1520.831566548881,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,849,251017_mACmChPOLR2A_7SK
38,D21,3455.353436882557,297.9534193138938,512.728178894463,739.4180636865431,1539.2215320910973,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,966,251017_mACmChPOLR2A_7SK
39,D22,3607.385524317976,294.5014038780591,516.9606596462922,688.1942116623716,1527.2002551020407,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,784,251017_mACmChPOLR2A_7SK
40,E03,2976.661465799171,314.0456681556694,263.7362355442712,620.3012363495819,1551.0372429127292,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1799,251017_mACmChPOLR2A_7SK
41,E04,3012.0440208923005,310.1250170113036,269.16470333643446,648.0630529712371,1531.5397631133671,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1773,251017_mACmChPOLR2A_7SK
42,E05,2674.067413930467,289.5594110950634,281.12066932226674,592.2694930938987,1620.241365131579,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2432,251017_mACmChPOLR2A_7SK
43,E06,2884.103771640927,289.8114168176309,320.7614414660596,626.9343721897949,1607.6616575591986,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2196,251017_mACmChPOLR2A_7SK
