,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity_x,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,DAPI_Intensity_y,NucleusArea2,EXPERIMENT
21,D04,2863.139366115286,178.22784023905382,459.6250280437209,1517.07109375,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1280,760.8082942767699,1965.9487743205048,1457.279117147708,260127_ARMC5mAC_PhosphoEU
22,D05,3501.3495279972853,178.71851688993132,476.20004860807444,1384.3067010309278,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,776,633.8797057525738,2134.2331189818537,1379.2778091473745,260127_ARMC5mAC_PhosphoEU
23,D06,3195.1538288472825,178.79076759487552,481.6345426695892,1394.4421524663678,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1115,773.2836148554633,2202.2988163182977,1315.5217391304348,260127_ARMC5mAC_PhosphoEU
24,D07,2710.7415835417546,177.36547003374517,470.142102431986,1484.8818493150684,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1168,847.0164721516128,2061.7211336566634,1433.4464360150062,260127_ARMC5mAC_PhosphoEU
25,D08,3026.6236106134165,203.46355295573946,475.8526661716395,1455.8179162609542,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1027,745.0669519298007,2123.157292475435,1392.541232638889,260127_ARMC5mAC_PhosphoEU
26,D09,2921.9213810916012,205.63149718104702,500.97270403522117,1384.2056574923547,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1308,807.7294655062135,2287.8456367350173,1314.6932012299283,260127_ARMC5mAC_PhosphoEU
27,D10,2778.0364254337733,177.44932879105897,466.93242216427933,1523.246887966805,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1446,761.2037250421041,2055.2582944519427,1436.0968514715948,260127_ARMC5mAC_PhosphoEU
28,D11,3582.6623430345235,179.32075305892937,495.0680904783373,1384.5142517814727,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,842,609.2262284161884,2184.623024057072,1412.8181818181818,260127_ARMC5mAC_PhosphoEU
29,D12,3066.378029131762,180.33092224410896,493.828269724177,1469.0928088506453,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1627,723.027987359482,2302.5357023629626,1360.13171057019,260127_ARMC5mAC_PhosphoEU
30,D13,2861.6347007351605,179.91753759968057,476.74047244395314,1456.3001531393568,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1306,858.1165114093435,2080.64971832335,1417.814910025707,260127_ARMC5mAC_PhosphoEU
