,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,EXPERIMENT
16,E04,333.24437674501536,390.8719091559618,10152.270715779148,416.79105729494796,503.654575807124,597.2512727666594,5688.471913476678,205.21325567218312,209.09536444133076,4029.879775947962,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,193705,260306_CytoplasmicPOLR2A
17,E05,340.96349742680604,396.7016681695326,9875.95253868395,428.85875102210707,514.1142854981833,602.9018329981373,5584.8387705334735,204.7532424632933,206.85947769470036,3745.096237250977,HCT116,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,251784,260306_CytoplasmicPOLR2A
18,E06,347.8689737500208,422.54665204852455,13175.633601789215,484.57636018065176,623.3145853032437,632.1143840368089,6387.112442985259,199.68334474190272,200.45870436327024,6019.956393363153,HCT116,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,181532,260306_CytoplasmicPOLR2A
19,E07,304.0319382656511,317.74606363762854,11236.091951814906,343.72388964167715,351.3934732748303,625.5454911055083,5831.90904618441,251.47474405459914,269.50335793720905,4724.954865129529,HCT116,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,213427,260306_CytoplasmicPOLR2A
20,E08,343.2488927761208,369.9891371493358,9831.654278939777,380.14095818856964,406.13403536604824,595.8956284509648,6037.218342852952,273.7798121853316,296.9391881751964,3275.370377009509,HCT116,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,245458,260306_CytoplasmicPOLR2A
21,E09,353.5987965285185,414.4245511165966,12284.634585889571,408.8307636662451,484.28386387428276,632.3221292903246,6222.815689971029,287.58439996342554,327.286334908687,5431.811599991479,HCT116,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,187776,260306_CytoplasmicPOLR2A
22,E10,404.59660638622347,492.8325797901101,10734.26316174213,492.15529074800344,616.4740590352534,681.8985380051223,5523.158798617914,299.4461173912312,339.85663333760783,4601.327295233361,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,205197,260306_CytoplasmicPOLR2A
23,E11,383.9867126306407,431.61901848334617,9318.30240766051,476.85685530621885,547.7578749067465,618.6311799951249,5577.725748383225,216.06030268223913,214.22733305166076,3253.428632742183,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,239984,260306_CytoplasmicPOLR2A
24,E14,307.37769895871094,666.3038239443222,10984.853925165467,383.67043735825325,856.5276188630421,681.4730648843865,5975.690683223199,196.32384622509048,381.9608721278405,4387.861954941667,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,187801,260306_CytoplasmicPOLR2A
25,E15,330.72358529706213,721.034163273157,9639.839498449532,399.4157436743435,887.9341988451655,729.4200738502951,5726.189499124627,202.0165591279938,401.76223604762936,3326.859251724867,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,222191,260306_CytoplasmicPOLR2A
