,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,EXPERIMENT
69,H09,309.1688901719186,139.14369483225087,9544.004452299343,382.921590885727,142.27973079448782,553.556742746105,5502.597182947729,191.76871732758943,133.21658891096317,3492.650824764353,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,280080,260306_CytoplasmicPOLR2A
70,H10,301.32007535498394,141.13707527606016,8114.174554594824,352.1342600589101,143.8159345007044,500.4927691054414,5321.10359163496,192.13429752073267,134.8366554586406,2302.858133856173,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,334583,260306_CytoplasmicPOLR2A
71,H11,297.5438814801759,140.3258312503099,8251.5870374182,350.6917708555205,143.11954460291474,502.54330822762813,5247.750389602752,190.21568448112404,134.20427767146546,2462.613406255207,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,306081,260306_CytoplasmicPOLR2A
72,H14,146.41545107646382,143.85392454762416,7756.099082256389,146.54677212485402,149.76432426637,649.7098533823913,5203.176022883997,146.46132859625473,129.3424792331693,2068.906223289234,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,293655,260306_CytoplasmicPOLR2A
73,H15,306.15618197340444,140.6491104647686,9732.23700263817,374.3063454554037,148.13311480030703,668.2481921962881,5649.51447665177,199.99047684545002,128.11870545627465,3530.7124684792648,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,240318,260306_CytoplasmicPOLR2A
74,H16,148.0154483357967,502.420456203686,9190.773439518009,148.69440656285715,634.8160462451909,636.1882205633098,5425.5170196278395,147.30288072783014,273.23757449668454,3150.799699426697,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,298097,260306_CytoplasmicPOLR2A
75,H17,149.36315575229423,694.3039257726839,8954.33956775291,150.23622099765402,857.0940432140586,642.0182658436105,5400.69202394773,148.17294596867322,409.2305825179886,3012.9089878236455,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,No primary,Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,296312,260306_CytoplasmicPOLR2A
76,H18,265.02271049945335,571.5739989452293,12146.03716167959,330.75995088583596,748.7450310397568,599.9396682660517,6285.47379998743,183.0151721267529,345.34539612908105,5216.934412835178,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,175019,260306_CytoplasmicPOLR2A
77,H19,272.97791908209564,585.4319400154833,12540.134221626475,343.19011105240605,767.2966367151226,623.2017871643859,6536.195365052818,184.71540854863204,348.3813914843153,5380.494958003861,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,162634,260306_CytoplasmicPOLR2A
78,H20,268.9316080666425,568.4729854257083,11494.174623761712,324.2158961758764,719.1053322483068,599.9189724688271,6653.345032312887,177.75978057631863,318.4030975307297,4068.969040005367,HCT116 mChPOLR2A clone 2,No addition,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,178876,260306_CytoplasmicPOLR2A
79,H21,254.9701592913095,531.7748115402472,12584.26043222879,308.17707309533426,683.1314471222796,582.0618456815223,7056.3005651080575,174.3912702574474,302.00771960508723,4875.548720851467,HCT116 mChPOLR2A clone 2,No addition,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,107767,260306_CytoplasmicPOLR2A
