WELL,CELL,SIRNA,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY
E09,HCT116,Scramble,Triptolide 1 µM,120,Total Pol,Goat anti-mouse 568
G09,HCT116,Scramble,Triptolide 1 µM,60,Total Pol,Goat anti-mouse 568
F09,HCT116,Scramble,Triptolide 1 µM,20,Total Pol,Goat anti-mouse 568
H09,HCT116,Scramble,0,0,No primary,Goat anti-mouse 568
I09,HCT116,Scramble,Triptolide 1 µM,20,Total Pol,Goat anti-mouse 568
J09,HCT116,Scramble,Triptolide 1 µM,60,Total Pol,Goat anti-mouse 568
K09,HCT116,Scramble,Triptolide 1 µM,120,Total Pol,Goat anti-mouse 568
L09,HCT116,Scramble,Triptolide 1 µM,240,Total Pol,Goat anti-mouse 568
M09,HCT116,Scramble,Triptolide 1 µM,480,Total Pol,Goat anti-mouse 568
C10,HCT116,Scramble,LDC4297 10 µM,480,Total Pol,Goat anti-mouse 568
D10,HCT116,Scramble,Triptolide 1 µM,240,Total Pol,Goat anti-mouse 568
E10,HCT116,Scramble,LDC4297 10 µM,120,Total Pol,Goat anti-mouse 568
G10,HCT116,Scramble,LDC4297 10 µM,60,Total Pol,Goat anti-mouse 568
F10,HCT116,Scramble,LDC4297 10 µM,20,Total Pol,Goat anti-mouse 568
H10,HCT116,Scramble,0,0,Total Pol,Goat anti-mouse 568
I10,HCT116,Scramble,LDC4297 10 µM,20,Total Pol,Goat anti-mouse 568
J10,HCT116,Scramble,LDC4297 10 µM,60,Total Pol,Goat anti-mouse 568
K10,HCT116,Scramble,LDC4297 10 µM,120,Total Pol,Goat anti-mouse 568
L10,HCT116,Scramble,LDC4297 10 µM,240,Total Pol,Goat anti-mouse 568
M10,HCT116,Scramble,LDC4297 10 µM,480,Total Pol,Goat anti-mouse 568
C11,HCT116,Scramble,THZ1 1 µM,480,Total Pol,Goat anti-mouse 568
D11,HCT116,Scramble,THZ1 1 µM,240,Total Pol,Goat anti-mouse 568
E11,HCT116,Scramble,THZ1 1 µM,120,Total Pol,Goat anti-mouse 568
G11,HCT116,Scramble,THZ1 1 µM,60,Total Pol,Goat anti-mouse 568
F11,HCT116,Scramble,THZ1 1 µM,20,Total Pol,Goat anti-mouse 568
H11,HCT116,Scramble,0,0,No primary,Goat anti-mouse 568
I11,HCT116,Scramble,THZ1 1 µM,20,Total Pol,Goat anti-mouse 568
J11,HCT116,Scramble,THZ1 1 µM,60,Total Pol,Goat anti-mouse 568
K11,HCT116,Scramble,THZ1 1 µM,120,Total Pol,Goat anti-mouse 568
L11,HCT116,Scramble,THZ1 1 µM,240,Total Pol,Goat anti-mouse 568
M11,HCT116,Scramble,THZ1 1 µM,480,Total Pol,Goat anti-mouse 568
C12,HCT116,Scramble,AZD4573 1 µM,480,Total Pol,Goat anti-mouse 568
D12,HCT116,Scramble,AZD4573 1 µM,240,Total Pol,Goat anti-mouse 568
E12,HCT116,Scramble,AZD4573 1 µM,120,Total Pol,Goat anti-mouse 568
G12,HCT116,Scramble,AZD4573 1 µM,60,Total Pol,Goat anti-mouse 568
F12,HCT116,Scramble,AZD4573 1 µM,20,Total Pol,Goat anti-mouse 568
H12,HCT116,Scramble,0,0,Total Pol,Goat anti-mouse 568
I12,HCT116,Scramble,AZD4573 1 µM,20,Total Pol,Goat anti-mouse 568
J12,HCT116,Scramble,AZD4573 1 µM,60,Total Pol,Goat anti-mouse 568
K12,HCT116,Scramble,AZD4573 1 µM,120,Total Pol,Goat anti-mouse 568
L12,HCT116,Scramble,AZD4573 1 µM,240,Total Pol,Goat anti-mouse 568
M12,HCT116,Scramble,AZD4573 1 µM,480,Total Pol,Goat anti-mouse 568
C13,HCT116,Scramble,DRB 100 µM,480,Total Pol,Goat anti-mouse 568
D13,HCT116,Scramble,DRB 100 µM,240,Total Pol,Goat anti-mouse 568
E13,HCT116,Scramble,DRB 100 µM,120,Total Pol,Goat anti-mouse 568
G13,HCT116,Scramble,DRB 100 µM,60,Total Pol,Goat anti-mouse 568
F13,HCT116,Scramble,DRB 100 µM,20,Total Pol,Goat anti-mouse 568
H13,HCT116,Scramble,0,0,No primary,Goat anti-mouse 568
I13,HCT116,Scramble,DRB 100 µM,20,Total Pol,Goat anti-mouse 568
J13,HCT116,Scramble,DRB 100 µM,60,Total Pol,Goat anti-mouse 568
K13,HCT116,Scramble,DRB 100 µM,120,Total Pol,Goat anti-mouse 568
L13,HCT116,Scramble,DRB 100 µM,240,Total Pol,Goat anti-mouse 568
M13,HCT116,Scramble,DRB 100 µM,480,Total Pol,Goat anti-mouse 568
C14,HCT116,Scramble,Vehicle,480,Total Pol,Goat anti-mouse 568
D14,HCT116,Scramble,Vehicle,240,Total Pol,Goat anti-mouse 568
E14,HCT116,Scramble,Vehicle,120,Total Pol,Goat anti-mouse 568
G14,HCT116,Scramble,Vehicle,60,Total Pol,Goat anti-mouse 568
F14,HCT116,Scramble,Vehicle,20,Total Pol,Goat anti-mouse 568
H14,HCT116,Scramble,0,0,Total Pol,Goat anti-mouse 568
I14,HCT116,Scramble,Vehicle,20,Total Pol,Goat anti-mouse 568
J14,HCT116,Scramble,Vehicle,60,Total Pol,Goat anti-mouse 568
K14,HCT116,Scramble,Vehicle,120,Total Pol,Goat anti-mouse 568
L14,HCT116,Scramble,Vehicle,240,Total Pol,Goat anti-mouse 568
M14,HCT116,Scramble,Vehicle,480,Total Pol,Goat anti-mouse 568
