,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,671.4381257295652,154.91690990216816,236.98641855420237,564.550987772707,1671.1677696889478,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3022,241026_mACmChPOLR2A_TotalPolII
1,C04,670.9220620295039,155.56973347646127,237.97369874860073,575.0550924685434,1645.8031837916064,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3455,241026_mACmChPOLR2A_TotalPolII
2,C05,664.0960792104677,154.13813779693857,234.6482207279166,563.0578096343698,1702.6893517160458,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3409,241026_mACmChPOLR2A_TotalPolII
3,C06,609.5229267392998,154.24898912408642,236.32069946624128,570.1195611805779,1686.0506961799358,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2801,241026_mACmChPOLR2A_TotalPolII
4,C07,658.2382968635465,153.7334661570349,234.09708456470278,573.0047360232916,1645.2150573936528,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2962,241026_mACmChPOLR2A_TotalPolII
5,C08,640.5480574308798,153.91891346084523,232.3476117286365,595.8889575605774,1638.2954205327746,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3341,241026_mACmChPOLR2A_TotalPolII
6,C09,677.3380745271984,154.83696839142695,234.57370494308438,587.3363946523996,1608.263705759889,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2882,241026_mACmChPOLR2A_TotalPolII
7,C10,671.3418578412518,154.2269072681283,233.5352550341723,571.5612470094088,1643.0400500625783,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3196,241026_mACmChPOLR2A_TotalPolII
8,C11,689.1725209798406,154.41959725185293,230.8913073611713,576.2933120350131,1674.489942038868,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2933,241026_mACmChPOLR2A_TotalPolII
9,C12,684.7427676466035,152.97667324089932,230.73328760065115,566.1587705781914,1644.1206010280744,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2529,241026_mACmChPOLR2A_TotalPolII
10,C13,618.6005148949536,156.8415570959715,245.1142159437549,552.4364234677588,1630.6595419847329,HCT116 OsTIRF74G,No addition,No addition,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3275,241026_mACmChPOLR2A_TotalPolII
