,EXPERIMENT,WELL,FOV,CELL,TREATMENT,LABEL,CellVolume,Spots_565,Spots_633,NucleiVolume,Nuclei561Mean,Nuclei405Mean
0,250131,Well09,0015,OsTIRF74G,No treatment,5,3.420273301470646,7,78,2.1513168318028075,108.91134242588774,205.78916493845125
1,250131,Well09,0015,OsTIRF74G,No treatment,7,2.5019295033130406,6,71,1.142552194263328,101.3053201063669,192.94655053679327
2,250131,Well09,0015,OsTIRF74G,No treatment,9,2.6407589135023763,6,89,1.0307609278842853,111.32990323041312,211.5243177379403
3,250131,Well09,0015,OsTIRF74G,No treatment,13,2.525965409237457,7,88,1.045483012924654,103.40564804075989,204.27268712427008
4,250131,Well09,0015,OsTIRF74G,No treatment,14,2.826421116730501,14,78,0.9593637926935472,104.1743867856319,165.3113686262519
5,250131,Well09,0015,OsTIRF74G,No treatment,15,2.656204289010488,7,110,0.6198101583057833,106.07871221492472,189.9736350216305
6,250131,Well09,0015,OsTIRF74G,No treatment,16,1.621335537225211,7,42,0.9800903535056672,105.55820182713036,168.12587534238435
7,250131,Well09,0015,OsTIRF74G,No treatment,17,8.290666684465403,51,344,2.753814614461925,110.68346360100216,178.31300965422827
8,250131,Well09,0015,OsTIRF74G,No treatment,18,2.423981453285609,4,90,1.0758707434838088,106.98404433332676,204.01571746362976
9,250131,Well09,0015,OsTIRF74G,No treatment,20,1.937018468196564,2,71,0.8974128521913496,103.34234142807075,184.7027600147742
10,250131,Well09,0015,OsTIRF74G,No treatment,26,1.315721487318728,1,8,0.7681090609732495,106.67537314461715,178.49780787015973
11,250131,Well09,0015,OsTIRF74G,No treatment,28,2.5883515948088247,14,112,0.8908915890868618,110.16403035904264,196.30449739380572
12,250131,Well09,0015,OsTIRF74G,No treatment,29,2.4402623722476737,12,72,0.8795339166614589,107.86531052086596,190.9616960050088
13,250131,Well09,0015,OsTIRF74G,No treatment,30,3.6040494427323706,8,142,1.2830230396283628,107.42995312627676,186.0467094712324
14,250131,Well09,0005,OsTIRF74G,No treatment,2,1.661988062079884,15,65,0.634610608638411,110.37277308680706,200.86276407569332
15,250131,Well09,0005,OsTIRF74G,No treatment,7,2.753284060253522,6,111,1.2001782178251674,101.95842844449464,193.4940868578508
